timestamp,open,high,low,close,volume
2012-01-01,40.77,40.77,40.31,40.54,1111
2012-01-02,40.54,41.46,40.77,41.46,551
2012-01-03,41.46,41.0,40.54,40.77,490
2012-01-04,40.77,40.77,40.31,40.54,3220
2012-01-05,40.54,40.54,40.08,40.31,775
2012-01-08,40.31,40.77,40.31,40.54,3240
2012-01-09,40.54,40.31,39.85,39.85,1710
2012-01-10,39.85,40.54,40.08,40.08,549
2012-01-11,40.08,40.08,39.85,40.08,2477
2012-01-12,40.08,40.08,39.62,40.08,3102
2012-01-16,40.08,40.08,39.85,39.85,1049
2012-01-17,39.85,40.54,39.62,40.31,866
2012-01-18,40.31,41.46,40.54,41.46,2190
2012-01-18,41.46,41.23,40.77,41.23,411
2012-01-22,41.23,41.46,40.77,41.23,4484
2012-01-23,41.23,40.77,39.85,40.08,1650
2012-01-25,40.08,40.54,39.85,40.54,1170
2012-01-26,40.54,40.54,39.62,40.08,1060
2012-01-29,40.08,40.54,39.85,40.08,4200
2012-01-31,40.08,40.54,39.62,39.62,2291
2012-02-01,39.62,40.31,39.62,39.85,1833
2012-02-02,39.85,40.31,39.85,39.85,3946
2012-02-05,39.85,39.85,39.38,39.62,1611
2012-02-06,39.62,39.85,39.62,39.85,992
2012-02-07,39.85,39.62,38.92,39.62,2091
2012-02-08,39.62,39.62,39.38,39.62,386
2012-02-09,39.62,39.62,39.38,39.38,920
2012-02-12,39.38,39.38,39.15,39.38,1309
2012-02-13,39.38,39.85,38.92,39.15,1992
2012-02-14,39.15,39.62,38.92,39.38,1961
2012-02-15,39.38,39.85,39.62,39.85,276
2012-02-16,39.85,39.38,38.92,39.15,550
2012-02-21,39.15,39.38,39.15,39.38,631
2012-02-23,39.38,39.38,38.92,39.38,1230
2012-02-26,39.38,39.38,38.46,38.92,2747
2012-02-27,38.92,39.38,38.92,39.15,1285
2012-02-28,39.15,39.62,38.92,39.38,2204
2012-02-29,39.38,39.38,39.15,39.15,1030
2012-03-01,39.15,39.38,38.92,39.15,2300
2012-03-04,39.15,39.38,38.23,39.38,1451
2012-03-05,39.38,39.38,38.92,38.92,460
2012-03-06,38.92,38.92,38.46,38.46,2124
2012-03-11,38.46,38.69,38.46,38.69,754
2012-03-12,38.69,38.92,37.77,38.69,1022
2012-03-13,38.69,38.69,38.23,38.23,1321
2012-03-14,38.23,38.46,38.0,38.0,793
2012-03-15,38.0,38.0,37.54,38.0,842
2012-03-18,38.0,38.0,37.54,38.0,1003
2012-03-19,38.0,38.46,37.77,37.77,311
2012-03-20,37.77,38.0,37.54,37.54,4107
2012-03-21,37.54,38.69,37.54,38.23,1257
2012-03-25,38.23,38.69,37.77,38.69,920
2012-03-26,38.69,38.92,38.0,38.92,2082
2012-03-27,38.92,38.46,37.77,38.0,270
2012-03-28,38.0,38.69,38.23,38.69,1615
2012-03-29,38.69,39.15,38.46,38.46,1395
2012-04-01,38.46,38.69,38.46,38.69,1762
2012-04-02,38.69,38.69,38.23,38.46,1275
2012-04-03,38.46,38.69,38.69,38.69,680
2012-04-04,38.69,38.69,38.46,38.46,3550
2012-04-05,38.46,38.69,38.46,38.69,680
2012-04-08,38.69,38.69,38.46,38.69,1051
2012-04-09,38.69,38.92,38.46,38.69,921
2012-04-10,38.69,38.69,38.23,38.69,1313
2012-04-11,38.69,39.62,38.92,38.92,2180
2012-04-12,38.92,40.54,39.15,40.54,683
2012-04-15,40.54,42.85,41.0,42.62,2514
2012-04-16,42.62,45.39,43.08,45.39,833
2012-04-17,45.39,44.93,44.23,44.23,1789
2012-04-18,44.23,43.77,41.92,42.85,3301
2012-04-19,42.85,43.77,41.92,42.39,4668
2012-04-22,42.39,42.85,42.39,42.62,1560
2012-04-24,42.62,44.0,43.08,44.0,100
2012-04-25,44.0,45.39,45.39,45.39,70
2012-04-26,45.39,48.39,45.85,48.39,8831
2012-04-29,48.39,50.93,46.78,48.85,8923
2012-04-30,48.85,49.55,45.39,46.54,5694
2012-05-02,46.54,46.54,43.77,43.77,980
2012-05-03,43.77,44.7,44.23,44.7,241
2012-05-07,44.7,45.16,45.16,45.16,183
2012-05-08,45.16,47.01,45.62,47.01,2332
2012-05-09,47.01,48.39,44.93,47.01,7062
2012-05-10,47.01,47.01,44.0,46.31,11243
2012-05-13,46.31,45.85,44.23,44.7,3133
2012-05-14,44.7,44.23,42.16,43.08,5092
2012-05-15,43.08,45.85,43.54,45.85,696
2012-05-16,45.85,46.31,46.31,46.31,150
2012-05-17,46.31,48.16,46.78,46.78,6469
2012-05-20,46.78,47.01,45.16,46.31,6548
2012-05-21,46.31,47.7,46.08,46.31,3222
2012-05-22,46.31,47.24,44.93,47.24,8963
2012-05-23,47.24,46.78,44.93,44.93,905
2012-05-24,44.93,47.24,44.93,47.24,7754
2012-05-27,47.24,49.55,46.54,48.39,6836
2012-05-29,48.39,47.93,45.16,45.16,3959
2012-05-30,45.16,44.7,42.16,42.16,4480
2012-05-31,42.16,43.77,41.69,43.77,1231
2012-06-03,43.77,46.54,43.08,46.54,1647
2012-06-04,46.54,46.78,44.23,44.93,3705
2012-06-05,44.93,45.39,44.47,44.93,2968
2012-06-06,44.93,44.47,43.08,43.31,1331
2012-06-07,43.31,45.16,42.39,44.47,2120
2012-06-10,44.47,46.54,44.93,46.08,8139
2012-06-11,46.08,47.01,45.62,46.54,4583
2012-06-12,46.54,47.01,46.31,46.54,4983
2012-06-13,46.54,47.93,46.08,46.78,8518
2012-06-14,46.78,46.31,44.93,45.62,1912
2012-06-17,45.62,45.62,43.77,45.16,2426
2012-06-18,45.16,44.93,44.23,44.93,2589
2012-06-19,44.93,44.93,44.47,44.7,1549
2012-06-20,44.7,45.62,44.7,45.16,1361
2012-06-21,45.16,45.85,45.39,45.62,1170
2012-06-25,45.62,46.54,44.93,46.54,1760
2012-06-26,46.54,46.08,45.16,45.62,2036
2012-06-27,45.62,46.54,44.7,46.54,2422
2012-06-28,46.54,47.01,46.31,46.54,2876
2012-07-01,46.54,47.01,46.54,47.01,3643
2012-07-02,47.01,47.7,46.54,46.78,3256
2012-07-03,46.78,46.78,46.54,46.78,880
2012-07-04,46.78,47.93,46.54,47.93,3868
2012-07-05,47.93,47.7,47.01,47.7,3056
2012-07-08,47.7,48.39,47.24,47.47,2338
2012-07-09,47.47,48.85,47.47,48.39,3893
2012-07-10,48.39,49.55,48.39,48.85,3747
2012-07-11,48.85,49.32,48.39,49.32,3631
2012-07-12,49.32,50.24,48.62,49.08,3977
2012-07-15,49.08,50.24,49.08,50.24,1722
2012-07-16,50.24,51.63,48.85,51.63,12898
2012-07-17,51.63,54.63,51.39,53.7,12061
2012-07-18,53.7,57.17,53.47,57.17,8985
2012-07-19,57.17,59.94,54.86,59.94,21519
2012-07-22,59.94,60.4,57.4,58.55,19689
2012-07-23,58.55,59.94,57.86,58.09,13375
2012-07-24,58.09,58.09,56.01,58.09,7364
2012-07-25,58.09,57.4,56.01,56.71,10548
2012-07-26,56.71,56.01,54.63,55.09,4910
2012-07-29,55.09,54.4,51.39,52.55,4932
2012-07-30,52.55,53.93,51.86,53.7,7450
2012-07-31,53.7,56.24,53.01,54.86,4757
2012-08-01,54.86,56.24,54.4,55.78,6479
2012-08-05,55.78,56.71,55.32,56.01,4178
2012-08-06,56.01,56.48,55.78,56.01,5741
2012-08-07,56.01,56.71,54.4,54.86,4255
2012-08-08,54.86,55.55,53.47,55.55,6744
2012-08-12,55.55,55.55,52.78,53.7,3111
2012-08-13,53.7,53.01,51.16,53.01,3464
2012-08-14,53.01,53.01,52.32,52.55,1990
2012-08-15,52.55,52.55,51.39,51.86,4533
2012-08-16,51.86,54.86,52.55,53.47,5649
2012-08-19,53.47,54.63,53.47,54.17,5601
2012-08-21,54.17,54.63,52.09,52.55,5218
2012-08-22,52.55,52.78,51.39,52.32,4219
2012-08-23,52.32,52.78,51.63,52.32,3162
2012-08-26,52.32,54.4,52.32,54.17,10162
2012-08-27,54.17,55.09,54.4,54.63,3340
2012-08-28,54.63,55.78,54.17,55.09,7405
2012-08-29,55.09,54.86,54.17,54.86,6758
2012-08-30,54.86,54.17,53.47,53.7,1905
2012-09-02,53.7,53.93,53.47,53.7,2866
2012-09-03,53.7,54.63,53.7,53.7,4178
2012-09-04,53.7,53.47,53.01,53.47,5642
2012-09-05,53.47,53.93,53.47,53.47,2370
2012-09-06,53.47,53.7,53.47,53.47,7102
2012-09-09,53.47,53.93,53.47,53.7,5013
2012-09-10,53.7,53.93,52.55,53.93,5097
2012-09-11,53.93,53.93,53.47,53.93,1662
2012-09-12,53.93,53.93,53.7,53.7,3222
2012-09-13,53.7,54.17,53.7,54.17,2968
2012-09-16,54.17,54.63,53.93,54.63,3274
2012-09-17,54.63,55.09,54.17,55.09,3239
2012-09-18,55.09,56.48,54.63,55.78,2338
2012-09-19,55.78,56.24,55.09,56.24,10568
2012-09-20,56.24,56.01,55.55,55.78,8013
2012-09-23,55.78,56.24,55.09,55.78,7991
2012-09-24,55.78,55.78,55.09,55.09,160
2012-09-25,55.09,54.86,53.93,54.63,4295
2012-09-26,54.63,55.09,53.93,55.09,6587
2012-09-27,55.09,54.4,54.17,54.4,1695
2012-09-30,54.4,54.63,54.17,54.63,5747
2012-10-01,54.63,54.86,54.17,54.63,4962
2012-10-02,54.63,54.86,54.63,54.63,2888
2012-10-03,54.63,54.86,53.93,54.86,2684
2012-10-04,54.86,55.09,54.63,54.63,2620
2012-10-07,54.63,55.32,54.63,54.63,3211
2012-10-08,54.63,54.86,54.63,54.63,3157
2012-10-09,54.63,54.86,54.63,54.63,5229
2012-10-10,54.63,56.01,54.63,54.86,3367
2012-10-11,54.86,55.09,54.63,54.63,7164
2012-10-14,54.63,55.32,54.63,55.09,3698
2012-10-15,55.09,55.09,54.63,54.86,2449
2012-10-17,54.86,55.32,55.32,55.32,517
2012-10-18,55.32,55.55,54.86,55.32,1405
2012-10-30,55.32,56.48,54.86,56.48,1294
2012-10-31,56.48,57.86,55.78,56.24,2858
2012-11-01,56.24,56.24,55.78,56.24,2402
2012-11-04,56.24,58.09,55.55,57.17,3923
2012-11-05,57.17,58.32,55.78,57.63,2610
2012-11-06,57.63,58.09,57.4,57.63,3708
2012-11-07,57.63,60.17,56.71,59.25,4246
2012-11-08,59.25,60.63,59.02,59.02,3508
2012-11-11,59.02,60.4,58.32,59.02,2797
2012-11-12,59.02,59.48,58.55,59.48,3161
2012-11-18,59.48,62.48,59.25,60.86,4897
2012-11-20,60.86,62.71,60.17,61.33,3585
2012-11-21,61.33,62.25,60.4,61.56,7505
2012-11-22,61.56,61.79,60.4,61.56,12951
2012-11-25,61.56,64.1,61.79,62.94,7730
2012-11-26,62.94,62.48,61.09,62.25,59247
2012-11-27,62.25,62.48,61.09,61.09,3234
2012-11-28,61.09,62.94,60.4,62.25,5510
2012-11-29,62.25,62.25,61.79,62.02,2261
2012-12-02,62.02,62.02,60.4,60.63,4800
2012-12-03,60.63,61.79,60.4,61.09,4633
2012-12-04,61.09,62.71,61.09,61.33,3519
2012-12-05,61.33,63.17,61.56,62.25,5953
2012-12-06,62.25,62.25,61.79,61.79,1830
2012-12-09,61.79,61.56,60.4,61.33,5198
2012-12-10,61.33,60.86,60.4,60.63,4919
2012-12-11,60.63,61.56,60.63,61.56,3414
2012-12-13,61.56,62.25,61.33,62.25,3290
2012-12-16,62.25,65.94,62.02,63.87,5244
2012-12-17,63.87,65.02,63.87,64.56,6656
2012-12-18,64.56,64.1,61.09,63.87,5273
2012-12-19,63.87,64.56,62.94,64.1,8116
2012-12-20,64.1,64.56,62.48,62.48,5727
2012-12-23,62.48,64.33,61.56,63.4,7171
2012-12-24,63.4,67.33,63.4,66.87,3500
2012-12-26,66.87,69.64,66.87,69.18,6219
2012-12-27,69.18,73.1,67.56,71.95,4877
2012-12-31,71.95,71.72,68.02,69.64,14630
2013-01-01,69.64,69.87,68.02,69.18,7961
2013-01-02,69.18,70.1,68.02,70.1,5628
2013-01-03,70.1,71.95,68.49,71.03,10342
2013-01-06,71.03,70.79,69.18,69.87,6384
2013-01-07,69.87,69.87,68.95,69.87,6744
2013-01-08,69.87,70.56,68.25,69.41,7156
2013-01-09,69.41,69.64,68.02,69.18,3658
2013-01-10,69.18,70.33,68.25,70.33,3936
2013-01-13,70.33,69.87,68.49,69.64,5314
2013-01-15,69.64,75.18,69.64,75.18,14770
2013-01-16,75.18,80.5,72.41,76.57,19323
2013-01-17,76.57,76.8,71.95,72.87,5818
2013-01-20,72.87,72.18,70.1,71.26,2655
2013-01-21,71.26,73.1,70.56,72.18,6088
2013-01-22,72.18,75.41,71.95,74.49,7109
2013-01-23,74.49,74.72,73.57,74.26,4532
2013-01-24,74.26,74.26,72.41,72.41,4722
2013-01-27,72.41,72.64,69.87,71.95,3268
2013-01-28,71.95,71.72,70.1,70.33,6464
2013-01-30,70.33,70.33,69.64,70.1,5603
2013-01-31,70.1,71.03,68.02,68.72,2997
2013-02-03,68.72,71.49,68.72,69.87,4519
2013-02-04,69.87,70.1,68.72,70.1,2909
2013-02-05,70.1,70.33,69.64,70.1,2382
2013-02-06,70.1,70.1,68.72,69.18,2204
2013-02-07,69.18,69.64,68.95,69.64,2011
2013-02-10,69.64,70.56,69.18,70.56,4273
2013-02-12,70.56,73.1,70.56,71.95,1951
2013-02-13,71.95,73.1,70.1,70.79,1862
2013-02-14,70.79,72.64,70.79,72.18,4871
2013-02-17,72.18,77.95,73.34,77.95,450
2013-02-19,77.95,79.11,73.57,74.26,6905
2013-02-20,74.26,73.1,71.95,71.95,5135
2013-02-21,71.95,73.1,70.56,71.95,3237
2013-02-24,71.95,72.18,70.56,71.95,2131
2013-02-25,71.95,73.1,71.03,73.1,2352
2013-02-26,73.1,74.26,70.79,71.95,2202
2013-02-27,71.95,71.95,70.79,71.95,3682
2013-02-28,71.95,72.41,71.72,71.95,9283
2013-03-03,71.95,73.1,71.49,71.95,7283
2013-03-04,71.95,73.1,71.95,71.95,2021
2013-03-05,71.95,72.87,71.72,72.41,1333
2013-03-06,72.41,73.57,71.95,73.34,5661
2013-03-07,73.34,75.65,72.41,74.26,8671
2013-03-11,74.26,74.95,73.57,74.26,5405
2013-03-13,74.26,77.72,74.03,76.57,5687
2013-03-14,76.57,77.72,74.72,75.41,9300
2013-03-17,75.41,75.41,73.1,74.26,5629
2013-03-18,74.26,73.57,72.41,73.34,4336
2013-03-19,73.34,74.49,73.1,74.26,5473
2013-03-20,74.26,73.34,72.41,72.64,1903
2013-03-21,72.64,72.41,70.79,71.95,3174
2013-03-24,71.95,71.26,70.1,70.79,2999
2013-03-25,70.79,71.95,69.87,71.49,3862
2013-03-27,71.49,71.72,70.79,71.26,2307
2013-03-28,71.26,71.49,70.33,71.03,3297
2013-03-31,71.03,71.03,69.18,69.64,7670
2013-04-01,69.64,70.79,68.49,70.1,6103
2013-04-02,70.1,71.03,69.87,71.03,5576
2013-04-03,71.03,71.95,70.79,70.79,3462
2013-04-04,70.79,70.79,70.1,70.56,1588
2013-04-07,70.56,71.03,70.56,71.03,2378
2013-04-08,71.03,71.49,70.56,70.56,1805
