timestamp,open,high,low,close,volume
2017-04-16,159.15,169.81,159.15,169.81,9361
2017-04-18,172.02,181.57,172.02,181.57,31151
2017-04-19,181.57,194.43,184.14,194.43,10034
2017-04-23,197.01,208.77,190.76,201.05,99212
2017-04-24,198.11,199.95,191.49,197.74,53027
2017-04-25,194.8,203.62,194.43,199.95,39076
2017-04-26,198.11,214.65,198.11,212.07,35032
2017-04-27,209.13,222.36,206.19,219.42,45822
2017-04-30,219.06,219.06,210.97,213.54,52492
2017-05-02,213.54,217.22,209.5,213.18,30617
2017-05-03,216.12,217.95,210.24,210.97,24825
2017-05-04,210.97,215.38,209.87,214.28,51497
2017-05-07,215.38,215.38,210.6,211.34,29759
2017-05-08,208.77,214.65,208.77,213.18,24419
2017-05-09,213.18,224.2,212.07,221.63,48134
2017-05-11,222.73,234.86,221.26,228.24,53131
2017-05-15,228.24,231.19,224.57,225.3,20965
2017-05-16,223.47,228.24,223.47,226.41,12819
2017-05-17,223.47,227.88,223.47,226.41,14404
2017-05-18,226.77,231.19,223.83,230.08,25777
2017-05-21,226.77,228.24,220.89,227.88,11480
2017-05-22,224.57,226.04,219.06,223.47,8730
2017-05-23,220.89,227.51,220.89,222.0,11209
2017-05-24,222.0,227.14,219.06,222.73,9904
2017-05-28,224.57,224.57,219.42,221.63,7736
2017-05-30,219.79,222.36,215.38,219.06,11667
2017-05-31,219.06,222.36,215.75,219.06,8876
2017-06-01,219.06,219.79,216.85,219.06,7009
2017-06-04,216.12,218.69,213.18,215.38,8662
2017-06-05,213.54,217.22,212.81,215.38,5406
2017-06-06,212.07,220.16,212.07,217.95,5992
2017-06-07,214.65,217.22,213.91,214.28,11678
2017-06-08,215.01,215.01,210.6,214.28,9330
2017-06-11,213.54,213.54,207.66,208.03,13870
2017-06-12,205.09,209.87,202.89,205.09,10653
2017-06-13,202.89,208.03,202.89,205.09,7280
2017-06-14,202.52,208.03,202.52,208.03,4893
2017-06-15,205.46,209.5,203.25,209.5,6410
2017-06-18,209.5,209.87,202.52,203.62,2107
2017-06-19,201.78,203.62,198.84,198.84,4938
2017-06-20,197.01,204.72,197.01,201.42,4359
2017-06-21,200.68,202.89,199.21,202.89,8927
2017-06-22,204.36,204.36,202.52,203.62,2909
2017-06-25,203.62,211.34,203.62,210.6,5526
2017-06-27,211.34,211.34,206.93,207.66,2938
2017-06-28,204.72,206.19,203.25,204.72,1161
2017-07-02,203.99,204.36,198.84,200.68,3952
