timestamp,open,high,low,close,volume
2012-01-01,64.71,64.49,64.49,64.49,50
2012-01-02,64.49,65.22,64.71,65.07,1320
2012-01-03,65.07,65.51,65.22,65.29,2370
2012-01-04,65.29,65.51,64.86,64.86,390
2012-01-08,64.86,64.71,64.64,64.71,160
2012-01-09,64.71,64.93,64.71,64.93,200
2012-01-10,64.93,64.78,64.78,64.78,80
2012-01-11,64.78,64.93,64.86,64.93,630
2012-01-12,64.93,65.0,65.0,65.0,70
2012-01-16,65.0,65.37,65.07,65.22,880
2012-01-17,65.22,65.37,65.15,65.15,410
2012-01-18,65.15,65.07,65.07,65.07,180
2012-01-22,65.07,65.29,64.27,64.27,4030
2012-01-23,64.27,64.27,63.91,64.27,560
2012-01-25,64.27,64.12,63.39,63.54,2630
2012-01-26,63.54,63.69,63.25,63.32,1470
2012-01-29,63.32,63.83,63.25,63.76,3020
2012-01-31,63.76,63.54,63.03,63.25,1180
2012-02-01,63.25,63.25,63.1,63.25,50
2012-02-02,63.25,63.39,63.25,63.39,250
2012-03-13,63.39,64.42,63.39,64.12,890
2012-03-14,64.12,64.42,64.27,64.42,140
2012-03-15,64.42,64.34,63.98,63.98,470
2012-03-18,63.98,63.83,63.83,63.83,110
2012-03-19,63.83,63.91,63.76,63.76,350
2012-03-20,63.76,63.91,63.83,63.83,870
2012-03-21,63.83,63.69,63.61,63.61,400
2012-03-25,63.61,63.61,63.25,63.61,1390
2012-03-26,63.61,63.47,63.47,63.47,30
2012-03-27,63.47,63.61,63.39,63.39,1200
2012-03-28,63.39,63.39,63.32,63.32,260
2012-03-29,63.32,63.83,63.47,63.83,950
2012-04-01,63.83,63.83,63.25,63.39,1100
2012-04-02,63.39,63.83,63.25,63.69,770
2012-04-03,63.69,63.76,63.32,63.76,110
2012-04-04,63.76,63.76,63.61,63.76,220
2012-04-05,63.76,63.98,63.39,63.83,1090
2012-04-08,63.83,63.83,63.39,63.83,690
2012-04-09,63.83,64.12,63.47,64.12,560
2012-04-10,64.12,64.2,63.76,64.12,2830
2012-04-11,64.12,65.0,64.12,65.0,110
2012-04-12,65.0,65.22,64.42,65.22,2240
2012-04-15,65.22,65.37,65.37,65.37,160
2012-04-17,65.37,65.59,65.59,65.59,200
2012-04-18,65.59,66.24,65.15,66.03,2070
2012-04-19,66.03,66.76,66.24,66.39,880
2012-04-22,66.39,66.83,66.39,66.39,1120
2012-04-25,66.39,67.63,66.61,67.63,50
2012-04-26,67.63,69.1,67.63,69.1,3400
2012-04-29,69.1,70.12,69.24,69.53,1150
2012-04-30,69.53,69.24,68.95,68.95,350
2012-05-03,68.95,69.53,69.24,69.53,4190
2012-05-07,69.53,70.12,69.53,70.12,6780
2012-05-08,70.12,70.41,70.12,70.12,6490
2012-05-09,70.12,69.97,68.51,68.51,4210
2012-05-10,68.51,68.58,67.93,68.0,2670
2012-05-13,68.0,67.71,66.54,67.12,2810
2012-05-14,67.12,66.83,65.95,65.95,770
2012-05-15,65.95,66.61,66.17,66.61,170
2012-05-17,66.61,67.63,66.83,67.49,1620
2012-05-20,67.49,67.78,67.41,67.41,830
2012-05-21,67.41,68.8,67.63,68.8,410
2012-05-22,68.8,68.44,67.56,67.85,310
2012-05-23,67.85,67.56,67.27,67.27,70
