timestamp,open,high,low,close,volume
2015-11-18,113.67,114.66,113.67,114.66,52
2015-11-19,115.65,118.62,115.65,118.62,104
2015-11-22,119.61,124.06,119.61,124.06,768
2015-11-23,125.21,129.99,125.21,129.99,12360
2015-11-24,133.29,136.09,132.47,134.94,46262
2015-11-25,135.6,135.6,130.49,130.98,25625
2015-11-26,129.66,129.99,128.35,129.17,14443
2015-11-29,128.02,128.02,126.04,126.86,15706
2015-11-30,126.7,129.5,126.7,127.36,9790
2015-12-01,127.36,129.99,126.86,129.99,11114
2015-12-02,129.99,130.82,128.35,129.66,11339
2015-12-03,129.01,130.16,127.85,128.68,11281
2015-12-04,129.5,130.16,128.02,129.66,14631
2015-12-07,129.99,131.31,129.17,129.5,16125
2015-12-08,129.99,130.32,128.51,129.83,11962
2015-12-09,129.5,131.97,129.01,131.97,14731
2015-12-10,131.31,131.64,129.66,129.99,13958
2015-12-13,129.99,130.16,128.84,129.99,23721
2015-12-14,129.99,129.99,129.66,129.66,24112
2015-12-15,129.66,129.99,128.35,128.51,8414
2015-12-16,129.34,129.99,128.35,128.84,16529
2015-12-17,127.69,129.83,127.69,128.51,12164
2015-12-20,128.51,129.17,127.03,128.18,7578
2015-12-21,128.18,128.18,126.04,126.37,6813
2015-12-22,126.37,126.7,124.06,125.05,7114
2015-12-23,125.05,126.04,124.39,125.38,12488
2015-12-24,125.38,127.52,124.22,126.53,11983
2015-12-25,125.38,127.52,124.39,127.52,9016
2015-12-28,127.52,126.7,125.05,125.21,10572
2015-12-29,125.21,126.86,124.72,125.38,13555
2015-12-31,125.05,126.86,124.72,125.05,11336
2016-01-03,125.21,126.2,123.73,124.88,11849
2016-01-04,124.88,125.54,123.07,124.72,9183
2016-01-05,123.57,125.87,121.75,125.87,27876
2016-01-06,125.87,125.87,122.25,123.4,21477
2016-01-07,122.74,126.2,122.74,124.72,16005
2016-01-10,124.72,126.7,123.57,126.37,29492
2016-01-11,125.87,127.19,125.05,126.04,30518
2016-01-12,125.87,129.99,125.05,129.99,35468
2016-01-13,129.99,130.82,126.37,129.01,26417
2016-01-14,129.34,129.99,126.53,128.35,29503
2016-01-24,128.35,134.78,129.5,134.78,3250
2016-01-25,136.09,141.7,136.09,138.9,4993
2016-01-26,138.9,139.06,137.58,137.91,3463
2016-01-27,137.91,137.41,135.27,135.27,2889
2016-01-28,136.42,137.41,134.94,134.94,4905
2016-01-31,135.6,136.59,135.27,135.27,864
2016-02-01,135.27,137.91,134.94,135.76,4260
2016-02-02,135.43,136.42,134.94,134.94,3252
2016-02-03,134.94,138.24,135.76,136.75,1624
2016-02-04,137.41,139.39,136.59,138.07,4935
2016-02-07,138.07,145.33,138.24,145.33,22443
2016-02-08,145.33,153.07,146.81,148.95,7786
2016-02-11,148.95,153.07,148.95,153.07,16567
2016-02-14,151.43,151.59,145.82,146.48,8387
2016-02-15,146.48,148.13,141.53,144.01,4728
2016-02-16,144.01,144.01,142.69,143.51,6993
2016-02-17,143.51,143.84,143.18,143.68,4226
2016-02-18,143.68,144.5,143.18,143.18,3850
2016-02-21,144.67,146.15,143.18,145.66,15416
2016-02-22,145.66,146.48,144.01,145.0,5314
2016-02-23,145.0,144.17,142.19,144.17,2333
2016-02-24,143.18,146.48,141.86,141.86,472
2016-02-25,143.18,145.66,143.18,145.66,1844
2016-02-28,145.66,146.48,142.03,142.19,4388
2016-02-29,142.19,143.68,141.7,141.7,3918
2016-03-01,141.53,142.03,141.37,141.7,3318
2016-03-02,143.02,149.28,141.86,149.28,25387
2016-03-03,150.93,157.69,150.93,157.69,18063
2016-03-06,159.5,166.92,159.5,166.92,42776
2016-03-10,168.9,177.14,168.9,177.14,4341
2016-03-13,179.28,188.35,170.38,187.2,63486
2016-03-14,189.51,199.4,189.51,199.4,17751
2016-03-15,202.03,204.67,185.88,186.04,52406
2016-03-16,184.72,184.72,174.67,176.15,27686
2016-03-17,178.3,184.23,177.14,182.75,18857
2016-03-20,185.05,190.16,183.41,185.88,30357
2016-03-21,187.69,189.18,181.26,184.89,13239
2016-03-23,186.04,186.21,180.6,181.1,13548
2016-03-24,181.1,180.77,174.5,178.46,19641
2016-03-27,178.46,180.6,172.03,172.2,6101
2016-03-28,172.2,170.22,166.43,167.91,9481
2016-03-29,165.93,169.89,163.29,165.44,14798
2016-03-30,165.44,174.67,162.96,172.53,5258
2016-03-31,172.53,172.69,168.57,169.06,5559
2016-04-03,169.06,173.02,166.26,173.02,5868
2016-04-04,173.02,174.5,167.91,170.05,5021
2016-04-05,170.38,172.03,168.4,171.54,5271
2016-04-06,171.54,176.98,170.38,174.34,15794
2016-04-10,174.34,181.76,172.69,172.86,14444
2016-04-11,172.86,175.49,173.51,175.33,4920
2016-04-12,175.33,177.47,171.54,172.53,9235
2016-04-14,172.53,173.35,171.37,173.35,3240
2016-04-17,173.35,173.51,171.54,172.86,3223
2016-04-18,172.86,172.69,171.37,172.53,4213
2016-04-19,172.53,172.03,169.56,171.04,9288
2016-04-20,171.04,171.87,169.56,170.05,4124
2016-04-21,170.05,169.56,166.59,168.73,15246
2016-04-24,168.73,170.38,166.59,167.75,4791
2016-04-25,167.75,167.42,165.6,167.42,8434
2016-04-26,167.42,167.25,165.77,167.25,3696
2016-04-27,167.25,168.07,165.93,167.09,2313
2016-04-28,167.09,167.09,166.1,166.26,9806
2016-05-02,166.26,166.26,163.13,166.26,5046
2016-05-03,166.26,166.26,163.95,165.93,5417
2016-05-04,165.93,165.44,162.63,165.44,10863
2016-05-05,165.44,163.95,162.31,163.46,6828
2016-05-08,163.46,167.91,162.47,167.91,5994
2016-05-09,167.58,167.75,165.6,166.26,12426
2016-05-10,166.26,170.05,165.77,167.42,5356
2016-05-11,167.42,168.73,164.28,168.4,7257
2016-05-12,169.56,174.01,167.58,174.01,12603
2016-05-15,173.51,177.8,172.2,174.5,12967
