timestamp,open,high,low,close,volume
2022-01-02,185.0,187.5,177.75,183.65,6960
2022-05-25,102.35,105.45,102.35,105.45,130
2022-05-26,106.55,106.55,106.55,106.55,30
2022-05-30,107.65,112.2,107.65,112.2,80
2022-05-31,112.2,113.4,112.2,113.4,30
2022-06-01,112.2,119.7,112.2,119.7,60
2022-06-02,118.4,126.65,118.4,126.65,80
2022-06-03,126.65,134.3,126.65,134.3,70
2022-06-06,135.95,142.7,135.95,142.7,100
2022-06-07,144.55,151.95,144.55,151.95,120
2022-06-08,153.95,162.1,153.95,162.1,100
2022-06-09,164.0,173.3,164.0,173.3,150
2022-06-10,175.75,185.6,175.75,185.6,400
2022-06-13,188.3,199.15,188.3,199.15,2160
2022-06-14,202.1,214.05,185.0,187.0,48906
2022-06-15,187.0,187.0,173.3,175.0,34219
2022-06-16,172.5,187.15,165.0,179.95,10055
2022-06-17,182.5,187.5,172.55,182.5,8537
2022-06-19,185.0,185.0,171.5,171.65,8433
2022-06-20,171.65,174.05,163.0,164.55,11693
2022-06-21,162.5,172.5,162.5,166.25,6532
2022-06-22,168.55,168.55,159.75,162.25,7003
2022-06-23,164.45,164.45,151.75,154.5,12774
2022-06-24,152.5,162.2,150.6,156.5,3625
2022-06-26,158.6,167.0,158.6,165.0,7365
2022-06-27,167.3,172.0,162.0,162.0,14086
2022-06-28,160.0,164.0,160.0,162.5,6150
2022-06-29,160.3,166.25,160.3,164.05,11087
2022-06-30,166.3,170.9,164.2,169.5,10243
2022-07-01,167.5,172.9,162.85,172.5,12622
2022-07-03,174.95,180.05,168.5,178.0,12589
2022-07-04,180.5,184.05,173.55,173.55,19683
2022-07-05,171.1,180.0,168.75,169.5,15683
2022-07-06,171.85,174.05,164.7,173.0,6930
2022-07-07,175.45,176.0,170.0,172.5,7220
2022-07-08,170.5,170.5,166.5,166.5,4562
2022-07-11,164.2,166.5,159.5,159.5,7360
2022-07-12,158.85,165.95,158.05,165.75,3574
2022-07-13,163.5,173.0,162.5,172.45,6517
2022-07-14,172.5,174.85,167.15,172.35,6125
2022-07-15,169.95,170.5,165.5,169.85,5220
