timestamp,open,high,low,close,volume
2026-03-22,270.1,297.1,270.1,297.1,80
2026-03-23,294.1,326.8,294.1,326.8,160
2026-03-24,323.5,359.4,323.5,359.4,120
2026-03-25,366.5,395.3,366.5,395.3,100
2026-03-26,391.4,434.8,391.4,434.8,198
2026-03-29,430.8,478.2,430.8,478.2,300
2026-03-30,475.4,526.0,475.4,526.0,280
2026-03-31,536.0,578.6,536.0,578.6,470
2026-04-01,590.1,636.4,590.1,636.4,660
2026-04-02,649.1,700.0,649.1,700.0,1840
2026-04-05,714.0,770.0,714.0,770.0,3690
2026-04-06,770.0,847.0,770.0,847.0,4620
2026-04-07,863.9,931.7,863.9,931.7,7560
2026-04-08,950.3,1024.8,852.9,985.0,111652
2026-04-09,990.0,1083.5,950.0,1083.5,29023
2026-04-10,1105.1,1191.8,1105.0,1191.8,19720
2026-04-13,1168.0,1305.0,1097.6,1240.0,85733
2026-04-15,1255.0,1305.0,1191.0,1286.0,50568
2026-04-16,1286.0,1300.0,1167.0,1191.0,55251
2026-04-17,1191.0,1205.0,1105.5,1180.0,56116
2026-04-20,1180.0,1280.0,1099.0,1225.0,43095
2026-04-21,1226.0,1280.0,1191.0,1211.0,42812
2026-04-22,1207.0,1211.0,1135.0,1164.0,27539
2026-04-23,1166.0,1200.0,1130.0,1131.1,25617
2026-04-24,1100.0,1163.0,1074.6,1142.0,20195
2026-04-27,1110.0,1170.0,1091.0,1108.0,19755
2026-04-28,1080.0,1108.0,1008.8,1012.1,35959
2026-04-29,1000.0,1090.0,953.1,1035.0,39440
2026-04-30,1049.0,1049.0,990.0,1035.0,10144
2026-05-04,1035.0,1064.9,950.0,960.0,11405
2026-05-05,925.5,1020.0,925.5,967.4,16784
2026-05-06,946.6,997.0,946.6,962.1,8250
2026-05-07,975.0,990.0,955.0,978.0,10486
2026-05-08,978.0,1022.0,963.0,1010.0,18876
2026-05-11,1010.0,1040.0,1000.0,1015.0,14926
2026-05-12,1013.0,1025.0,969.0,975.0,16202
2026-05-13,999.0,1000.0,940.0,960.0,13449
2026-05-14,980.0,980.0,918.0,918.3,12654
2026-05-15,918.0,950.0,906.0,930.0,14356
2026-05-18,930.0,939.9,910.2,936.0,5046
2026-05-19,917.0,940.0,917.0,926.0,10349
2026-05-20,910.0,943.9,910.0,940.0,9503
2026-05-21,955.0,956.0,921.2,925.0,6597
2026-05-22,925.0,974.9,912.5,953.0,24258
2026-05-25,952.0,1000.0,945.0,980.0,16247
2026-05-26,961.0,1005.0,961.0,971.0,8638
2026-05-27,971.0,984.0,932.1,936.0,13194
2026-06-01,936.0,946.9,900.0,911.0,13674
2026-06-02,911.0,930.0,900.0,900.1,9476
2026-06-03,885.8,928.0,882.0,906.1,11067
2026-06-04,907.0,920.0,890.7,891.1,6799
2026-06-05,900.0,900.0,860.0,867.9,8293
2026-06-08,850.0,892.0,829.0,838.0,14599
2026-06-09,830.0,845.0,812.1,838.0,8945
2026-06-10,844.0,875.0,818.1,870.0,10926
2026-06-11,885.8,890.0,836.3,855.0,4490
2026-06-12,855.0,859.9,837.0,838.0,5544
2026-06-15,837.0,855.0,816.3,825.0,5661
2026-06-16,805.1,820.0,805.1,812.0,4775
