timestamp,open,high,low,close,volume
2022-04-24,762.57,795.1,755.34,787.87,28555
2022-04-25,795.1,795.1,762.57,762.57,29215
2022-04-26,758.96,769.8,757.51,759.68,20114
2022-04-27,759.68,765.46,756.86,765.46,20011
2022-04-28,766.18,777.03,760.4,764.74,10408
2022-05-02,764.74,764.74,755.41,762.57,10676
2022-05-04,762.57,762.57,745.95,745.95,22350
2022-05-05,740.89,745.22,730.04,732.28,12558
2022-05-08,733.66,733.66,714.14,722.09,25690
2022-05-09,722.09,744.5,722.09,737.27,14531
2022-05-10,737.27,753.17,723.54,751.73,15426
2022-05-11,751.8,777.75,751.73,777.03,14850
2022-05-12,787.87,792.93,777.75,779.19,14338
2022-05-17,764.09,774.86,752.45,757.51,9878
2022-05-18,748.11,762.57,742.4,758.96,7544
2022-05-19,764.74,769.8,755.34,757.73,6009
2022-05-20,757.51,760.4,751.73,754.26,4563
2022-05-23,753.9,755.27,736.55,737.99,10203
2022-05-24,733.66,751.0,726.5,742.33,4245
2022-05-25,743.2,754.62,737.27,751.0,4611
2022-05-26,765.97,765.97,744.5,751.73,6859
2022-05-27,751.73,761.12,748.11,750.28,5070
2022-05-30,751.73,764.74,738.72,738.72,8414
2022-05-31,737.27,744.5,728.6,729.39,12612
2022-06-01,728.24,740.89,724.26,729.97,7950
2022-06-02,730.04,733.66,726.43,727.87,8996
2022-06-03,727.87,730.04,719.2,722.09,12924
2022-06-06,729.32,743.05,719.92,727.87,8598
2022-06-07,740.89,740.89,722.81,724.98,6813
2022-06-08,721.44,755.7,721.37,748.47,12533
2022-06-09,763.29,766.18,737.27,742.33,10341
2022-06-10,742.33,750.21,730.12,737.27,4048
2022-06-13,730.04,759.39,730.04,734.38,5422
2022-06-14,730.77,733.66,715.59,715.59,12104
2022-06-15,716.31,716.31,693.9,701.13,16287
2022-06-16,694.63,715.59,693.9,704.74,10146
2022-06-17,704.74,715.59,700.41,700.41,5545
2022-06-19,701.13,701.85,691.01,693.83,8953
2022-06-20,688.12,689.57,675.9,680.89,7988
2022-06-21,691.73,703.3,670.05,679.52,12489
2022-06-22,680.89,686.67,675.83,680.89,7210
2022-06-23,668.68,675.76,661.38,663.54,11935
2022-06-24,658.48,664.27,637.52,657.76,11526
2022-06-26,668.6,690.29,668.6,690.22,23286
2022-06-27,701.13,714.14,680.17,680.17,17350
2022-06-28,673.01,683.06,666.58,675.83,5802
2022-06-29,665.71,696.07,665.35,696.07,6951
2022-06-30,704.74,732.79,704.74,732.21,18528
2022-07-01,744.5,746.67,728.6,744.5,11138
2022-07-03,731.49,762.57,731.49,751.73,25535
2022-07-04,758.96,787.87,749.56,751.73,28052
2022-07-05,736.69,766.18,726.79,732.93,16413
2022-07-06,722.81,736.55,715.59,731.49,14984
2022-07-07,746.09,747.39,723.54,723.54,8840
2022-07-08,722.81,727.87,712.04,725.13,5882
2022-07-11,725.13,735.83,701.13,708.36,19496
2022-07-12,708.36,722.81,705.11,709.8,6567
2022-07-13,715.59,737.27,706.91,735.1,11422
2022-07-14,748.11,749.56,729.32,737.99,10163
2022-07-15,737.99,795.1,726.43,795.1,18361
2022-07-17,795.1,795.1,759.61,759.61,12564
2022-07-18,755.34,765.46,745.22,764.74,10655
2022-07-19,779.92,779.99,764.74,767.63,9566
2022-07-20,766.18,777.03,755.7,771.97,8913
2022-07-21,771.97,776.3,759.68,766.26,5500
2022-07-22,761.85,762.57,751.73,758.96,6863
2022-07-24,758.96,787.8,758.96,787.8,11790
2022-07-25,803.05,825.45,803.05,813.17,20208
2022-07-26,813.17,826.18,795.1,795.82,14742
2022-07-27,798.71,808.11,784.25,803.77,8944
2022-07-28,819.67,829.07,805.94,810.28,19267
2022-07-29,809.55,823.29,803.84,823.29,8426
2022-07-31,831.24,839.69,824.01,834.85,9286
2022-08-01,824.01,839.91,818.23,827.62,12905
2022-08-02,824.01,824.01,787.87,805.22,31062
2022-08-03,807.38,825.45,807.38,810.35,18631
2022-08-04,813.17,814.61,796.9,798.71,16427
