timestamp,open,high,low,close,volume
2012-01-01,91.97,96.41,91.36,92.13,2940
2012-01-02,92.13,94.88,92.28,93.35,1110
2012-01-03,93.35,94.88,91.05,93.96,4810
2012-01-04,93.96,94.73,91.82,94.73,5290
2012-01-05,94.73,93.96,92.43,93.81,1180
2012-01-08,93.81,93.5,92.59,93.2,2090
2012-01-09,93.2,93.35,92.59,93.04,1320
2012-01-10,93.04,94.12,93.2,93.35,1700
2012-01-11,93.35,96.72,93.2,93.35,1950
2012-01-12,93.35,93.81,91.51,93.2,1930
2012-01-16,93.2,93.66,91.36,93.2,2020
2012-01-17,93.2,88.61,88.61,88.61,80
2012-01-18,88.61,94.12,90.29,93.35,2950
2012-01-18,93.35,93.04,89.83,93.04,1380
2012-01-22,93.04,93.5,92.59,92.89,2310
2012-01-23,92.89,95.19,92.74,93.35,3430
2012-01-25,93.35,93.66,91.82,93.66,150
2012-01-26,93.66,94.12,93.35,93.66,2660
2012-01-29,93.66,93.96,91.51,93.96,5440
2012-01-31,93.96,93.66,92.59,93.66,1280
2012-02-01,93.66,93.35,92.89,93.2,2860
2012-02-02,93.2,93.66,92.74,92.74,4880
2012-02-05,92.74,93.35,93.04,93.35,2530
2012-02-06,93.35,93.04,91.82,92.59,1900
2012-02-07,92.59,92.59,91.82,91.82,3180
2012-02-08,91.82,91.82,91.36,91.36,1530
2012-02-09,91.36,91.36,90.9,90.9,2620
2012-02-12,90.9,91.05,90.29,91.05,2210
2012-02-13,91.05,91.05,90.44,90.44,5040
2012-02-14,90.44,90.9,90.14,90.14,2410
2012-02-15,90.14,90.6,90.14,90.29,1980
2012-02-16,90.29,91.67,90.9,91.36,510
2012-02-21,91.36,91.82,90.6,91.05,500
2012-02-23,91.05,91.67,90.6,90.75,1460
2012-02-26,90.75,90.9,90.29,90.29,1700
2012-02-27,90.29,90.44,90.29,90.29,1130
2012-02-28,90.29,90.75,90.29,90.75,1900
2012-02-29,90.75,91.51,91.05,91.21,1140
2012-03-01,91.21,91.51,90.9,91.51,2720
2012-03-04,91.51,92.13,90.9,91.67,3350
2012-03-05,91.67,92.13,91.51,91.67,2390
2012-03-06,91.67,91.82,91.36,91.67,2360
2012-03-11,91.67,91.82,90.29,91.51,6530
2012-03-12,91.51,91.51,90.29,91.36,9890
2012-03-13,91.36,91.51,91.36,91.36,800
2012-03-14,91.36,91.67,91.21,91.36,1890
2012-03-15,91.36,91.51,91.05,91.05,1240
2012-03-18,91.05,91.36,90.9,91.36,2090
2012-03-19,91.36,91.51,91.05,91.21,2410
2012-03-20,91.21,91.21,90.9,91.21,2260
2012-03-21,91.21,91.82,90.9,91.21,1960
2012-03-25,91.21,91.05,90.75,90.9,1800
2012-03-26,90.9,91.05,90.14,90.29,2580
2012-03-27,90.29,90.29,88.76,90.29,1100
2012-03-28,90.29,91.67,89.52,89.83,2390
2012-03-29,89.83,90.14,89.83,89.83,2920
2012-04-01,89.83,89.98,89.83,89.98,820
2012-04-02,89.98,91.67,90.29,90.9,720
2012-04-03,90.9,91.82,89.52,91.21,4140
2012-04-04,91.21,91.51,90.9,91.05,560
2012-04-05,91.05,92.59,91.05,91.05,1460
2012-04-08,91.05,91.82,90.9,91.21,1980
2012-04-09,91.21,92.59,91.21,91.82,4360
2012-04-10,91.82,93.04,90.6,92.74,630
2012-04-11,92.74,97.33,93.04,93.35,5120
2012-04-12,93.35,97.48,93.5,97.48,4100
2012-04-15,97.48,105.29,99.32,105.13,3040
2012-04-16,105.13,107.12,107.12,107.12,10
2012-04-17,107.12,117.84,100.54,104.06,10410
2012-04-18,104.06,114.01,100.7,111.1,6290
2012-04-19,111.1,114.62,110.18,112.48,4230
2012-04-22,112.48,117.68,113.24,117.22,6270
2012-04-24,117.22,126.56,119.52,126.56,590
2012-04-25,126.56,139.11,129.01,139.11,1660
2012-04-26,139.11,145.08,131.61,137.12,16192
2012-04-29,137.12,138.34,131.76,135.89,11728
2012-04-30,135.89,134.67,129.31,130.23,5692
2012-05-02,130.23,127.63,117.22,117.99,4996
2012-05-03,117.99,120.28,120.28,120.28,12
2012-05-07,120.28,127.48,122.58,127.48,126
2012-05-08,127.48,137.88,129.93,137.73,10080
2012-05-09,137.73,137.73,131.0,133.75,9050
2012-05-10,133.75,132.68,126.56,131.15,7862
2012-05-13,131.15,129.77,122.27,124.26,4768
2012-05-14,124.26,121.81,116.46,117.22,7552
2012-05-15,117.22,128.85,119.52,128.85,4918
2012-05-16,128.85,133.9,131.3,133.9,40
2012-05-17,133.9,145.38,131.61,135.59,12500
2012-05-20,135.59,134.82,128.55,133.14,7492
2012-05-21,133.14,136.2,128.4,135.43,6120
2012-05-22,135.43,134.21,127.02,132.53,7062
2012-05-23,132.53,129.93,123.34,124.72,5506
2012-05-24,124.72,131.46,123.19,130.08,6274
2012-05-27,130.08,135.89,131.61,134.82,9076
2012-05-29,134.82,132.22,121.36,121.36,260
2012-05-30,121.36,119.06,109.27,109.27,14732
2012-05-31,109.27,116.31,103.14,113.24,9490
2012-06-03,113.24,126.25,115.39,125.18,14662
2012-06-04,125.18,126.25,117.07,121.36,7772
2012-06-05,121.36,120.9,116.31,118.91,4222
2012-06-06,118.91,118.91,116.46,117.84,3270
2012-06-07,117.84,121.05,116.46,119.37,4402
2012-06-10,119.37,118.91,117.07,117.84,4096
2012-06-11,117.84,122.58,118.14,119.37,686
2012-06-12,119.37,120.74,115.54,119.37,1580
2012-06-13,119.37,121.66,117.84,119.21,3332
2012-06-14,119.21,119.21,117.07,119.21,2602
2012-06-17,119.21,121.36,117.99,119.37,2292
2012-06-18,119.37,121.51,117.84,120.74,2932
2012-06-19,120.74,120.44,118.91,120.44,3212
2012-06-20,120.44,122.43,120.13,120.59,2554
2012-06-21,120.59,123.96,118.6,123.96,4500
2012-06-25,123.96,127.78,122.58,127.48,5504
2012-06-26,127.48,127.17,123.65,127.17,7064
2012-06-27,127.17,129.31,124.72,128.55,6216
2012-06-28,128.55,129.31,124.11,129.01,5440
2012-07-01,129.01,128.85,126.25,127.32,7440
2012-07-02,127.32,130.08,125.64,128.55,3918
2012-07-03,128.55,128.55,123.8,128.55,3798
2012-07-04,128.55,130.38,127.48,129.47,5560
2012-07-05,129.47,130.84,129.16,129.31,12308
2012-07-08,129.31,130.08,127.94,130.08,6982
2012-07-09,130.08,132.83,129.62,131.91,18312
2012-07-10,131.91,136.2,130.38,134.21,15294
2012-07-11,134.21,135.59,134.06,135.43,6534
2012-07-12,135.43,134.67,131.61,133.6,16062
2012-07-15,133.6,139.26,133.45,139.26,7380
2012-07-16,139.26,136.81,129.31,134.82,4481
2012-07-17,134.82,135.13,132.22,134.98,8952
2012-07-18,134.98,138.34,134.06,138.34,8086
2012-07-19,138.34,142.32,134.98,140.18,11222
2012-07-22,140.18,147.52,138.8,147.52,12652
2012-07-23,147.52,152.57,145.69,150.28,10834
2012-07-24,150.28,152.57,146.3,146.3,13712
2012-07-25,146.3,153.03,149.21,150.89,13874
2012-07-26,150.89,153.34,146.91,153.34,5808
2012-07-29,153.34,150.28,147.68,148.44,9978
2012-07-30,148.44,149.97,147.68,149.51,9630
2012-07-31,149.51,150.58,146.91,149.97,5272
2012-08-01,149.97,152.57,149.36,152.57,10496
2012-08-05,152.57,155.79,151.96,155.33,14232
2012-08-06,155.33,159.15,152.73,159.15,15310
2012-08-07,159.15,164.36,159.15,163.75,14072
2012-08-08,163.75,167.57,162.22,167.57,24956
2012-08-12,167.57,171.7,163.9,164.97,17090
2012-08-13,164.97,166.04,159.15,163.13,8774
2012-08-14,163.13,163.75,159.15,161.91,6978
2012-08-15,161.91,160.69,157.62,158.08,17522
2012-08-16,158.08,159.92,153.03,158.85,16196
2012-08-19,158.85,159.92,156.09,159.0,5446
2012-08-21,159.0,159.92,157.17,159.15,7802
2012-08-22,159.15,160.69,159.15,159.92,4794
2012-08-23,159.92,161.76,158.54,160.69,8822
2012-08-26,160.69,162.22,159.31,160.53,4822
2012-08-27,160.53,161.91,157.01,161.76,10390
2012-08-28,161.76,164.36,162.22,163.75,6108
2012-08-29,163.75,164.66,160.84,164.05,5652
2012-08-30,164.05,164.97,163.59,163.75,5784
2012-09-02,163.75,168.18,164.51,167.42,7944
2012-09-03,167.42,168.34,164.51,167.88,7448
2012-09-04,167.88,169.1,165.74,167.72,15002
2012-09-05,167.72,168.34,166.35,167.88,10702
2012-09-06,167.88,168.34,165.28,168.18,9316
2012-09-09,168.18,168.34,166.19,168.34,7580
2012-09-10,168.34,168.8,167.57,168.03,6932
2012-09-11,168.03,168.18,167.27,167.57,8912
2012-09-12,167.57,168.03,166.19,167.88,5382
2012-09-13,167.88,169.1,167.57,168.34,16632
2012-09-16,168.34,172.93,167.57,172.62,13492
2012-09-17,172.62,178.28,170.79,178.28,9210
2012-09-18,178.28,185.63,177.67,181.34,19316
2012-09-19,181.34,183.64,168.34,173.54,17176
2012-09-20,173.54,176.75,168.34,173.69,20656
2012-09-23,173.69,177.52,171.7,173.23,45792
2012-09-24,173.23,178.59,172.32,175.22,30478
2012-09-25,227.79,185.42,173.48,176.66,1412
2012-09-26,176.66,178.05,170.1,174.67,1798
2012-09-27,174.67,175.07,172.09,173.08,2348
2012-09-30,173.08,175.07,170.49,173.28,1388
2012-10-01,173.28,175.27,171.89,173.48,3356
2012-10-02,173.48,179.05,176.06,179.05,1482
2012-10-03,179.05,184.22,178.25,184.22,2274
2012-10-04,184.22,192.98,186.01,192.98,4452
2012-10-07,192.98,201.33,196.76,199.94,8450
2012-10-08,199.94,201.33,196.56,196.76,4272
2012-10-09,196.76,198.94,191.98,192.58,4530
2012-10-10,192.58,191.98,189.39,191.38,1044
2012-10-11,191.38,190.59,189.0,189.59,4344
2012-10-14,189.59,191.98,189.2,189.2,718
2012-10-15,189.2,191.98,190.19,191.98,1894
2012-10-17,191.98,196.95,192.98,193.97,558
2012-10-18,193.97,196.95,193.97,196.95,754
2012-10-30,196.95,200.93,198.94,200.93,1644
2012-10-31,200.93,208.89,201.13,205.51,3578
2012-11-01,205.51,205.91,201.93,205.31,3814
2012-11-04,205.31,206.5,202.92,205.91,1720
