timestamp,open,high,low,close,volume
2021-06-09,337.63,370.91,337.63,370.91,261
2021-06-10,388.77,407.43,388.77,407.43,590
2021-06-13,427.73,448.02,427.73,448.02,1281
2021-06-14,469.93,492.65,469.93,492.65,1780
2021-06-15,517.0,541.35,517.0,541.35,3300
2021-06-16,568.14,594.92,568.14,594.92,28761
2021-06-17,624.14,654.17,551.9,555.96,139756
2021-06-20,568.14,568.14,502.39,515.38,66666
2021-06-21,505.64,515.38,481.29,496.71,30308
2021-06-22,487.79,523.5,478.86,517.82,24901
2021-06-23,515.38,515.38,486.16,495.09,21451
2021-06-24,485.35,491.03,477.23,477.23,20819
2021-06-27,477.23,495.09,465.06,465.87,15787
2021-06-28,462.62,486.97,456.94,480.48,18982
2021-06-29,486.97,491.03,468.31,474.8,14902
2021-06-30,470.74,478.86,454.51,469.12,9389
2021-07-01,460.19,478.86,460.19,469.93,14450
2021-07-04,478.86,507.26,471.55,504.02,41720
2021-07-05,507.26,542.98,503.21,530.8,51282
2021-07-06,538.11,538.11,511.32,521.87,26520
2021-07-07,515.38,523.5,507.26,515.38,21037
2021-07-08,505.64,516.19,500.77,505.64,18339
2021-07-11,495.09,522.68,495.09,515.38,30632
2021-07-12,515.38,523.5,499.96,503.21,20503
2021-07-13,497.52,503.21,493.47,495.09,15988
2021-07-14,495.09,509.7,490.22,503.21,10935
2021-07-15,503.21,511.32,495.9,502.39,12077
2021-07-18,503.21,508.08,498.34,503.29,12597
2021-07-19,507.26,522.68,503.21,521.06,28160
2021-07-20,512.46,568.14,511.32,560.02,85932
2021-07-22,568.14,616.02,560.02,616.02,105781
2021-07-25,616.83,657.41,615.21,654.17,106809
2021-07-26,667.23,681.76,630.63,678.52,87376
2021-07-27,678.52,689.88,653.36,671.21,54095
2021-07-28,662.28,673.65,637.12,663.1,48150
2021-07-29,663.1,663.91,638.75,649.3,51189
2021-08-01,649.3,714.23,649.3,711.79,78768
2021-08-02,722.34,726.0,685.01,685.82,78313
2021-08-03,685.82,740.85,677.7,740.85,65324
2021-08-04,755.62,811.62,741.01,791.33,91969
2021-08-05,791.33,805.13,760.49,763.74,59129
2021-08-08,750.75,775.1,736.95,762.93,58440
2021-08-09,751.56,787.27,751.56,770.23,46679
2021-08-10,770.23,787.27,754.89,758.87,29357
2021-08-11,762.93,834.75,756.43,818.93,67588
2021-08-12,818.93,880.61,804.32,852.2,62758
2021-08-15,852.2,860.97,803.51,835.97,88109
2021-08-16,819.74,851.39,803.51,842.46,59174
2021-08-17,842.46,926.71,830.61,926.71,70567
