timestamp,open,high,low,close,volume
2012-01-01,33.26,33.04,33.04,33.04,50
2012-01-08,33.04,33.73,33.26,33.49,107
2012-01-09,33.49,33.73,33.73,33.73,12
2012-01-10,33.73,34.1,33.86,34.1,40
2012-01-23,34.1,34.84,34.33,34.6,127
2012-01-26,34.6,34.87,34.87,34.87,15
2012-01-29,34.87,34.87,34.87,34.87,62
2012-01-31,34.87,35.14,34.87,35.14,25
2012-02-01,35.14,35.14,35.14,35.14,50
2012-02-12,35.14,34.87,34.87,34.87,52
2012-02-15,34.87,35.68,35.14,35.68,104
2012-02-21,35.68,36.03,35.95,36.03,43
2012-02-23,36.03,36.28,36.28,36.28,20
2012-02-26,36.28,36.87,36.57,36.87,46
2012-02-28,36.87,37.49,37.16,37.49,70
2012-03-04,37.49,37.51,37.51,37.51,10
2012-03-06,37.51,37.63,37.63,37.63,62
2012-03-11,37.63,37.63,37.63,37.63,126
2012-03-15,37.63,37.81,37.81,37.81,15
2012-03-20,37.81,37.81,37.51,37.68,2063
2012-03-21,37.68,37.63,37.51,37.63,110
2012-03-25,37.63,37.76,37.51,37.51,71
2012-03-29,37.51,37.19,36.57,36.77,449
2012-04-01,36.77,36.47,36.47,36.47,40
2012-04-02,36.47,36.18,36.18,36.18,52
2012-04-05,36.18,35.88,35.88,35.88,156
2012-04-09,35.88,35.61,35.61,35.61,40
2012-04-12,35.61,35.78,35.78,35.78,45
2012-05-02,35.78,35.56,35.53,35.53,198
2012-05-08,35.53,35.58,35.56,35.58,144
2012-05-09,35.58,35.86,35.86,35.86,40
2012-05-10,35.86,36.15,36.15,36.15,38
2012-05-21,36.15,36.45,36.15,36.45,360
2012-05-22,36.45,36.45,36.45,36.45,160
2012-05-24,36.45,36.74,36.74,36.74,40
2012-05-30,36.74,36.52,36.52,36.52,40
2012-06-04,36.52,36.4,36.28,36.35,220
2012-06-05,36.35,36.65,36.28,36.52,412
2012-06-06,36.52,36.23,36.23,36.23,72
2012-06-11,36.23,36.28,36.28,36.28,48
2012-06-12,36.28,36.52,36.28,36.52,29
2012-06-13,36.52,36.77,36.52,36.77,133
2012-06-17,36.77,37.71,37.07,37.71,71
2012-06-18,37.71,38.03,38.03,38.03,16
2012-06-19,38.03,38.03,38.03,38.03,30
2012-06-20,38.03,39.63,38.35,39.63,538
2012-07-04,46.16,39.63,39.63,39.63,100
2012-07-05,39.63,40.17,39.47,40.17,251
2012-07-08,40.17,40.53,40.53,40.53,10
2012-07-09,40.53,40.17,39.47,39.47,122
2012-07-11,39.47,39.83,39.83,39.83,25
2012-07-12,39.83,40.2,39.83,39.83,28
2012-07-18,39.83,39.97,39.97,39.97,34
2012-07-25,39.97,40.33,40.33,40.33,10
2012-07-30,40.33,40.7,40.7,40.7,31
2012-08-23,40.7,41.07,41.07,41.07,34
2012-08-27,41.07,41.47,41.47,41.47,10
2012-09-09,41.47,41.87,41.87,41.87,40
2012-09-10,41.87,43.53,42.27,43.53,160
2012-09-11,43.53,44.4,43.97,44.4,160
2012-09-12,44.4,45.8,44.86,45.8,35
2012-09-13,45.8,46.26,46.26,46.26,40
2012-09-19,46.26,46.76,46.26,46.76,186
2012-09-20,46.76,47.26,47.26,47.26,40
2012-09-23,47.26,49.33,47.76,49.33,225
2012-09-24,49.33,50.86,49.46,50.3,184
2012-09-25,50.3,51.4,50.86,50.96,340
2012-09-26,50.96,50.46,50.36,50.46,255
2012-09-30,50.46,50.46,49.96,49.96,80
2012-10-02,49.96,49.4,49.4,49.4,40
2012-10-03,49.4,48.83,48.3,48.3,184
2012-10-04,48.3,47.76,47.76,47.76,225
2012-10-07,47.76,48.86,48.3,48.86,121
2012-10-08,48.86,49.96,48.96,49.96,180
2012-10-09,49.96,50.3,49.73,49.73,49
2012-10-10,49.73,50.3,49.8,50.3,115
2012-10-18,50.3,50.3,50.3,50.3,40
2012-10-30,50.3,50.53,49.96,50.53,88
2012-10-31,50.53,51.46,50.93,51.46,50
2012-11-01,51.46,51.56,50.96,51.56,45
2012-11-04,51.56,51.56,51.3,51.3,137
2012-11-05,51.3,52.3,51.9,52.3,61
2012-11-07,52.3,53.63,52.9,53.63,197
2012-11-12,53.63,54.43,53.8,53.8,250
2012-11-20,53.8,54.4,54.4,54.4,10
2012-11-21,54.4,55.06,54.4,54.4,303
2012-11-22,54.4,54.4,54.4,54.4,40
2012-11-28,54.4,54.96,54.96,54.96,31
2012-11-29,54.96,54.4,53.63,53.63,190
2012-12-13,53.63,54.3,54.3,54.3,54
2012-12-16,54.3,54.3,54.3,54.3,60
2012-12-17,54.3,56.96,54.96,55.63,378
2012-12-19,55.63,59.1,56.3,59.1,138
2012-12-20,59.1,62.89,59.83,62.89,354
2012-12-23,62.89,64.46,63.63,64.46,593
2012-12-26,64.46,68.56,65.33,68.56,100
2012-12-27,68.56,68.96,67.63,68.96,189
2012-12-31,68.96,70.29,69.33,69.33,31
2013-01-01,69.33,68.49,67.63,67.63,153
2013-01-02,67.63,68.29,67.36,68.09,1053
2013-01-03,68.09,69.46,68.63,69.16,433
2013-01-06,69.16,72.13,69.16,72.13,660
2013-01-07,72.13,77.22,72.96,76.32,604
2013-01-08,76.32,75.49,75.46,75.46,213
2013-01-09,75.46,76.52,76.52,76.52,10
2013-01-13,76.52,75.43,74.36,74.36,21
2013-01-15,74.36,73.29,69.03,69.03,98
2013-01-16,69.03,69.03,64.79,68.96,900
2013-01-17,68.96,68.19,66.96,67.96,748
2013-01-21,67.96,67.03,67.03,67.03,109
2013-01-22,67.03,68.73,67.79,68.73,509
2013-01-23,68.73,69.66,69.26,69.26,170
2013-01-24,69.26,69.26,69.26,69.26,40
2013-01-27,69.26,70.19,69.23,69.23,39
2013-01-28,69.23,68.29,65.03,65.63,1083
2013-01-30,65.63,65.23,64.39,64.49,324
2013-01-31,64.49,64.79,64.29,64.79,211
2013-02-03,64.79,65.36,64.49,65.36,133
2013-02-04,65.36,65.63,65.36,65.36,50
2013-02-05,65.36,65.63,64.79,64.79,81
2013-02-06,64.79,64.29,64.29,64.29,67
2013-02-10,64.29,64.96,64.29,64.96,211
2013-02-12,64.96,65.96,64.96,65.96,322
2013-02-13,65.96,67.93,65.96,67.86,236
2013-02-14,67.86,67.29,67.29,67.29,84
2013-02-17,67.29,68.19,68.19,68.19,10
2013-02-19,68.19,71.03,69.13,70.03,394
2013-02-20,70.03,69.59,68.49,68.49,301
2013-02-24,68.49,67.66,67.29,67.66,220
2013-02-25,67.66,67.63,67.63,67.63,85
2013-02-27,67.63,67.59,67.43,67.43,90
2013-02-28,67.43,67.63,67.43,67.63,312
2013-03-04,67.63,67.63,67.46,67.46,159
2013-03-06,67.46,67.79,67.79,67.79,100
2013-03-07,67.79,66.86,66.86,66.86,88
2013-03-11,66.86,67.76,67.76,67.76,10
2013-03-13,67.76,68.69,67.76,68.13,574
2013-03-14,68.13,69.16,68.96,68.96,301
2013-03-17,68.96,69.13,68.29,68.96,357
2013-03-18,68.96,68.96,68.03,68.03,95
2013-03-20,68.03,67.09,67.09,67.09,40
2013-03-21,67.09,66.79,66.79,66.79,477
2013-03-24,66.79,67.59,67.59,67.59,54
2013-03-25,67.59,67.96,66.86,67.96,747
2013-03-27,67.96,68.63,67.16,68.13,287
2013-03-28,68.13,68.46,68.13,68.13,239
2013-03-31,68.13,68.63,68.26,68.33,474
2013-04-01,68.33,68.29,68.29,68.29,10
2013-04-02,68.29,67.96,67.96,67.96,52
2013-04-03,67.96,68.09,66.83,67.63,269
