timestamp,open,high,low,close,volume
2012-01-01,63.93,64.56,63.3,64.56,1340
2012-01-02,64.56,66.24,63.72,66.24,1498
2012-01-03,66.24,67.07,65.61,65.61,730
2012-01-04,65.61,65.19,63.93,63.93,780
2012-01-05,63.93,63.3,62.68,62.68,360
2012-01-08,62.68,63.3,63.3,63.3,200
2012-01-09,63.3,63.93,62.89,63.51,780
2012-01-10,63.51,64.98,64.14,64.98,370
2012-01-11,64.98,65.82,64.98,65.19,1290
2012-01-12,65.19,65.4,64.98,65.4,1080
2012-01-16,65.4,65.4,64.77,64.77,280
2012-01-17,64.77,64.77,63.72,64.77,3130
2012-01-18,64.77,64.98,64.77,64.77,313
2012-01-22,64.98,65.61,63.72,63.72,246
2012-01-23,63.72,64.35,63.93,64.14,698
2012-01-25,64.14,65.4,64.14,64.14,776
2012-01-26,64.14,64.77,64.14,64.56,326
2012-01-29,64.56,65.19,65.19,65.19,378
2012-01-31,65.19,64.56,62.89,63.72,1221
2012-02-01,63.72,64.56,63.72,63.93,1085
2012-02-02,63.93,64.56,63.93,63.93,328
2012-02-05,63.93,63.51,62.89,63.3,320
2012-02-06,63.3,64.56,63.3,63.3,1380
2012-02-07,63.3,64.77,63.3,63.93,5356
2012-02-08,63.93,64.14,63.3,63.72,1143
2012-02-09,63.72,63.93,63.1,63.1,812
2012-02-12,63.1,63.72,62.68,62.89,505
2012-02-13,62.89,63.3,62.26,63.1,1581
2012-02-14,63.1,63.51,62.68,62.68,670
2012-02-15,62.68,62.68,62.26,62.68,326
2012-02-16,62.68,62.47,61.84,62.26,1872
2012-02-21,62.26,62.89,62.05,62.89,190
2012-02-23,62.89,62.89,62.68,62.68,198
2012-02-26,62.68,63.1,62.05,62.89,2096
2012-02-27,62.89,63.93,63.51,63.93,42
2012-02-28,63.93,64.14,63.72,63.93,434
2012-02-29,63.93,64.14,63.3,63.72,1576
2012-03-01,63.72,64.98,62.89,63.3,863
2012-03-04,63.3,64.56,63.72,64.56,1960
2012-03-05,64.56,64.56,63.72,63.72,1603
2012-03-06,63.72,64.35,63.51,63.93,1353
2012-03-11,63.93,64.14,63.51,63.72,733
2012-03-12,63.72,63.51,62.89,62.89,1654
2012-03-13,62.89,63.1,62.26,62.68,735
2012-03-14,62.68,63.1,62.68,63.1,752
2012-03-15,63.1,62.89,61.84,62.47,1055
2012-03-18,62.47,62.89,62.05,62.89,2265
2012-03-19,62.89,63.72,63.1,63.1,695
2012-03-20,63.1,63.3,62.47,62.89,842
2012-03-21,62.89,62.89,61.84,61.84,1401
2012-03-25,61.84,62.47,61.84,62.05,1110
2012-03-26,62.05,61.63,61.0,61.63,536
2012-03-27,61.63,62.26,61.63,62.26,864
2012-03-28,62.26,62.47,61.42,62.47,790
2012-03-29,62.47,62.47,62.26,62.47,515
2012-04-01,62.47,62.68,62.26,62.47,512
2012-04-02,62.47,63.1,62.05,62.89,1216
2012-04-03,62.89,64.14,62.05,63.72,1599
2012-04-04,63.72,63.51,62.89,62.89,1025
2012-04-05,62.89,63.72,62.89,63.72,663
2012-04-08,63.72,64.14,62.68,63.93,1927
2012-04-09,63.93,63.51,62.89,63.51,864
2012-04-10,63.51,64.35,63.93,64.35,984
2012-04-11,64.35,66.24,64.98,64.98,2429
2012-04-12,64.98,68.33,65.19,68.33,4779
2012-04-15,68.33,72.31,68.96,72.31,1682
2012-04-16,72.31,73.14,73.14,73.14,20
2012-04-17,73.14,76.49,70.63,70.63,2610
2012-04-18,70.63,74.19,69.17,72.52,7397
2012-04-19,72.52,75.24,71.68,73.77,9957
2012-04-22,73.77,78.17,74.4,78.17,9024
2012-04-24,78.17,82.98,79.0,82.98,1096
2012-04-25,82.98,88.42,84.03,88.42,13760
2012-04-26,88.42,91.56,83.19,90.1,30539
2012-04-29,90.1,90.73,87.59,88.21,9658
2012-04-30,88.21,87.17,82.77,83.4,5579
2012-05-02,83.4,82.35,82.35,82.35,100
2012-05-03,82.35,87.59,83.4,87.59,1567
2012-05-07,87.59,92.82,88.63,92.82,5243
2012-05-08,92.82,94.08,88.21,88.21,12311
2012-05-09,88.21,89.05,83.82,86.75,12822
2012-05-10,86.75,86.33,84.03,84.45,8530
2012-05-13,84.45,84.03,77.96,77.96,4182
2012-05-14,77.96,77.12,73.14,75.24,4613
2012-05-15,75.24,79.84,76.07,79.84,1144
2012-05-16,79.84,80.68,80.68,80.68,40
2012-05-17,80.68,85.91,83.19,84.87,26430
2012-05-20,84.87,85.91,80.68,84.03,9000
2012-05-21,84.03,85.49,81.1,84.87,4485
2012-05-22,84.87,84.03,82.14,82.77,4774
2012-05-24,82.77,83.19,79.21,82.56,6802
2012-05-27,82.56,86.54,81.52,85.07,6454
2012-06-03,85.07,84.03,80.68,81.73,2373
2012-06-04,81.73,81.52,76.91,79.0,8623
2012-06-05,79.0,78.59,75.24,76.28,5472
2012-06-06,76.28,75.45,73.35,73.98,5246
2012-06-07,73.98,77.33,72.31,75.03,3226
2012-06-10,75.03,74.82,73.14,73.98,2009
2012-06-11,73.98,75.65,73.35,73.56,2735
2012-06-12,73.56,75.86,73.77,74.4,3000
2012-06-13,74.4,74.4,73.14,74.19,4431
2012-06-14,74.19,74.4,72.72,73.35,2306
2012-06-17,73.35,73.77,72.31,73.77,1984
2012-06-18,73.77,74.4,74.19,74.19,595
2012-06-19,74.19,73.77,72.31,72.52,5537
2012-06-20,72.52,75.24,72.52,73.14,3151
2012-06-21,73.14,75.24,73.98,75.24,2844
2012-06-25,75.24,76.91,75.03,76.91,1862
2012-06-26,76.91,76.07,74.19,75.86,3369
2012-06-27,75.86,76.49,74.61,76.49,2515
2012-06-28,76.49,78.17,76.07,76.28,1645
2012-07-01,76.28,75.86,74.61,75.24,2114
2012-07-02,75.24,75.65,74.4,75.03,1435
2012-07-03,75.03,76.07,74.19,76.07,1287
2012-07-04,76.07,76.49,75.03,75.45,2843
2012-07-05,75.45,76.28,75.86,76.07,862
2012-07-08,76.07,76.07,74.82,75.65,1910
2012-07-09,75.65,75.65,75.03,75.45,704
2012-07-10,75.45,77.33,76.07,76.07,1361
2012-07-11,76.07,77.33,75.24,76.28,1824
2012-07-12,76.28,76.49,75.24,76.49,1686
2012-07-16,76.49,75.86,75.24,75.45,1133
2012-07-17,75.45,75.24,74.82,74.82,551
2012-07-18,74.82,75.86,73.14,75.45,4058
2012-07-19,75.45,77.54,75.65,77.54,3244
2012-07-22,77.54,78.38,76.7,76.7,4795
2012-07-23,76.7,79.42,75.86,78.59,3820
2012-07-24,78.59,77.75,75.86,76.7,2096
2012-07-25,76.7,77.12,76.07,76.28,2265
2012-07-26,76.28,76.49,75.03,76.28,3740
2012-07-29,76.28,75.86,74.4,75.03,1213
2012-07-30,75.03,75.86,74.61,75.03,728
2012-07-31,75.03,75.65,75.03,75.45,1780
2012-08-01,75.45,75.86,75.03,75.45,4167
2012-08-05,75.45,75.45,74.61,75.45,683
2012-08-06,75.45,75.45,74.61,74.61,2349
2012-08-07,74.61,75.45,73.98,74.4,1656
2012-08-08,74.4,74.4,72.72,73.56,5646
2012-08-12,73.56,72.72,71.89,72.72,3353
2012-08-13,72.72,72.52,70.42,72.31,3119
2012-08-14,72.31,72.52,69.79,70.42,3828
2012-08-15,70.42,69.79,68.75,69.58,1483
2012-08-16,69.58,72.31,68.33,72.31,3898
2012-08-19,72.31,73.14,72.1,72.1,814
2012-08-21,72.1,71.47,70.84,70.84,2054
2012-08-22,70.84,71.68,70.63,70.63,1727
2012-08-23,70.63,71.26,70.21,70.63,2751
2012-08-26,70.63,71.26,67.07,68.96,2885
2012-08-27,68.96,70.21,68.96,68.96,2875
2012-08-28,68.96,70.42,69.58,70.21,684
2012-08-29,70.21,71.47,70.63,70.84,905
2012-08-30,70.84,71.26,70.21,70.42,2015
2012-09-02,70.42,72.72,70.42,72.31,2399
2012-09-03,72.31,72.31,71.26,72.31,837
2012-09-04,72.31,72.52,71.26,72.1,611
2012-09-05,72.1,71.47,71.05,71.05,1352
2012-09-06,71.05,71.47,70.84,71.47,284
2012-09-09,71.47,71.68,71.05,71.26,1673
2012-09-10,71.26,71.68,71.26,71.26,1296
2012-09-11,71.26,72.1,70.63,72.1,1825
2012-09-12,72.1,72.72,71.05,71.05,1653
2012-09-13,71.05,71.89,71.05,71.89,2960
2012-09-16,71.89,72.72,71.05,72.31,7256
2012-09-17,72.31,72.72,72.31,72.72,3980
2012-09-18,72.72,73.98,72.72,72.72,1868
2012-09-19,72.72,72.72,71.26,71.89,3398
2012-09-20,71.89,71.47,69.79,70.63,223
2012-09-23,70.63,69.79,68.96,69.38,491
2012-09-24,69.38,68.75,68.12,68.33,1164
2012-09-25,68.33,68.54,68.12,68.12,53
2012-09-26,68.12,68.75,67.91,68.33,1166
2012-09-27,68.33,68.75,68.54,68.75,1517
2012-09-30,68.75,68.54,67.49,68.54,3280
2012-10-01,68.54,68.54,67.28,67.28,2645
2012-10-02,67.28,67.91,66.86,67.7,3604
2012-10-03,67.7,67.91,67.49,67.7,847
2012-10-04,67.7,68.54,67.91,68.54,353
2012-10-07,68.54,69.58,68.12,69.58,3898
2012-10-08,69.58,70.21,69.58,69.58,2166
2012-10-09,69.58,69.58,69.17,69.17,790
2012-10-10,69.17,69.17,68.75,69.17,1640
2012-10-11,69.17,69.17,68.75,69.17,606
2012-10-14,69.17,70.21,69.79,70.21,1554
2012-10-15,70.21,70.0,69.17,70.0,348
2012-10-17,70.0,72.1,70.0,72.1,6351
2012-10-18,72.1,72.1,70.42,72.1,970
2012-10-30,72.1,73.98,71.68,73.98,1651
2012-10-31,73.98,77.12,73.98,75.45,6226
2012-11-01,75.45,76.07,74.82,75.86,5030
