timestamp,open,high,low,close,volume
2025-11-06,402.2,442.4,402.2,442.4,460
2025-11-09,451.0,486.6,451.0,486.6,970
2025-11-10,491.2,535.2,491.2,535.2,3280
2025-11-11,545.8,588.7,545.8,572.0,149771
2025-11-12,580.0,580.0,520.0,522.1,123835
2025-11-13,520.0,574.0,502.0,558.0,56540
2025-11-16,558.0,558.0,523.0,524.0,55621
2025-11-17,534.4,554.0,510.0,539.0,60615
2025-11-18,545.8,555.0,538.1,541.1,44476
2025-11-19,551.9,595.2,537.0,595.2,122135
2025-11-20,600.0,619.0,561.0,566.0,93546
2025-11-23,555.0,572.0,555.0,556.0,66360
2025-11-24,556.0,568.0,551.0,553.0,60367
2025-11-25,550.0,591.0,548.1,591.0,62170
2025-11-26,591.0,595.0,571.0,571.0,59458
2025-11-27,571.0,583.0,566.1,574.0,50931
2025-11-30,566.2,579.0,560.0,564.0,53028
2025-12-01,561.0,572.3,553.1,569.3,29522
2025-12-02,578.0,617.0,561.1,605.0,101883
2025-12-03,607.0,640.0,605.2,622.3,105304
2025-12-07,630.0,630.0,587.3,590.0,76902
2025-12-08,586.0,600.0,580.2,588.0,53314
2025-12-09,576.3,609.9,576.3,600.0,54340
2025-12-10,591.1,607.0,584.0,586.0,59011
2025-12-11,585.0,599.0,580.0,585.0,40600
2025-12-14,583.0,590.0,570.0,572.0,38697
2025-12-15,573.1,579.0,566.0,578.9,33111
2025-12-16,575.0,599.0,575.0,587.0,37183
2025-12-17,585.1,594.9,576.5,577.0,34031
2025-12-18,565.5,585.0,565.5,572.5,38804
2025-12-21,572.0,573.9,556.0,559.2,34872
2025-12-22,559.0,567.9,547.0,554.9,37623
2025-12-23,555.0,565.0,546.2,555.0,27206
2025-12-24,555.0,577.0,550.0,554.0,20131
2025-12-28,547.0,570.0,547.0,567.6,42156
2025-12-29,567.6,576.0,555.0,562.0,38260
2025-12-31,570.0,576.0,556.0,571.0,56574
2026-01-01,568.0,589.9,560.0,584.9,73078
2026-01-04,584.0,608.0,575.1,608.0,108114
2026-01-05,620.0,666.0,605.0,666.0,194735
2026-01-06,675.0,708.0,642.1,654.0,133901
2026-01-07,642.0,664.0,620.0,627.0,98577
2026-01-08,615.0,650.0,611.1,649.8,85496
2026-01-12,662.0,673.2,639.1,663.0,135533
2026-01-13,650.0,679.8,650.0,656.0,106947
2026-01-14,650.0,679.0,642.0,648.0,45157
2026-01-18,645.0,670.1,641.0,669.0,110938
2026-01-20,670.0,680.3,662.0,665.0,81375
2026-01-21,652.0,678.0,652.0,659.0,58017
2026-01-22,652.0,700.0,652.0,689.9,118951
2026-01-25,689.0,753.0,689.0,739.9,130833
2026-01-26,739.0,813.8,717.0,785.0,169437
2026-01-27,790.0,860.0,775.0,851.0,141936
2026-01-28,834.0,918.9,794.0,842.0,144499
2026-01-29,825.2,840.0,760.0,763.0,128908
2026-02-01,747.8,777.0,721.0,760.9,74101
2026-02-02,761.0,820.0,761.0,816.0,104728
2026-02-03,820.0,877.0,784.0,789.0,210982
2026-02-04,789.1,790.0,755.1,760.0,65853
2026-02-05,744.8,774.7,744.8,758.0,49424
2026-02-08,745.0,770.0,740.8,750.0,56122
2026-02-09,735.0,753.0,715.0,730.0,43473
2026-02-10,716.0,755.0,716.0,742.0,35517
2026-02-11,756.8,770.0,722.0,742.0,21483
2026-02-12,727.3,739.5,720.0,721.0,47798
2026-02-16,721.0,740.0,712.0,729.0,29374
2026-02-17,743.5,743.5,698.0,720.0,34915
2026-02-22,720.0,729.0,680.0,683.0,30816
2026-02-23,680.0,693.0,665.0,680.0,36742
2026-02-24,690.0,719.0,673.1,719.0,34247
2026-02-25,719.0,730.0,696.0,730.0,35376
2026-02-26,744.6,744.6,710.0,729.0,30786
2026-03-01,714.5,730.0,687.0,725.0,29714
2026-03-03,724.0,740.0,717.1,735.9,50814
2026-03-09,750.6,795.9,750.6,795.9,1360
2026-03-10,800.0,810.0,750.0,768.0,94315
2026-03-11,768.0,788.0,735.3,740.0,70389
2026-03-12,745.0,813.0,718.1,810.0,136276
2026-03-15,810.0,810.0,729.0,729.0,144193
2026-03-16,723.0,725.0,704.1,710.0,64393
2026-03-17,711.0,711.0,695.0,704.0,52110
2026-03-19,705.0,717.2,698.1,705.1,57051
2026-03-22,705.1,716.0,701.0,707.0,41639
2026-03-23,705.0,719.0,693.0,702.0,40522
2026-03-24,703.0,707.7,698.0,705.0,28442
2026-03-25,705.0,727.0,698.0,715.0,46970
2026-03-26,715.0,734.0,715.0,732.9,63123
2026-03-29,747.4,747.4,703.0,708.0,36728
2026-03-30,705.0,711.0,689.0,694.0,44493
2026-03-31,690.0,703.8,671.3,695.0,29377
2026-04-01,695.0,695.0,653.1,661.0,22369
2026-04-02,647.8,675.0,647.8,659.9,29697
2026-04-05,659.9,660.0,594.0,598.0,40562
2026-04-06,592.0,634.0,588.0,620.0,34959
2026-04-07,625.0,642.0,611.4,614.0,16836
2026-04-08,626.0,657.9,615.0,655.0,52691
2026-04-09,665.0,678.3,655.0,669.0,45194
2026-04-10,680.0,680.0,646.0,656.0,32500
2026-04-13,650.0,659.9,640.0,647.0,28521
2026-04-15,655.8,658.0,640.0,654.0,29123
2026-04-16,645.0,653.0,633.2,635.0,24253
2026-04-17,622.3,647.0,622.3,635.0,14201
2026-04-20,654.0,654.0,620.0,648.9,26725
2026-04-21,681.3,681.3,635.0,640.0,15599
2026-04-22,625.1,643.7,615.0,631.0,26039
2026-04-23,631.0,639.9,618.0,619.5,17531
2026-04-24,618.0,620.0,601.2,620.0,20088
2026-04-27,635.0,635.0,615.0,618.5,12859
2026-04-28,610.0,622.0,605.0,610.0,18721
2026-04-29,600.0,618.0,595.0,604.0,17665
2026-04-30,615.0,615.2,594.0,599.3,20350
2026-05-04,598.7,602.5,586.0,586.0,12005
2026-05-05,586.0,595.0,576.0,588.0,15537
2026-05-06,585.0,600.0,580.0,585.0,9997
2026-05-07,579.5,587.0,576.0,581.2,6882
2026-05-08,584.0,600.0,579.0,599.0,15050
2026-05-11,602.0,618.0,602.0,617.9,15812
2026-05-12,617.0,617.0,592.0,597.0,12710
2026-05-13,587.0,597.0,587.0,595.0,6354
2026-05-14,600.0,609.0,582.0,588.0,17891
2026-05-15,585.0,596.9,585.0,588.0,9090
2026-05-18,572.0,607.5,572.0,603.2,23069
2026-05-19,603.0,629.9,600.0,625.0,40114
2026-05-20,636.6,644.0,620.0,642.9,47897
2026-05-21,641.0,648.9,623.0,630.0,23497
2026-05-22,625.0,670.0,624.3,668.1,110947
2026-05-25,669.5,684.9,666.0,670.0,52384
2026-05-26,670.0,675.0,655.0,660.0,26478
2026-05-27,672.3,672.3,639.0,640.0,39042
2026-06-01,630.0,654.0,618.5,623.0,36183
2026-06-02,623.0,632.0,617.1,629.9,21582
2026-06-03,640.0,652.8,625.0,644.0,24039
2026-06-04,644.0,652.0,620.0,630.0,17005
2026-06-05,620.0,626.5,618.0,621.0,18100
2026-06-08,621.5,630.0,606.0,615.0,23642
2026-06-09,615.0,623.9,606.7,619.0,15537
2026-06-10,618.0,646.8,618.0,632.9,26798
2026-06-11,633.1,650.0,631.1,635.9,27967
2026-06-12,647.6,647.6,625.0,629.0,14215
2026-06-15,629.0,635.0,615.2,619.0,9796
2026-06-16,607.0,632.2,607.0,622.0,10095
2026-06-17,622.0,630.0,620.0,620.0,7689
2026-06-18,613.1,623.0,613.1,622.0,7590
2026-06-19,624.0,638.0,609.0,612.0,10475
2026-06-22,611.0,628.5,610.0,615.0,6364
2026-06-23,608.0,610.0,600.0,607.2,17083
2026-06-24,595.1,612.9,584.1,598.9,19213
2026-06-25,612.0,612.0,581.0,592.0,5045
2026-06-26,586.1,604.0,586.1,595.0,9290
2026-06-29,605.3,605.3,575.0,582.0,10477
2026-06-30,593.0,607.0,567.0,567.0,11477
2026-07-01,565.0,592.5,555.0,585.0,9790
2026-07-02,585.0,587.4,569.9,577.7,10885
2026-07-03,571.0,607.0,570.1,594.0,17508
2026-07-06,594.0,597.4,575.0,589.0,10719
2026-07-07,573.0,598.0,573.0,592.0,19267
2026-07-08,575.0,588.0,571.1,585.0,7177
2026-07-09,568.0,585.0,565.0,573.9,10667
2026-07-10,557.0,584.0,557.0,575.0,12300
2026-07-13,560.1,575.0,560.0,570.0,6557
2026-07-14,560.0,572.0,548.0,560.0,13237
2026-07-15,569.9,569.9,555.6,560.0,8650
2026-07-16,550.0,569.1,540.1,540.1,20078
2026-07-17,542.0,572.0,540.2,572.0,26156
2026-07-20,572.0,599.0,563.0,599.0,16294
2026-07-21,590.0,605.9,585.0,600.0,29310
2026-07-22,590.0,600.0,585.0,595.0,18488
2026-07-23,581.0,601.0,581.0,598.0,15918
2026-07-24,600.0,629.8,600.0,626.0,74284
2026-07-27,626.0,630.0,590.0,605.0,32479
2026-07-28,590.2,605.0,590.0,597.1,19944
2026-07-29,590.2,609.0,586.2,597.0,18392
2026-07-30,597.0,597.0,577.2,580.0,27695
2026-07-31,571.0,590.0,571.0,587.9,11475
2026-08-03,587.0,600.0,582.0,582.0,36329
2026-08-04,575.0,587.0,557.8,568.2,29341
2026-08-05,569.0,581.0,562.0,581.0,17800
2026-08-06,580.0,585.9,575.0,576.0,14035
2026-08-07,575.0,584.9,566.0,584.9,19481
2026-08-10,575.0,620.0,575.0,620.0,73627
2026-08-11,608.2,626.0,605.1,615.0,29725
2026-08-12,610.0,615.0,599.9,602.0,18205
2026-08-13,598.0,609.5,590.0,600.0,17918
2026-08-14,600.0,602.0,591.0,594.0,11873
2026-08-17,599.9,614.0,591.1,604.0,36822
2026-08-18,604.0,609.9,590.0,595.0,11711
2026-08-19,592.0,592.0,580.0,584.0,11574
2026-08-20,580.0,595.0,575.3,585.0,14910
2026-08-21,585.0,595.0,575.0,579.0,15456
2026-08-24,570.1,578.0,565.0,570.0,13411
2026-08-25,570.0,580.0,567.0,574.0,6094
2026-08-26,565.1,565.2,550.1,555.0,15773
2026-08-27,550.0,565.0,530.0,564.0,15783
2026-08-31,547.1,554.0,542.0,543.0,8446
2026-09-01,530.0,560.0,530.0,554.9,7770
2026-09-02,540.2,566.8,540.1,566.8,13134
2026-09-03,550.2,573.0,550.2,571.0,9552
