timestamp,open,high,low,close,volume
2021-04-27,441.38,459.98,440.14,459.98,78321
2021-04-28,458.74,458.74,446.34,453.78,27044
2021-04-29,450.68,454.4,445.72,451.92,53554
2021-05-02,449.44,460.6,446.34,460.6,48838
2021-05-03,460.6,461.84,451.92,454.4,63606
2021-05-04,447.58,459.98,447.58,452.54,28630
2021-05-05,474.86,474.86,449.44,451.92,20355
2021-05-06,474.24,474.24,448.82,449.44,43839
2021-05-09,471.76,471.76,446.34,449.44,33218
2021-05-10,452.54,452.54,446.34,450.06,19470
2021-05-11,428.36,456.26,428.36,450.06,50086
2021-05-12,450.06,452.54,446.96,450.06,19404
2021-05-13,450.06,451.92,446.96,447.58,28012
2021-05-16,455.64,456.88,448.2,456.88,119258
2021-05-17,458.74,464.32,455.02,456.88,46533
2021-05-18,468.04,468.04,454.4,456.88,42382
2021-05-19,459.36,464.32,455.64,457.5,99076
2021-05-20,461.84,461.84,455.64,458.74,42582
2021-05-23,458.74,474.24,451.3,469.9,99053
2021-05-24,470.52,477.34,463.7,467.42,81516
2021-05-25,467.42,467.42,458.74,460.6,45636
2021-05-27,458.74,461.84,454.4,458.12,46010
2021-05-30,464.32,464.94,456.26,456.88,76624
2021-05-31,456.88,461.22,452.54,452.54,59791
2021-06-01,452.54,456.26,449.44,451.3,39947
2021-06-02,451.3,453.78,442.0,451.92,24800
2021-06-03,452.54,462.46,452.54,454.4,75821
2021-06-06,458.12,473.0,458.12,464.94,131631
2021-06-07,474.24,482.92,455.64,458.12,88626
2021-06-08,455.64,463.7,454.4,458.74,69274
2021-06-09,459.36,461.84,456.26,456.26,72340
2021-06-10,456.26,458.12,451.3,452.54,74893
2021-06-13,453.78,471.14,442.0,458.74,169191
2021-06-14,458.74,480.44,458.74,476.1,330226
2021-06-15,480.44,502.75,474.86,476.1,170572
2021-06-16,479.82,486.02,466.8,471.76,108958
2021-06-17,477.34,477.96,464.94,468.04,79509
2021-06-20,464.94,467.42,456.26,458.74,107650
2021-06-21,453.16,463.7,450.06,452.54,48350
2021-06-22,455.64,462.46,450.06,456.26,42220
2021-06-23,433.94,464.94,433.94,452.54,51024
2021-06-24,452.54,458.74,448.2,450.68,51112
2021-06-27,452.54,461.22,447.58,459.36,51589
2021-06-28,460.6,467.42,456.26,458.74,33456
2021-06-29,456.26,458.74,450.68,453.16,38681
2021-06-30,449.44,452.54,446.34,450.68,42693
2021-07-01,450.68,455.64,450.06,452.54,19289
2021-07-04,452.54,456.88,445.1,451.92,29971
2021-07-05,452.54,452.54,447.58,448.2,17403
2021-07-06,446.34,456.88,446.34,450.06,23217
2021-07-07,450.06,452.54,447.58,448.2,17861
2021-07-08,448.2,458.74,448.2,455.64,53510
2021-07-11,461.22,464.94,455.64,464.32,83490
2021-07-12,461.84,469.28,455.64,456.26,81348
2021-07-13,457.5,461.84,455.64,456.88,28314
2021-07-14,456.88,461.84,454.4,455.64,21826
2021-07-15,477.96,477.96,454.4,457.5,23296
2021-07-18,461.22,481.68,461.22,477.34,147887
2021-07-19,486.88,492.84,476.1,476.1,121606
