timestamp,open,high,low,close,volume
2012-01-01,35.02,33.9,33.9,33.9,2640
2012-01-12,33.9,35.02,35.02,35.02,82
2012-01-22,35.02,34.72,34.14,34.14,92
2012-02-05,34.14,35.6,33.84,35.6,428
2012-02-06,35.6,36.25,35.9,36.25,21
2012-02-07,36.25,36.6,36.6,36.6,10
2012-02-27,36.6,36.25,34.78,34.78,300
2012-02-28,34.78,35.07,34.49,35.07,51
2012-03-20,35.07,35.37,35.37,35.37,418
2012-03-21,35.37,35.07,34.2,34.2,80
2012-04-05,34.2,33.9,32.67,32.67,502
2012-04-08,32.67,32.44,32.2,32.2,60
2012-04-10,32.2,32.44,32.44,32.44,50
2012-04-11,32.44,32.44,32.44,32.44,50
2012-04-12,32.44,32.67,31.97,32.67,573
2012-04-15,32.67,32.91,32.91,32.91,200
2012-04-16,32.91,33.14,33.14,33.14,500
2012-04-17,33.14,33.43,33.43,33.43,10
2012-04-18,33.43,33.26,32.96,32.96,200
2012-04-19,32.96,32.67,32.67,32.67,203
2012-04-22,32.67,33.14,32.85,33.14,2271
2012-04-24,33.14,33.43,33.43,33.43,82
2012-04-25,33.43,34.61,33.73,34.61,120
2012-04-26,34.61,36.07,34.9,36.07,200
2012-04-29,36.07,37.13,36.42,37.13,40
2012-04-30,37.13,38.18,36.77,38.18,81
2012-05-03,38.18,38.53,38.53,38.53,50
2012-05-17,38.53,38.18,38.18,38.18,194
2012-06-28,38.18,37.83,37.83,37.83,153
2012-07-08,37.83,37.48,36.42,36.42,41
2012-07-18,36.42,36.07,36.07,36.07,100
2012-07-25,36.07,36.07,34.84,36.07,7903
2012-07-26,36.07,35.72,35.72,35.72,40
2012-08-06,35.72,35.43,34.55,34.55,307
2012-08-07,34.55,34.25,34.2,34.2,230
2012-08-08,34.2,34.37,32.96,33.9,3630
2012-08-12,33.9,33.67,33.67,33.67,41
2012-08-13,33.67,33.67,33.26,33.26,2268
2012-08-14,33.26,33.79,33.49,33.49,4038
2012-08-15,33.49,33.96,33.67,33.96,1110
2012-08-21,33.96,34.25,34.25,34.25,31
2012-08-22,34.25,34.72,34.43,34.43,494
2012-08-23,34.43,34.43,34.14,34.43,110
2012-08-26,34.43,34.72,34.72,34.72,20
2012-08-27,34.72,34.43,34.43,34.43,10
2012-08-28,34.43,34.14,34.14,34.14,300
2012-08-29,34.14,34.14,34.14,34.14,82
2012-08-30,34.14,34.14,34.14,34.14,50
2012-09-02,34.14,34.72,34.2,34.72,662
2012-09-03,34.72,34.55,34.49,34.55,123
2012-09-04,34.55,34.55,34.55,34.55,349
2012-09-05,34.55,34.72,34.43,34.72,550
2012-09-06,34.72,34.84,34.72,34.84,562
2012-09-09,34.84,35.02,35.02,35.02,113
2012-09-12,35.02,35.02,35.02,35.02,160
2012-09-13,35.02,35.37,35.07,35.37,714
2012-09-25,35.37,37.07,35.66,37.07,60
2012-09-26,37.07,38.12,36.72,36.83,1119
2012-09-27,36.83,36.72,36.54,36.54,205
2012-10-04,36.54,36.19,35.9,35.9,778
2012-10-07,35.9,35.9,35.25,35.31,3148
2012-10-08,35.31,35.54,35.02,35.31,3485
2012-10-09,35.31,36.01,35.43,36.01,1141
2012-10-10,36.01,36.36,35.66,35.66,93
2012-10-11,35.66,35.95,35.95,35.95,10
2012-10-30,35.95,35.6,35.6,35.6,500
2012-11-01,35.6,35.9,35.6,35.78,1194
2012-11-04,35.78,36.01,36.01,36.01,141
2012-11-05,36.01,36.6,36.31,36.6,702
2012-11-06,36.6,37.07,36.89,36.89,1102
2012-11-07,36.89,37.07,37.07,37.07,403
2012-11-08,37.07,36.72,36.72,36.72,605
2012-11-11,36.72,36.77,36.72,36.72,182
2012-11-12,36.72,37.07,36.72,36.72,300
2012-11-18,36.72,37.42,36.36,37.42,1233
2012-11-20,37.42,37.71,37.01,37.01,254
2012-11-21,37.01,36.95,36.72,36.72,464
2012-11-22,36.72,36.72,36.66,36.72,92
2012-11-26,36.72,36.72,36.72,36.72,369
2012-11-27,36.72,37.07,36.77,36.77,557
2012-11-28,36.77,38.59,36.89,38.24,5426
2012-11-29,38.24,38.83,38.24,38.24,2530
2012-12-02,38.24,38.01,37.89,37.89,260
2012-12-04,37.89,37.54,37.54,37.54,600
2012-12-05,37.54,38.24,37.89,37.95,600
2012-12-06,37.95,38.3,37.95,37.95,142
2012-12-09,37.95,37.95,37.65,37.65,1000
2012-12-10,37.65,37.3,37.13,37.13,462
2012-12-11,37.13,37.95,37.48,37.95,523
2012-12-13,37.95,38.36,38.01,38.36,133
2012-12-16,38.36,38.71,38.71,38.71,80
2012-12-17,38.71,38.83,38.36,38.36,1530
2012-12-18,38.36,38.06,38.06,38.06,500
2012-12-19,38.06,38.42,38.06,38.42,211
2012-12-23,38.42,38.06,37.65,37.95,2575
2012-12-24,37.95,39.0,38.3,38.83,1386
2012-12-26,38.83,39.53,39.06,39.06,1167
2012-12-27,39.06,39.82,38.83,39.12,1679
2013-01-30,44.32,38.31,38.31,38.31,185
2013-02-05,38.31,38.02,31.13,38.02,60
2013-02-07,38.02,37.65,37.65,37.65,10
2013-02-10,37.65,37.36,36.99,36.99,67
2013-02-13,36.99,36.63,36.63,36.63,262
2013-02-27,36.63,36.26,36.26,36.26,41
2013-03-05,36.26,35.97,35.97,35.97,31
2013-03-25,35.97,35.9,35.9,35.9,153
2013-04-11,35.9,36.19,36.19,36.19,50
2013-04-21,36.19,35.9,35.9,35.9,82
2013-04-25,35.9,35.6,35.6,35.6,155
2013-04-28,35.6,35.9,35.9,35.9,124
