timestamp,open,high,low,close,volume
2018-02-08,312.19,312.19,312.19,312.19,22
2018-02-11,312.19,312.19,308.9,308.9,70
2018-02-12,308.9,308.9,303.3,303.3,86
2018-02-14,298.08,298.08,298.08,298.08,28
2018-02-15,303.49,319.92,303.49,319.92,47
2018-02-18,319.92,325.72,312.19,312.19,199
2018-02-20,306.39,306.39,300.78,300.78,128
2018-02-21,295.37,297.69,289.96,289.96,202
2018-02-22,288.03,292.86,288.03,292.86,87
2018-02-25,292.66,292.86,287.45,282.23,107
2018-02-26,282.81,283.19,281.26,283.19,235
2018-02-27,278.36,283.58,273.91,283.58,567
2018-02-28,279.33,279.33,278.36,278.55,73
2018-03-04,273.33,273.33,273.33,273.33,10
2018-03-06,250.52,250.52,241.63,241.63,110
2018-03-07,245.88,259.42,245.88,254.39,192
2018-03-11,259.03,254.39,236.61,236.8,373
2018-03-12,236.8,236.99,225.39,233.51,331
2018-03-13,232.55,236.61,230.03,234.87,103
2018-03-14,232.35,236.8,232.35,236.8,116
2018-03-15,241.05,241.05,241.05,241.05,17
2018-03-18,244.53,244.53,244.14,240.09,153
2018-03-19,244.53,244.53,240.09,240.09,208
2018-03-20,241.63,241.63,227.52,238.73,1609
2018-03-21,235.25,235.25,235.25,235.25,16
2018-03-22,231.0,234.87,223.27,234.87,519
2018-03-26,230.61,230.61,230.61,226.55,62
2018-03-27,226.55,233.32,222.49,233.13,135
2018-03-28,229.26,229.26,215.54,217.47,1104
2018-03-29,219.4,219.4,208.0,215.54,311
2018-04-01,215.54,217.47,210.12,210.32,144
2018-04-02,210.12,210.12,207.8,207.8,146
2018-04-03,207.8,210.7,206.06,206.84,1267
2018-04-04,209.74,220.95,209.74,217.08,71
2018-04-05,217.28,224.81,217.08,220.95,293
2018-04-08,224.81,240.67,224.81,234.48,734
2018-04-09,238.54,242.79,231.19,231.19,2452
2018-04-10,22.23,22.23,22.23,231.19,3
2018-04-11,227.13,227.13,223.27,227.13,87
2018-04-12,231.19,231.19,219.4,223.27,489
2018-04-15,223.27,225.2,219.6,219.6,81
2018-04-16,221.14,239.31,221.14,239.31,774
2018-04-17,239.31,260.96,243.56,260.96,538
2018-04-18,265.6,280.1,261.93,280.1,1427
2018-04-19,283.0,283.0,272.95,272.95,260
2018-04-22,272.95,278.55,268.11,278.55,793
2018-04-23,283.58,283.58,273.33,273.33,333
2018-04-24,278.17,278.17,273.33,273.33,291
2018-04-25,278.17,278.94,273.14,273.14,480
2018-04-26,277.39,277.39,254.2,254.2,384
2018-04-29,249.56,258.45,249.56,258.45,58
2018-05-02,258.45,255.94,253.81,254.2,87
2018-05-03,258.84,272.95,258.84,265.6,534
2018-05-06,270.43,273.53,268.69,269.47,352
2018-05-07,274.3,274.49,266.76,269.66,343
2018-05-08,269.66,271.59,265.8,271.59,599
2018-05-09,271.59,273.33,273.33,273.33,40
2018-05-10,273.33,275.46,270.63,275.46,1153
2018-05-14,271.59,273.53,269.85,271.59,346
2018-05-15,271.59,271.59,271.59,271.59,20
2018-05-16,276.43,276.43,273.53,273.53,69
2018-05-17,269.85,269.85,269.66,269.66,32
2018-05-20,264.83,264.83,264.83,264.83,75
2018-05-21,264.83,279.33,262.51,279.33,156
2018-05-22,279.33,294.6,279.13,294.6,918
2018-05-23,292.86,294.21,285.32,294.21,482
2018-05-24,294.21,291.12,289.19,289.19,62
2018-05-28,289.19,294.4,283.97,292.86,280
2018-05-29,298.27,298.27,282.23,283.19,421
2018-05-30,277.97,292.86,277.97,284.16,447
2018-05-31,279.33,279.91,272.95,277.78,371
2018-06-03,272.75,272.75,268.31,268.31,49
2018-06-04,263.48,264.64,249.75,250.91,494
2018-06-06,255.36,264.64,255.36,255.36,170
2018-06-07,255.16,255.16,248.4,254.2,534
2018-06-10,254.2,254.2,245.11,245.11,144
2018-06-11,245.5,253.23,244.53,249.36,304
2018-06-12,245.5,253.81,240.67,253.81,846
2018-06-13,249.36,255.94,245.11,250.33,375
2018-06-14,260.58,260.58,245.11,249.56,142
2018-06-17,246.46,246.46,245.11,246.46,77
2018-06-18,247.43,251.88,247.43,251.88,317
2018-06-19,255.16,255.16,250.52,250.52,30
2018-06-20,246.27,247.43,246.27,247.43,41
2018-06-21,250.33,250.33,244.53,244.53,130
2018-06-24,243.18,243.18,243.18,243.18,19
2018-06-25,243.56,243.56,243.56,243.56,19
2018-06-26,243.18,244.53,238.93,238.93,195
2018-06-27,243.18,243.18,243.18,243.18,100
2018-06-28,247.04,247.04,245.5,245.5,35
