timestamp,open,high,low,close,volume
2019-06-02,186.66,186.66,186.66,186.66,20
2019-06-03,195.36,195.36,195.36,195.36,10
2019-06-04,204.72,208.74,204.72,208.74,20
2019-06-06,218.77,218.77,218.77,218.77,10
2019-06-16,229.48,229.48,229.48,229.48,10
2019-06-17,240.85,240.85,240.85,240.85,750
2019-06-18,252.89,257.58,252.89,257.58,20
2019-06-20,270.29,283.0,270.29,283.0,200
2019-06-23,297.05,311.1,297.05,311.1,210
2019-06-24,326.49,341.88,305.08,309.09,10977
2019-06-25,311.77,311.77,294.37,294.37,6120
2019-06-26,309.09,309.09,273.63,275.64,4160
2019-06-27,270.96,274.3,265.61,270.96,2900
2019-06-30,270.96,274.3,254.23,254.9,3915
2019-07-01,254.9,264.27,246.87,262.93,1780
2019-07-02,260.92,264.27,255.57,258.92,1310
2019-07-03,258.92,271.63,256.24,266.27,1475
2019-07-04,262.26,274.3,262.26,266.27,1300
2019-07-07,267.61,270.96,256.91,262.26,900
2019-07-08,260.92,264.27,253.56,259.58,880
2019-07-09,260.92,268.95,256.91,268.95,1000
2019-07-10,264.94,267.61,262.26,262.26,450
2019-07-11,266.94,268.28,262.26,267.61,900
2019-07-14,267.61,267.61,257.58,257.58,400
2019-07-15,262.26,270.96,258.25,267.61,470
2019-07-16,267.61,267.61,260.92,267.61,440
2019-07-17,262.26,267.61,257.58,261.59,240
2019-07-18,260.92,267.61,260.92,264.27,130
2019-07-21,264.27,266.27,257.58,266.27,560
2019-07-22,261.59,266.94,258.25,263.6,310
2019-07-23,264.27,270.96,262.93,265.61,900
2019-07-24,267.61,278.32,267.61,270.96,895
2019-07-25,267.61,274.3,266.27,269.62,1300
2019-07-28,267.61,269.62,265.61,268.28,280
2019-07-29,264.94,295.04,264.94,285.68,1765
2019-07-30,291.03,301.73,287.01,299.73,3520
2019-07-31,301.06,329.16,298.39,329.16,7063
2019-08-01,334.52,361.95,334.52,361.95,8440
2019-08-04,364.62,394.73,364.62,387.37,5695
2019-08-05,388.04,395.4,349.23,351.24,4423
2019-08-06,345.89,347.23,318.46,325.15,3035
2019-08-07,319.13,357.26,313.11,357.26,4515
2019-08-08,363.28,371.98,355.26,361.95,3265
2019-08-11,368.64,368.64,349.23,357.93,685
2019-08-12,361.28,367.97,355.26,361.28,1640
2019-08-13,354.59,367.3,349.9,357.93,1530
