timestamp,open,high,low,close,volume
2019-06-06,161.85,161.85,161.85,161.85,10
2019-06-10,169.36,169.36,169.36,169.36,10
2019-06-11,177.56,177.56,177.56,177.56,10
2019-06-12,186.44,186.44,186.44,186.44,10
2019-06-16,195.32,198.73,195.32,198.73,20
2019-06-18,208.29,212.39,208.29,212.39,20
2019-06-19,222.63,222.63,222.63,222.63,10
2019-06-23,233.56,244.49,233.56,244.49,550
2019-06-24,256.1,268.39,256.1,268.39,90
2019-06-25,281.36,295.02,281.36,295.02,890
2019-06-26,309.36,315.51,289.56,296.39,21479
2019-06-27,293.66,299.12,293.66,297.75,6495
2019-06-30,297.75,302.53,288.19,295.02,7780
2019-07-01,289.56,296.39,289.56,290.92,2960
2019-07-02,288.19,298.44,288.19,296.39,2060
2019-07-03,296.39,325.07,290.92,314.14,5670
2019-07-04,314.14,320.29,307.32,316.88,3691
2019-07-07,310.73,314.14,304.58,307.32,1590
2019-07-08,307.32,308.68,300.49,303.9,1928
2019-07-09,303.9,309.36,292.97,299.12,830
2019-07-10,293.66,301.17,293.66,301.17,576
2019-07-11,298.44,303.9,298.44,303.9,2205
2019-07-14,303.9,307.32,295.02,300.49,790
2019-07-15,297.07,305.95,295.71,305.95,1450
2019-07-16,301.17,307.32,301.17,304.58,1300
2019-07-17,301.17,313.46,301.17,310.05,1380
2019-07-18,310.05,314.83,308.68,310.05,560
2019-07-21,308.68,317.56,308.68,317.56,1705
2019-07-22,314.14,324.39,314.14,323.71,2250
2019-07-23,320.97,337.36,320.29,336.68,1954
2019-07-24,338.05,367.41,338.05,367.41,3695
2019-07-25,360.58,367.41,349.66,353.75,6768
2019-07-28,351.71,359.9,331.9,355.8,5185
2019-07-29,361.95,368.78,346.92,363.31,7930
2019-07-30,368.78,389.27,361.95,378.34,7035
2019-07-31,382.44,415.9,367.41,415.9,9471
2019-08-01,423.41,456.88,400.88,432.29,12138
2019-08-04,440.49,446.63,418.63,418.63,6605
2019-08-05,418.63,426.83,394.05,397.46,7514
2019-08-06,389.95,389.95,362.63,378.34,2950
2019-08-07,371.51,410.44,366.05,403.61,3728
2019-08-08,402.92,402.92,389.27,394.73,2070
2019-08-11,394.73,408.39,382.44,387.22,1150
2019-08-12,379.7,399.51,379.7,397.46,1160
2019-08-13,396.1,404.29,391.31,396.78,2038
2019-08-14,396.1,399.51,391.31,396.1,1170
2019-08-15,388.58,392.0,385.17,385.17,965
2019-08-18,389.27,389.27,383.8,385.17,1300
2019-08-19,381.75,404.29,380.39,396.78,570
2019-08-20,399.51,401.56,383.8,388.58,1550
2019-08-21,381.07,389.27,358.53,367.41,4726
2019-08-22,361.95,368.78,354.44,359.9,2160
2019-08-25,359.9,361.95,351.02,353.75,1490
2019-08-26,359.22,360.58,351.71,351.71,1240
2019-08-27,351.71,372.19,349.66,364.68,1314
2019-08-28,371.51,371.51,355.12,359.22,520
2019-08-29,355.12,358.53,353.75,353.75,450
2019-09-01,355.12,355.12,348.29,351.02,390
2019-09-02,351.71,351.71,332.58,341.46,1051
2019-09-03,335.31,351.71,334.63,348.97,731
2019-09-04,351.71,358.53,343.51,358.53,1081
2019-09-05,359.22,361.27,348.97,349.66,1065
2019-09-08,355.8,355.8,343.51,343.51,1680
2019-09-09,345.56,352.39,338.73,342.83,910
2019-09-10,341.46,348.29,338.05,339.41,1590
2019-09-11,341.46,341.46,333.27,340.1,607
2019-09-12,333.95,336.0,329.17,333.95,390
