timestamp,open,high,low,close,volume
2025-02-09,301.0,331.1,301.0,331.1,490
2025-02-10,331.9,364.2,331.9,364.2,510
2025-02-11,364.2,400.6,364.2,400.6,370
2025-02-12,400.6,440.6,400.6,440.6,570
2025-02-13,449.4,484.6,449.4,484.6,530
2025-02-16,494.0,533.0,494.0,533.0,1700
2025-02-17,533.0,586.3,533.0,586.3,1310
2025-02-18,598.0,644.93,598.0,644.9,2240
2025-02-20,657.0,709.3,657.0,709.3,6010
2025-02-23,723.4,780.2,723.4,780.2,8930
2025-02-24,795.8,858.2,795.8,858.2,8010
2025-02-25,875.3,944.0,875.3,944.0,9770
2025-02-27,962.8,1038.4,962.8,1038.4,32050
2025-03-02,1059.1,1142.2,1059.1,1142.2,29640
2025-03-03,1165.0,1256.4,1165.0,1256.4,12620
2025-03-04,1281.5,1382.0,1281.5,1382.0,8440
2025-03-05,1409.6,1520.2,1409.6,1520.2,73730
2025-03-06,1550.6,1672.2,1550.6,1672.2,143850
2025-03-09,1705.6,1839.4,1519.0,1839.4,253093
2025-03-10,1874.8,2001.2,1770.0,2000.0,156648
2025-03-11,2000.0,2000.0,1884.6,1998.1,187395
2025-03-12,1958.2,1968.0,1880.7,1961.0,188461
2025-03-16,1922.0,1960.5,1901.0,1944.1,134733
2025-03-17,1922.0,1993.0,1922.0,1980.0,67016
2025-03-18,1953.0,1990.0,1952.1,1962.0,40656
2025-03-19,1955.0,1980.0,1935.3,1942.0,46156
2025-03-20,1940.0,2080.0,1922.1,2035.52,63141
2025-03-23,2000.0,2084.0,2000.0,2068.85,41850
2025-03-24,2070.0,2269.9,2030.1,2265.63,57992
2025-03-25,2265.0,2410.0,2231.1,2284.09,42770
