timestamp,open,high,low,close,volume
2023-10-11,210.45,231.48,210.45,231.48,102451
2023-10-12,236.05,254.57,236.05,254.57,73838
2023-10-16,259.67,264.83,229.12,229.12,166825
2023-10-17,224.54,224.54,207.35,209.56,159547
2023-10-18,206.61,230.22,206.24,226.98,64039
2023-10-19,226.98,239.08,221.37,231.7,63518
2023-10-29,231.7,231.7,220.71,224.47,81227
2023-10-30,221.37,228.67,221.37,226.83,35172
2023-10-31,225.8,236.05,223.8,234.65,34119
2023-11-01,231.77,239.08,231.7,237.6,61663
2023-11-02,235.39,255.31,235.39,247.2,78748
2023-11-05,242.25,249.78,242.25,245.43,45205
2023-11-06,243.51,269.92,243.51,269.92,106551
2023-11-07,267.12,291.47,264.91,278.19,82826
2023-11-08,276.71,282.25,271.18,271.18,46820
2023-11-09,265.79,272.95,262.69,263.43,100779
2023-11-20,264.91,289.03,261.95,282.62,88977
2023-11-21,280.4,292.72,276.71,290.73,69975
2023-11-22,287.78,317.3,286.3,308.15,96963
2023-11-23,302.54,323.64,302.54,308.44,95479
2023-11-26,308.44,319.51,302.54,303.28,114835
2023-11-27,299.66,314.34,296.64,311.25,64142
2023-11-28,313.61,330.58,305.56,322.46,54000
2023-11-29,322.46,327.63,315.08,315.16,48173
2023-11-30,311.47,317.22,309.92,311.39,57966
2023-12-03,309.18,327.63,307.33,326.15,73125
2023-12-04,329.1,331.32,320.99,324.68,53383
2023-12-05,319.51,327.63,315.08,315.82,52670
2023-12-06,309.55,325.19,309.55,323.94,51902
2023-12-07,323.94,348.29,321.72,340.17,117241
2023-12-10,346.96,366.74,346.96,365.26,16392
2023-12-11,371.9,401.79,353.08,401.42,166879
2023-12-12,402.15,441.56,402.15,439.05,99755
2023-12-13,447.83,482.59,439.05,466.35,133136
2023-12-14,457.5,474.17,448.64,457.57,146364
2023-12-17,466.35,503.32,448.64,503.32,140464
2023-12-18,513.36,553.65,505.46,553.65,99907
2023-12-19,564.49,608.99,560.8,608.99,178125
2023-12-20,621.16,669.86,620.57,669.86,81220
2023-12-21,683.22,723.14,649.35,681.08,162920
2023-12-24,667.5,682.56,612.97,614.01,344954
2023-12-27,602.13,630.98,575.56,587.74,201420
2023-12-28,588.47,646.43,585.23,646.43,120987
2024-01-01,659.33,711.04,649.35,711.04,199351
2024-01-02,725.24,777.6,725.24,750.81,165023
2024-01-03,750.81,797.08,719.97,791.4,149646
2024-01-04,791.4,847.4,791.4,803.57,113755
2024-01-07,787.5,799.51,756.49,775.16,207302
2024-01-08,773.54,848.13,762.99,840.02,163864
2024-01-09,856.33,907.47,839.29,844.16,86634
2024-01-10,836.04,881.41,802.76,811.69,136866
2024-01-11,811.69,844.16,809.25,811.69,127676
2024-01-14,827.92,877.44,815.75,857.95,113981
2024-01-16,860.39,911.53,860.39,882.31,145097
2024-01-17,882.31,899.35,823.3,833.6,144350
2024-01-18,816.96,840.1,800.32,807.63,130754
2024-01-21,811.69,822.24,758.93,771.1,147839
2024-01-22,779.22,786.53,739.45,745.13,107952
2024-01-23,754.87,771.1,743.51,769.48,65320
2024-01-24,779.22,791.4,732.95,741.07,72026
2024-01-25,755.68,755.68,712.66,715.91,76487
2024-01-28,729.71,783.28,716.72,778.41,142702
2024-01-29,779.22,811.69,764.69,806.01,132343
2024-01-30,803.57,823.78,783.52,791.4,103772
2024-01-31,803.57,803.57,767.05,771.43,121815
2024-02-01,761.36,780.76,745.13,745.13,72810
2024-02-04,730.28,762.99,730.28,754.06,58667
2024-02-05,739.04,790.83,739.04,789.77,86000
2024-02-06,789.77,810.88,780.84,802.76,73987
2024-02-07,818.75,818.75,787.34,802.52,62161
2024-02-08,797.08,803.57,787.34,795.45,55125
2024-02-11,779.63,791.4,765.42,772.81,86945
2024-02-12,757.39,795.45,757.39,791.31,36467
2024-02-13,791.31,791.31,759.74,760.55,47150
2024-02-14,754.87,784.82,750.81,764.61,61262
2024-02-15,749.35,773.54,743.99,749.19,49753
2024-02-18,746.75,746.75,728.08,733.77,51297
2024-02-20,733.77,738.07,715.1,720.78,34172
2024-02-21,734.58,734.58,708.6,710.23,26783
2024-02-22,710.23,724.03,688.31,689.94,43594
2024-02-25,701.3,702.92,660.47,660.71,33237
2024-02-26,673.86,678.57,654.14,676.95,25317
2024-02-27,685.88,689.85,668.83,673.7,20639
2024-02-28,668.83,711.85,668.75,695.62,52830
2024-02-29,698.05,722.4,681.82,684.66,76875
2024-03-03,674.11,698.86,673.94,684.25,37478
2024-03-04,697.24,730.52,697.24,724.03,6679
2024-03-05,730.52,730.52,693.99,701.22,73112
