timestamp,open,high,low,close,volume
2012-02-07,10.46,10.35,10.35,10.35,20
2012-03-20,10.35,10.35,10.35,10.35,40
2012-04-30,10.35,10.46,10.25,10.46,5730
2012-07-08,10.46,10.46,10.46,10.46,13810
2012-07-16,10.46,10.46,10.46,10.46,50
2012-08-01,10.46,10.35,10.35,10.35,70
2012-09-18,10.35,10.46,10.46,10.46,20
2013-02-05,10.46,10.25,10.25,10.25,330
2013-05-20,10.25,10.14,10.04,10.04,70
2013-07-07,10.04,10.25,10.14,10.25,80
2013-07-08,10.25,10.56,10.35,10.46,11240
2013-07-09,10.46,10.46,10.46,10.46,310
2013-08-01,10.46,10.46,10.46,10.46,609080
2013-08-04,10.46,10.46,10.46,10.46,120
2013-08-11,10.46,10.25,10.25,10.25,150
2013-10-07,10.25,10.35,10.35,10.35,400
2013-10-22,10.35,10.46,10.46,10.46,70
2013-10-31,10.46,10.25,10.25,10.25,40
2013-12-03,10.25,10.35,10.35,10.35,100
2014-03-24,10.35,10.46,10.46,10.46,60
2014-03-27,10.46,10.46,10.46,10.46,59000
2014-04-02,10.46,10.46,10.46,10.46,100
2014-04-03,10.46,11.5,10.67,11.5,100
2014-04-09,11.5,11.71,11.71,11.71,20
2014-04-17,11.71,12.13,11.92,12.13,1020
2014-04-23,12.13,12.34,12.34,12.34,100
2014-04-27,12.34,12.97,12.55,12.97,400
2014-04-29,12.97,13.38,13.18,13.38,1050
2014-05-08,13.38,14.01,13.59,14.01,1750
2014-06-17,14.01,14.64,14.22,14.64,30
2014-06-19,14.64,14.85,14.85,14.85,20
2014-06-25,14.85,16.0,15.06,16.0,60
2014-07-01,16.0,16.31,16.31,16.31,20
2014-07-08,16.31,17.88,16.63,17.88,100
2014-07-22,17.88,18.93,18.19,18.93,710
2014-07-23,18.93,19.24,19.24,19.24,30
2014-08-03,19.24,19.55,19.55,19.55,50
2014-08-05,19.55,19.87,19.87,19.87,180
2014-08-06,19.87,20.18,20.18,20.18,50
2014-08-12,20.18,20.18,20.18,20.18,20
2014-08-18,20.18,20.81,20.49,20.81,40
2014-09-01,20.81,20.81,20.81,20.81,4470
2014-09-09,20.81,21.96,21.12,21.96,60
2014-09-28,21.96,22.8,22.38,22.8,70
2014-09-29,22.8,22.8,22.8,22.8,500
2014-10-13,22.8,23.21,23.21,23.21,30
2014-10-30,23.21,23.21,23.21,23.21,20
2014-11-02,23.21,24.47,23.63,24.47,60
2014-11-04,24.47,24.89,24.89,24.89,60
2014-11-06,24.89,26.46,26.04,26.46,20
2014-11-09,26.46,27.5,26.98,27.5,1450
2014-11-17,27.5,29.59,28.02,29.59,60
2014-11-30,29.59,30.64,30.11,30.64,30
2014-12-01,30.64,31.16,31.16,31.16,50
2014-12-07,31.16,31.68,31.68,31.68,10
2014-12-08,31.68,33.57,32.31,33.57,250
2014-12-09,33.57,36.08,34.19,36.08,1090
2014-12-10,36.08,37.43,36.7,37.43,80
2014-12-11,37.43,41.09,38.17,41.09,870
2014-12-14,41.09,45.17,41.83,45.17,2450
2014-12-15,45.17,47.68,44.34,47.68,240
2014-12-16,47.68,48.62,47.68,48.52,190
2014-12-17,48.52,48.1,47.58,48.1,310
2014-12-18,48.1,50.61,49.04,50.61,180
2014-12-21,50.61,51.55,49.46,49.46,1310
2014-12-28,49.46,48.52,45.8,45.8,60
2015-01-05,45.8,44.96,42.45,42.45,180
2015-01-06,42.45,46.64,41.62,46.64,2480
2015-01-07,46.64,51.24,47.05,51.24,2210
2015-01-08,51.24,56.36,52.18,56.36,1430
2015-01-11,56.36,61.9,57.41,61.9,460
2015-01-12,61.9,66.82,63.05,66.82,220
2015-01-13,66.82,73.4,68.07,73.4,3880
2015-01-14,73.4,80.72,74.87,80.72,4125
2015-01-19,80.72,85.53,82.29,85.53,30
2015-01-22,85.53,83.86,77.06,77.06,70
2015-01-25,77.06,75.6,69.43,69.43,1090
2015-01-26,69.43,74.76,66.71,72.05,3715
2015-01-27,72.05,70.69,69.33,69.64,790
2015-01-28,69.64,70.37,69.01,70.37,110
2015-01-29,70.37,69.12,69.12,69.12,210
2015-02-01,69.12,69.12,69.01,69.01,410
2015-02-02,69.01,72.57,68.49,72.57,410
2015-02-03,72.57,78.21,72.05,78.21,1865
2015-02-04,78.21,78.42,76.86,78.42,2065
2015-02-05,78.42,76.86,76.86,76.86,500
2015-02-08,76.86,78.32,78.32,78.32,30
2015-02-09,78.32,78.32,76.33,78.32,540
2015-02-10,78.32,78.32,76.86,76.86,340
2015-02-11,76.86,75.39,73.93,73.93,70
2015-02-22,73.93,75.29,72.46,72.46,2270
2015-02-26,72.46,73.2,71.84,71.84,1100
2015-03-01,66.61,65.56,65.56,65.56,440
2015-03-02,65.56,69.54,64.94,69.54,530
2015-03-03,69.54,68.18,66.09,66.92,450
2015-03-04,66.92,66.19,65.98,66.19,50
2015-03-09,66.19,66.19,65.98,66.19,70
2015-03-10,66.19,66.19,66.19,66.19,30
2015-03-11,66.19,67.24,65.98,67.24,160
2015-03-12,67.24,68.49,68.49,68.49,110
2015-03-16,68.49,68.49,68.49,68.49,200
2015-03-17,68.49,69.85,69.01,69.01,110
2015-03-18,69.01,71.63,67.65,70.27,270
2015-03-19,70.27,72.78,70.06,72.78,160
2015-03-22,72.78,75.71,73.2,75.71,2225
2015-03-23,75.71,78.95,75.29,75.29,1310
2015-03-24,75.29,73.82,73.72,73.82,345
2015-03-25,73.82,74.35,73.2,74.24,740
2015-04-01,74.24,74.24,74.24,74.24,20
2015-04-06,74.24,73.2,73.2,73.2,40
2015-04-13,73.2,73.2,71.73,71.73,80
2015-04-16,71.73,71.1,71.1,71.1,20
2015-04-19,71.1,69.75,69.75,69.75,40
2015-04-21,69.75,68.49,67.13,67.13,740
2015-04-22,67.13,65.88,65.35,65.35,120
2015-04-23,65.88,66.71,66.71,66.71,110
2015-06-03,66.71,67.97,66.61,66.61,110
2015-06-10,66.61,65.88,65.88,65.88,30
2015-06-18,65.88,64.62,64.62,64.62,10
2015-06-24,63.37,63.37,62.11,62.11,20
2015-06-29,61.69,61.69,59.5,59.81,1720
2015-06-30,58.66,58.77,58.66,58.77,1240
2015-07-01,58.03,58.03,58.03,58.03,100
2015-07-02,59.18,59.18,59.18,59.18,280
2015-07-05,58.03,58.03,56.57,56.57,570
2015-07-06,57.62,62.22,57.62,61.17,80
2015-07-08,60.02,63.99,59.5,63.99,585
2015-07-13,65.25,65.25,65.25,65.25,10
