timestamp,open,high,low,close,volume
2017-05-31,452.9,469.24,452.9,469.24,330
2017-06-01,466.04,466.04,453.22,453.22,200
2017-06-04,453.54,453.22,453.22,453.22,10
2017-06-05,453.22,457.7,421.49,457.7,605
2017-06-06,465.72,473.73,454.5,473.41,1302
2017-06-07,474.05,482.06,460.59,461.23,580
2017-06-08,452.25,477.89,452.25,469.24,1795
2017-06-11,471.8,471.8,453.54,456.1,1194
2017-06-12,447.77,461.87,443.6,453.22,1272
2017-06-13,454.82,464.75,445.2,450.01,306
2017-06-14,453.22,459.63,450.01,453.22,998
2017-06-15,453.22,465.72,451.61,459.63,328
2017-06-18,459.63,467.96,451.61,459.63,228
2017-06-19,454.82,458.02,450.01,458.02,356
2017-06-20,460.91,461.23,452.57,452.57,569
2017-06-21,444.56,444.56,437.83,437.83,25
2017-06-22,445.84,453.86,438.79,453.86,155
2017-06-25,453.86,462.19,451.61,451.61,597
2017-06-27,444.56,455.78,444.56,455.78,273
2017-06-28,453.22,459.63,453.22,458.98,420
2017-07-02,450.65,450.65,450.65,450.65,50
2017-07-03,451.61,458.02,450.01,453.22,372
2017-07-05,445.52,466.04,445.52,466.04,761
2017-07-06,474.37,483.02,459.63,468.92,859
2017-07-09,468.92,482.06,437.19,454.5,2452
2017-07-10,453.22,461.55,440.08,448.09,1255
2017-07-11,446.81,456.1,446.81,454.82,979
2017-07-12,453.22,458.02,448.73,458.02,510
2017-07-13,449.69,456.42,449.69,453.86,210
2017-07-16,461.23,461.23,443.92,443.92,235
2017-07-17,446.81,456.42,440.4,450.33,822
2017-07-18,453.22,461.55,453.22,454.82,619
2017-07-19,461.23,461.23,453.22,459.63,775
2017-07-20,451.61,456.42,443.92,453.22,1149
2017-07-23,453.22,462.83,453.22,462.83,1053
2017-07-24,462.83,463.15,446.81,446.81,1667
2017-07-25,446.81,451.61,443.92,444.56,415
2017-07-26,442.0,473.09,442.0,473.09,4058
2017-07-27,469.24,481.74,460.91,467.64,736
2017-07-30,461.23,461.23,459.63,459.95,247
2017-07-31,466.04,477.89,463.15,469.24,2049
2017-08-01,472.13,488.47,468.92,485.59,4972
2017-08-02,485.59,489.75,469.56,485.27,3071
2017-08-03,485.27,485.27,474.05,474.05,948
2017-08-06,465.39,482.06,456.42,482.06,749
2017-08-07,473.73,478.86,472.45,475.65,836
2017-08-09,475.65,479.5,470.2,470.2,1992
2017-08-10,470.2,480.14,469.24,478.86,3351
2017-08-13,485.27,485.27,459.63,467.32,1442
2017-08-15,462.83,462.83,446.17,458.98,4061
2017-08-16,450.97,462.83,450.01,459.31,2219
2017-08-17,456.74,459.31,455.46,459.31,1505
2017-08-20,453.22,460.91,453.22,459.63,115
2017-08-21,453.22,453.22,446.81,453.22,335
2017-08-22,453.22,461.23,453.22,461.23,181
2017-08-23,453.54,459.63,447.13,449.37,1692
2017-08-24,449.37,456.42,450.01,456.42,254
2017-08-27,456.42,464.75,454.82,455.46,176
2017-08-28,453.22,459.31,453.22,459.31,596
2017-08-30,458.34,458.34,450.01,450.65,1808
2017-08-31,450.65,458.02,449.69,449.69,2211
2017-09-04,457.7,457.7,446.81,447.45,1071
2017-09-06,453.22,467.64,450.01,467.64,3467
2017-09-07,469.24,469.24,459.95,462.83,1603
2017-09-10,454.5,454.5,438.15,438.15,678
2017-09-11,445.2,461.55,437.83,459.31,556
2017-09-12,450.97,451.61,443.6,451.61,320
2017-09-13,443.6,443.6,440.4,442.0,235
2017-09-14,433.99,450.01,427.9,443.92,379
2017-09-17,448.41,448.41,434.31,445.2,667
2017-09-18,453.22,453.22,445.2,446.49,217
2017-09-20,452.9,452.9,443.6,445.2,368
2017-09-24,452.9,452.9,446.49,452.57,230
2017-09-25,446.81,455.78,444.88,445.52,150
2017-09-26,453.54,455.78,445.2,452.25,152
2017-10-08,444.24,444.24,436.23,442.0,145
2017-10-09,435.59,435.59,435.59,435.59,15
2017-10-10,443.28,443.28,422.13,422.13,120
2017-10-11,429.82,433.99,421.17,421.17,268
2017-10-12,416.36,427.58,416.36,427.58,107
2017-10-15,427.26,427.58,413.15,415.08,140
2017-10-16,421.17,436.55,421.17,436.55,30
2017-10-17,444.24,451.61,442.0,451.61,65
2017-10-23,451.61,451.61,451.61,451.61,5
2017-10-24,451.61,459.63,459.63,459.63,10
2017-10-30,467.96,467.96,417.32,421.17,487
2017-10-31,428.86,428.86,423.73,424.37,1597
2017-11-01,421.17,425.97,413.8,421.17,3454
2017-11-02,421.17,421.17,406.74,406.74,640
2017-11-05,408.35,411.55,405.14,405.14,540
2017-11-06,405.14,398.73,379.5,379.5,391
2017-11-07,376.3,376.3,369.57,369.57,250
2017-11-08,365.08,365.08,357.07,360.27,240
2017-11-09,353.86,357.07,353.86,357.07,40
2017-11-13,363.48,363.48,363.48,363.48,30
2017-11-14,369.89,386.55,363.48,386.55,215
2017-11-15,379.82,391.04,371.49,371.49,984
2017-11-16,365.08,365.08,365.08,365.08,65
2017-11-19,365.08,371.49,371.49,371.49,20
2017-11-20,377.9,377.9,377.9,377.9,10
2017-11-21,377.9,377.9,363.8,368.61,126
2017-11-22,366.68,368.93,358.67,362.2,307
2017-11-23,362.2,368.61,357.71,368.61,140
2017-11-26,368.61,379.18,365.08,365.08,435
2017-11-27,368.28,368.28,359.31,359.95,210
2017-11-28,359.31,366.68,354.5,366.68,210
2017-11-29,366.68,386.55,366.68,379.5,387
2017-11-30,373.09,373.09,372.77,372.77,20
2017-12-04,368.28,369.89,366.68,366.68,120
2017-12-05,360.91,367.32,360.91,367.32,45
2017-12-06,367.32,371.49,364.12,368.28,621
2017-12-10,368.28,376.3,368.28,376.3,30
2017-12-11,370.21,370.21,369.57,369.57,110
2017-12-12,363.16,363.48,363.16,363.48,20
2017-12-13,366.68,366.68,360.27,366.68,60
2017-12-14,366.68,371.49,366.68,371.49,20
2017-12-17,363.48,363.48,360.27,360.27,150
2017-12-18,353.86,360.59,353.86,360.59,121
2017-12-19,361.87,368.28,351.3,363.16,431
2017-12-20,369.57,369.57,350.98,357.07,240
2017-12-21,371.49,371.49,361.44,367.81,270
2017-12-24,351.39,365.46,351.39,357.76,310
2017-12-26,363.79,368.14,353.4,353.4,391
2017-12-27,353.07,353.07,340.34,340.68,283
2017-12-28,346.71,352.73,346.71,352.73,25
2017-12-31,346.71,346.71,346.71,346.71,10
2018-01-01,352.73,358.76,352.73,358.76,90
2018-01-02,358.76,358.76,352.4,352.4,80
2018-01-03,351.39,351.39,351.39,351.39,20
2018-01-04,345.37,345.37,339.34,339.34,120
2018-01-07,343.02,347.38,341.35,347.38,170
2018-01-08,351.39,351.39,338.0,338.0,606
2018-01-09,338.0,344.03,338.0,338.33,889
2018-01-10,338.0,339.67,338.0,338.33,756
2018-01-14,332.3,337.66,328.29,331.63,320
2018-01-16,328.29,328.29,327.95,328.29,370
2018-01-17,327.95,327.95,322.59,325.27,320
2018-01-21,321.25,321.25,315.89,321.25,350
2018-01-22,321.25,328.96,317.9,321.25,1201
2018-01-23,315.22,321.25,315.22,321.25,77
2018-01-24,326.95,326.95,315.89,315.89,40
2018-01-25,317.9,321.25,314.55,321.25,157
2018-01-28,316.23,316.9,312.88,313.21,355
2018-01-29,311.2,316.23,308.19,316.23,366
2018-01-31,320.25,320.25,314.55,316.9,60
2018-02-01,318.91,318.91,314.55,315.22,760
2018-02-04,314.55,314.55,311.87,312.88,315
2018-02-05,311.2,312.54,306.52,306.52,395
2018-02-06,307.52,317.23,307.52,317.23,66
2018-02-07,314.55,314.55,313.88,313.88,400
2018-02-08,308.53,311.2,308.53,311.2,35
