timestamp,open,high,low,close,volume
2024-01-08,284.5,312.94,284.5,312.94,30866
2024-01-09,319.19,344.22,319.19,344.22,10699
2024-01-10,351.03,378.63,351.03,378.63,17004
2024-01-11,386.18,416.45,386.18,416.45,37445
2024-01-14,424.73,458.04,424.73,458.04,45684
2024-01-16,467.15,503.77,467.15,503.77,70340
2024-01-17,513.8,554.1,513.8,554.1,1093487
2024-01-18,565.15,608.67,513.43,600.85,3044702
2024-01-21,612.81,652.37,610.05,626.61,827738
2024-01-22,614.1,621.09,589.8,594.41,1196355
2024-01-23,593.49,626.61,584.28,607.2,841022
2024-01-24,607.29,620.17,602.69,604.53,379833
2024-01-25,604.53,608.21,593.58,595.14,439859
2024-01-28,598.09,606.92,584.38,593.49,521843
2024-01-29,593.49,629.37,593.49,615.57,900511
2024-01-30,627.81,663.42,621.83,652.93,1070172
2024-01-31,665.26,669.86,642.25,657.53,889868
2024-02-01,662.5,664.43,639.49,639.58,769799
2024-02-04,639.58,644.09,625.69,633.14,486325
2024-02-05,634.89,644.09,630.38,630.75,269982
2024-02-06,630.75,651.45,630.75,648.6,481428
2024-02-07,644.09,656.97,639.68,640.5,354258
2024-02-08,642.25,652.37,633.05,633.97,273200
2024-02-11,646.58,672.62,635.81,639.4,887170
2024-02-12,646.85,647.77,634.89,636.82,331525
2024-02-13,636.82,636.82,618.33,618.33,478560
2024-02-14,625.69,625.69,613.27,614.74,256176
2024-02-15,616.49,620.17,602.5,603.33,345592
2024-02-18,602.69,612.81,588.98,593.58,632757
2024-02-20,594.26,624.4,593.3,622.01,493093
2024-02-21,622.01,634.35,605.84,605.93,173537
2024-02-22,605.93,610.43,591.0,597.13,237439
2024-02-25,597.13,604.78,581.34,581.44,179714
2024-02-26,578.85,590.24,578.85,589.47,126929
2024-02-27,589.47,593.3,579.9,583.73,104494
2024-02-28,582.78,593.3,582.78,588.52,131080
2024-02-29,588.52,593.3,578.85,579.33,131730
2024-03-03,579.33,586.6,569.57,569.95,138436
2024-03-04,581.34,623.92,581.34,595.22,46976
2024-03-05,602.87,606.6,583.73,587.08,206392
2024-03-06,586.6,603.83,581.91,597.99,209585
2024-03-07,602.87,606.7,594.26,597.13,104209
2024-03-10,597.13,602.87,591.39,593.3,114706
2024-03-12,605.17,608.13,593.3,607.66,249989
2024-03-13,619.81,622.01,603.92,614.35,319600
2024-03-14,611.1,616.27,600.96,603.35,155008
2024-03-17,602.87,607.66,592.34,593.78,162925
2024-03-18,594.26,603.06,591.39,594.26,89790
2024-03-19,594.26,602.78,588.52,591.39,138176
2024-03-20,591.39,600.0,582.78,587.66,120125
2024-03-21,587.66,591.39,578.95,580.38,157312
2024-03-25,580.86,587.37,576.08,582.68,103522
2024-03-26,579.9,586.99,579.9,581.82,104199
2024-03-27,581.82,585.36,571.29,576.08,117823
2024-03-28,576.08,583.73,575.12,578.09,65655
2024-03-31,577.99,580.86,572.73,575.02,103662
2024-04-01,574.16,577.03,570.43,571.1,83177
2024-04-02,582.49,582.49,569.47,569.57,64412
2024-04-03,559.81,582.78,559.81,569.38,73550
2024-04-04,569.38,570.81,564.59,565.07,76697
2024-04-07,564.59,573.11,562.68,570.33,106557
2024-04-09,570.33,597.99,570.33,597.03,250900
2024-04-10,596.17,606.7,583.73,583.92,202157
2024-04-14,583.92,591.39,580.1,586.79,121619
2024-04-15,587.56,593.3,580.1,580.38,102787
2024-04-16,579.9,580.86,572.44,579.04,71361
2024-04-18,572.44,579.9,571.48,574.16,88713
2024-04-21,569.38,580.86,564.59,575.12,92557
2024-04-22,575.12,580.86,569.38,569.38,50314
2024-04-24,574.07,574.26,564.59,566.6,68856
2024-04-25,566.7,570.62,565.26,566.51,67940
2024-04-28,567.46,574.16,562.68,569.95,73813
2024-04-29,579.9,579.9,562.68,563.64,49435
2024-04-30,563.64,573.88,559.81,564.59,104703
2024-05-02,574.16,574.16,560.38,560.77,94797
2024-05-05,555.02,571.2,555.02,566.99,97712
