timestamp,open,high,low,close,volume
2019-01-07,208.48,208.48,208.48,208.48,10
2019-01-09,208.48,208.48,205.45,205.45,80
2019-01-16,205.45,205.45,197.58,202.42,50
2019-01-17,202.42,202.42,186.67,186.67,70
2019-01-23,186.67,186.67,179.39,179.39,500
2019-01-29,179.39,179.39,172.73,172.73,20
2019-02-07,166.06,172.73,161.21,161.21,60
2019-02-10,155.15,161.21,155.15,155.15,20
2019-02-26,149.7,155.15,146.06,146.06,60
2019-03-03,141.21,146.06,141.21,141.21,10
2019-03-05,136.36,141.21,136.36,136.36,20
2019-04-09,131.52,131.52,128.48,128.48,50
2019-05-13,124.24,124.24,124.24,124.24,20
2019-05-14,120.0,120.0,120.0,120.0,50
2019-05-23,116.36,116.36,113.94,113.94,70
2019-05-26,110.3,110.3,106.67,106.67,210
2019-05-28,103.64,103.64,102.42,102.42,20
2019-05-29,99.39,99.39,96.36,96.36,2505
2019-05-30,96.97,98.79,95.76,96.36,4586
2019-06-02,96.97,96.97,94.55,96.97,1100
2019-06-03,96.36,96.36,96.36,96.36,20
2019-06-04,95.76,95.76,92.73,92.73,1800
2019-06-06,93.33,95.15,93.33,95.15,1820
2019-06-11,94.55,97.58,94.55,96.36,3610
2019-06-12,95.76,95.76,92.12,93.94,790
2019-06-13,93.33,93.33,90.91,92.12,600
2019-06-16,91.52,91.52,90.3,91.52,660
2019-06-17,90.91,90.91,89.7,90.3,480
2019-06-18,89.7,90.3,89.7,90.3,480
2019-06-19,89.7,90.91,89.7,90.3,260
2019-06-20,87.88,90.91,87.88,90.3,470
2019-06-23,89.7,90.3,89.09,89.7,640
2019-06-24,89.09,89.7,87.88,89.7,760
2019-06-25,89.09,89.7,88.48,89.7,390
2019-06-26,89.09,89.7,88.48,89.09,760
2019-06-27,88.48,90.3,88.48,89.7,480
2019-06-30,87.27,89.09,87.27,88.48,860
2019-07-01,87.88,88.48,87.27,87.88,950
2019-07-02,88.48,88.48,87.27,87.88,530
2019-07-03,87.27,87.88,86.67,86.67,1030
2019-07-04,86.67,87.27,86.67,87.27,130
2019-07-07,86.67,87.88,86.67,87.27,180
2019-07-08,86.67,87.27,86.67,86.67,250
2019-07-09,86.06,88.48,86.06,87.27,420
2019-07-10,86.67,87.27,86.67,87.27,220
2019-07-11,87.27,87.27,85.45,85.45,1050
2019-07-14,84.85,86.06,84.85,86.06,290
2019-07-15,86.06,86.67,86.06,86.67,100
2019-07-16,86.06,87.27,86.06,86.06,370
2019-07-17,86.67,87.88,86.67,87.27,450
2019-07-18,87.88,87.88,86.06,86.06,170
2019-07-21,86.67,87.27,86.06,87.27,270
