timestamp,open,high,low,close,volume
2023-08-21,395.87,435.45,395.87,435.45,1102
2023-08-22,444.13,478.93,444.13,478.93,970
2023-08-23,488.43,526.78,488.43,526.78,640
2023-08-24,537.27,579.42,537.27,579.42,2578
2023-08-27,590.99,637.36,590.99,637.36,2509
2023-08-28,650.08,701.07,650.08,701.07,1991
2023-08-29,701.07,771.16,701.07,771.16,16318
2023-08-30,785.12,800.83,712.73,728.93,14491
2023-09-03,714.88,714.88,656.2,667.77,8735
2023-09-04,654.55,691.24,644.63,690.91,4450
2023-09-05,677.69,685.95,664.46,685.95,1376
2023-09-07,673.22,680.25,661.65,679.34,3308
2023-09-10,666.2,717.77,656.2,665.29,3756
2023-09-11,670.25,677.6,644.79,672.73,1750
2023-09-12,665.29,671.07,655.37,666.12,2980
2023-09-13,654.05,693.39,654.05,689.26,1925
2023-09-17,675.54,679.34,658.1,673.47,1340
2023-09-18,662.07,685.79,661.16,671.9,2667
2023-09-19,658.6,684.96,658.6,660.41,1596
2023-09-21,673.55,693.39,673.55,688.43,4760
2023-09-24,694.21,714.05,676.03,688.43,3728
2023-09-25,676.12,701.65,676.03,701.65,2420
2023-09-26,688.43,723.97,674.79,709.92,3308
2023-09-27,695.87,698.26,677.69,689.26,927
2023-10-01,677.69,684.3,665.29,665.37,847
2023-10-02,666.53,677.69,657.85,673.55,1385
2023-10-03,662.07,671.07,659.09,671.07,876
2023-10-04,662.81,674.3,662.15,669.42,1395
2023-10-05,657.36,669.42,657.36,666.94,783
2023-10-08,654.3,657.85,649.67,649.67,840
2023-10-09,644.79,653.72,644.63,652.07,1003
2023-10-10,644.71,644.71,636.36,644.63,1619
2023-10-11,643.8,651.57,638.02,651.57,590
2023-10-12,638.84,639.67,628.1,639.67,770
2023-10-16,636.36,636.36,607.6,608.26,1236
2023-10-17,620.41,620.41,608.26,617.36,520
2023-10-18,617.36,640.5,617.36,640.25,310
2023-10-19,627.6,633.06,619.83,619.83,490
2023-10-29,619.01,628.1,611.57,617.36,800
2023-10-30,608.26,640.41,608.26,640.41,1320
2023-10-31,627.69,627.69,611.74,616.53,2454
2023-11-01,609.09,619.83,609.09,618.76,510
2023-11-02,609.92,619.75,608.26,614.05,772
2023-11-05,602.48,605.79,596.69,605.79,440
2023-11-06,614.88,618.1,595.87,611.57,1746
2023-11-07,622.23,623.14,611.57,615.7,474
2023-11-08,619.83,623.97,611.57,623.97,170
2023-11-09,613.22,613.22,604.3,611.57,472
2023-11-20,611.98,619.83,600.08,609.92,310
2023-11-21,599.26,603.31,598.6,598.6,233
2023-11-22,599.17,620.66,599.17,608.26,110
2023-11-23,599.17,630.91,599.17,630.91,560
2023-11-26,619.83,640.5,618.35,639.59,600
2023-11-27,639.26,676.86,639.26,661.16,2127
2023-11-28,665.29,665.29,640.5,664.46,1030
2023-11-29,653.72,653.72,640.74,651.24,460
2023-11-30,638.43,639.59,614.88,614.88,740
2023-12-03,614.88,623.55,610.0,623.55,160
2023-12-04,611.57,636.36,611.57,635.45,200
2023-12-05,622.81,628.93,617.36,628.93,360
2023-12-06,620.66,620.66,619.92,619.92,140
2023-12-07,607.52,632.23,607.52,632.23,650
2023-12-10,644.88,670.25,644.88,670.25,70
2023-12-11,683.64,683.64,639.01,655.37,1087
2023-12-12,661.16,681.74,650.41,680.99,845
2023-12-13,680.99,680.99,642.23,642.23,2810
2023-12-14,652.07,677.69,645.54,647.19,2175
2023-12-17,647.19,681.82,647.19,681.82,1900
2023-12-18,694.21,695.37,661.24,680.17,1810
2023-12-19,669.5,669.5,657.27,667.77,630
2023-12-20,661.98,680.99,661.16,680.91,1769
2023-12-21,694.46,748.93,671.49,738.02,4625
2023-12-24,725.62,798.68,711.57,758.68,4616
2023-12-27,760.33,760.33,708.68,749.59,1620
2023-12-28,738.02,738.84,711.57,718.93,1290
2024-01-01,733.06,746.28,696.69,714.79,3642
2024-01-02,702.48,702.56,681.82,697.52,1850
2024-01-03,697.52,751.9,690.08,751.9,3313
2024-01-04,737.19,743.8,723.14,739.67,915
2024-01-07,743.8,747.93,716.61,725.62,3580
2024-01-08,728.1,756.2,720.66,736.45,1110
2024-01-09,751.16,766.12,732.31,732.31,2164
2024-01-10,746.94,746.94,725.62,742.15,1554
2024-01-11,747.11,751.07,736.36,742.98,1145
2024-01-14,757.02,787.27,757.02,765.29,2828
2024-01-16,768.6,791.49,761.98,787.6,2067
2024-01-17,773.55,773.55,741.32,753.31,1515
2024-01-18,738.84,767.77,724.13,747.27,2494
2024-01-21,733.88,747.93,723.31,735.54,1480
2024-01-22,735.54,735.54,700.83,712.31,2212
2024-01-23,700.25,733.88,698.18,704.21,460
2024-01-24,717.36,732.07,693.64,702.48,1589
2024-01-25,699.17,702.48,686.78,702.48,1122
2024-01-28,710.74,716.53,694.38,714.05,500
2024-01-29,702.48,719.83,702.48,718.93,1567
2024-01-30,706.61,735.29,706.61,723.97,800
2024-01-31,731.4,733.88,706.61,706.61,995
