timestamp,open,high,low,close,volume
2023-03-23,128.0,133.05,128.0,133.05,207
2023-03-26,131.14,141.05,131.14,141.05,123
2023-03-27,141.05,155.14,141.05,155.14,94
2023-03-28,158.19,158.19,158.19,158.19,20
2023-03-29,161.33,174.0,161.33,174.0,60
2023-03-30,174.0,184.57,174.0,184.57,52
2023-04-02,184.57,202.95,184.57,202.95,161
2023-04-03,202.95,223.24,202.95,223.24,200
2023-04-04,219.14,245.52,219.14,245.52,110
2023-04-05,245.43,270.0,245.43,270.0,180
2023-04-06,275.33,296.95,275.33,296.95,290
2023-04-09,302.86,326.57,302.86,326.57,531
2023-04-10,333.05,359.14,333.05,359.14,523
2023-04-11,366.29,395.05,366.29,395.05,837
2023-04-12,394.95,434.48,394.95,434.48,800
2023-04-13,434.48,477.9,434.48,477.9,1004
2023-04-16,487.43,525.62,487.43,525.62,1135
2023-04-17,536.1,578.1,536.1,578.1,1152
2023-04-18,589.62,635.9,589.62,635.9,926
2023-04-19,648.57,699.43,648.57,699.43,755
2023-04-20,713.33,769.33,713.33,769.33,930
2023-04-23,784.67,846.19,784.67,846.19,5264
2023-04-24,863.05,923.81,763.33,764.76,105636
2023-04-25,749.52,764.76,723.81,750.48,38487
2023-04-26,740.95,767.62,738.1,759.05,11752
2023-04-27,747.62,760.95,743.9,755.05,11680
2023-04-30,742.86,760.0,733.33,733.43,12357
2023-05-02,733.33,740.0,723.81,727.62,9070
2023-05-03,723.81,723.9,709.52,714.29,8778
2023-05-04,702.38,714.29,698.1,704.76,11644
2023-05-07,704.76,704.76,678.67,679.05,6248
2023-05-08,674.38,685.71,654.29,655.24,15068
2023-05-09,642.86,695.52,642.86,685.71,12141
2023-05-10,685.71,699.43,672.38,682.86,6461
2023-05-11,676.19,680.95,666.67,671.43,5943
2023-05-14,683.9,694.29,667.62,670.48,10259
2023-05-15,667.62,681.9,663.81,675.24,6026
2023-05-16,676.19,694.29,674.76,679.05,4463
2023-05-17,679.52,696.19,674.29,691.05,6195
2023-05-18,680.0,723.81,680.0,717.14,12698
2023-05-21,727.62,744.76,704.76,720.95,17187
2023-05-22,714.29,733.33,707.05,723.81,11152
2023-05-23,723.81,752.86,723.81,740.95,12048
2023-05-24,742.86,757.14,724.95,750.48,14646
2023-05-28,742.86,764.76,728.57,737.14,22687
2023-05-30,724.1,738.1,706.38,706.67,17905
2023-05-31,709.52,723.81,687.81,695.24,17037
2023-06-01,695.24,709.52,690.57,701.9,9651
2023-06-04,704.76,737.14,704.76,735.24,15002
2023-06-05,741.9,744.76,714.29,719.05,10517
2023-06-06,714.29,745.71,710.48,738.1,11947
2023-06-07,738.1,762.57,734.29,736.67,11293
2023-06-08,731.43,752.38,731.43,731.43,12864
2023-06-11,738.1,748.57,733.43,737.14,10107
2023-06-12,735.24,810.86,735.24,810.86,57674
2023-06-13,827.05,882.86,823.81,871.43,46445
2023-06-14,857.14,886.67,836.19,857.05,34409
2023-06-15,874.1,892.38,824.1,871.43,43934
2023-06-18,876.19,924.76,867.62,922.86,31958
2023-06-19,909.52,919.05,886.76,886.95,25419
2023-06-20,876.29,909.52,872.48,882.86,14476
2023-06-21,895.14,932.38,869.52,885.71,33586
2023-06-22,885.71,974.29,877.14,974.29,57497
2023-06-25,974.29,1049.52,959.14,1019.05,36543
