timestamp,open,high,low,close,volume
2022-04-24,235.6,254.1,230.0,254.1,8777
2022-04-25,259.1,270.0,253.0,257.1,15852
2022-04-26,252.0,267.4,252.0,259.0,7284
2022-04-27,256.0,261.0,251.0,255.0,6722
2022-04-28,255.0,260.0,247.0,250.0,11501
2022-05-02,245.0,245.0,235.5,236.0,4882
2022-05-04,235.9,240.0,226.0,230.0,4569
2022-05-05,230.0,230.0,223.5,227.0,13068
2022-05-08,227.0,240.8,218.8,240.8,7908
2022-05-09,236.0,250.0,234.0,241.0,4692
2022-05-10,241.0,254.0,236.2,254.0,4742
2022-05-11,254.0,272.0,253.9,270.0,9353
2022-05-12,275.0,280.0,260.0,260.0,10445
2022-05-17,255.0,255.0,237.3,242.0,11035
2022-05-18,238.1,253.4,235.0,252.9,17161
2022-05-19,250.0,260.0,243.0,243.0,5681
2022-05-20,246.9,246.9,239.1,243.0,1912
2022-05-23,238.3,241.0,229.5,238.0,21798
2022-05-24,235.0,244.0,229.0,240.0,23718
2022-05-25,240.0,242.5,230.0,238.7,17431
2022-05-26,239.0,246.9,229.0,236.2,15458
2022-05-27,240.9,240.9,230.0,231.0,10517
2022-05-30,235.6,235.6,224.0,227.0,6324
2022-05-31,222.5,229.5,220.0,224.0,8255
2022-06-01,225.0,228.4,218.0,223.0,17991
2022-06-02,227.3,227.3,218.0,221.0,6081
2022-06-03,225.0,225.0,215.0,218.0,10188
2022-06-06,222.0,226.0,213.0,215.6,6883
2022-06-07,219.0,220.0,210.0,211.0,7136
2022-06-08,215.2,230.0,212.0,221.0,8880
2022-06-09,225.4,229.0,218.0,219.0,11606
2022-06-10,223.3,227.6,211.1,216.0,4889
2022-06-13,216.0,220.0,212.5,212.5,2292
2022-06-14,210.0,215.0,209.0,209.0,8178
2022-06-15,209.0,210.0,201.0,205.0,7360
2022-06-16,209.0,215.0,205.1,211.0,7392
2022-06-17,215.2,215.2,205.7,211.0,2155
2022-06-19,207.0,207.0,200.0,200.0,5558
2022-06-20,196.0,200.0,188.0,188.0,10556
2022-06-21,184.3,202.0,184.3,192.0,10948
2022-06-22,195.0,195.0,188.0,193.0,5912
2022-06-23,189.2,189.2,177.4,180.0,6334
2022-06-24,176.5,194.0,171.5,185.0,4351
2022-06-26,188.7,203.0,188.7,201.7,13873
2022-06-27,205.0,213.0,196.0,196.0,14037
2022-06-28,192.1,199.8,190.0,196.0,5459
2022-06-29,193.0,209.0,193.0,202.9,13588
2022-06-30,198.9,214.0,198.9,212.0,12050
2022-07-01,209.0,217.3,205.0,209.3,7062
2022-07-03,209.0,222.0,207.0,221.9,9392
2022-07-04,222.0,240.0,215.0,215.0,36823
2022-07-05,215.0,223.0,208.1,209.1,14127
2022-07-06,213.2,217.0,204.0,216.1,8883
2022-07-07,216.0,224.1,211.0,211.0,11197
2022-07-08,207.0,211.0,207.0,209.0,2813
2022-07-11,204.9,204.9,195.5,199.0,10406
2022-07-12,195.1,210.0,192.0,200.0,14687
