timestamp,open,high,low,close,volume
2014-02-05,98.22,98.22,92.77,98.22,40
2014-02-06,98.22,103.68,100.04,103.68,30
2014-02-10,103.68,103.68,103.68,103.68,10
2014-02-11,103.68,107.58,105.5,107.58,43
2014-02-12,107.58,118.23,109.66,118.23,80
2014-02-13,118.23,122.91,120.57,122.91,43
2014-02-16,122.91,135.12,125.25,135.12,276
2014-02-17,135.12,148.64,137.72,148.64,70
2014-02-18,148.64,163.45,151.49,163.45,90
2014-02-20,163.45,179.56,171.5,179.56,65
2014-02-23,179.56,197.49,182.94,197.49,854
2014-02-24,197.49,217.24,201.39,217.24,2829
2014-02-25,217.24,238.81,200.09,238.55,10245
2014-02-26,238.55,239.07,222.17,222.43,3820
2014-03-03,222.43,218.28,202.69,211.26,3330
2014-03-04,211.26,207.88,202.69,207.1,5326
2014-03-05,207.1,209.44,203.99,206.58,1518
2014-03-06,206.58,207.88,201.39,201.39,616
2014-03-09,201.39,202.69,196.45,202.69,1834
2014-03-10,202.69,201.39,189.69,198.79,2660
2014-03-11,198.79,197.49,192.29,194.89,1294
2014-03-12,194.89,193.59,188.39,191.77,1136
2014-03-13,191.77,194.89,189.69,194.89,1177
2014-03-17,194.89,193.59,182.16,183.2,1250
2014-03-18,183.2,184.24,176.96,176.96,2024
2014-03-19,176.96,179.3,173.32,176.96,1156
2014-03-20,176.96,179.3,174.1,179.3,800
2014-03-23,179.3,180.6,171.5,176.7,896
2014-03-24,176.7,174.88,169.94,173.06,392
2014-03-25,173.06,178.26,171.5,175.4,1075
2014-03-26,175.4,179.04,168.9,176.44,1839
2014-03-27,176.44,180.08,174.62,180.08,2719
2014-03-31,180.08,184.5,178.26,184.5,857
2014-04-01,184.5,187.09,184.5,184.5,756
2014-04-02,184.5,187.09,181.9,182.16,230
2014-04-03,182.16,182.16,176.7,176.7,492
2014-04-06,176.7,178.0,176.7,176.96,249
2014-04-07,176.96,184.5,177.74,181.9,2708
2014-04-09,181.9,183.2,178.52,183.2,834
2014-04-10,183.2,185.8,179.3,182.94,478
2014-04-13,182.94,183.2,181.9,182.16,274
2014-04-15,182.16,188.65,181.9,185.02,1348
2014-04-16,185.02,187.87,184.5,185.8,240
2014-04-17,185.8,185.8,184.24,184.5,731
2014-04-20,184.5,184.5,183.98,184.5,263
2014-04-21,184.5,184.5,178.0,178.0,1684
2014-04-22,178.0,181.38,171.24,181.38,308
2014-04-23,181.38,181.9,174.88,175.4,2295
2014-04-27,175.4,178.78,175.4,176.96,422
2014-04-28,176.96,188.39,178.0,182.42,517
2014-04-29,182.42,181.64,178.78,181.64,30
2014-04-30,181.64,178.26,176.44,178.0,783
2014-05-04,178.0,192.29,176.7,190.47,4493
2014-05-05,190.47,208.92,190.21,197.49,2079
2014-05-06,197.49,197.49,189.95,191.25,640
2014-05-07,191.25,190.21,187.61,189.95,452
2014-05-08,189.95,189.69,182.16,182.16,2847
2014-05-11,182.16,184.5,181.12,181.64,130
2014-05-12,181.64,187.09,180.6,187.09,957
2014-05-13,187.09,200.09,184.5,200.09,2680
2014-05-15,200.09,202.69,200.09,200.09,670
2014-05-18,200.09,196.19,183.72,183.98,493
2014-05-19,183.98,187.61,183.72,185.02,1023
2014-05-20,185.02,187.61,181.9,184.76,1484
2014-05-21,184.76,185.8,181.9,184.76,3508
2014-05-22,184.76,187.09,184.5,184.76,1060
2014-05-25,184.76,187.09,183.2,186.57,550
2014-05-26,186.57,196.19,187.61,189.69,1458
2014-05-27,189.69,189.43,184.76,186.57,1292
2014-05-28,186.57,188.39,185.28,187.09,200
2014-06-01,187.09,187.09,184.5,187.09,577
2014-06-02,187.09,185.8,184.5,184.5,190
2014-06-03,184.5,189.69,178.0,189.69,1235
2014-06-04,189.69,186.06,178.26,180.6,1458
2014-06-05,180.6,180.6,174.1,178.26,459
2014-06-08,178.26,176.7,176.7,176.7,10
2014-06-09,176.7,180.6,174.36,180.6,835
2014-06-10,180.6,183.98,179.3,180.34,1272
2014-06-11,180.34,181.9,179.3,181.9,962
2014-06-12,181.9,182.16,178.52,179.56,620
2014-06-15,179.56,182.68,179.3,182.68,174
2014-06-16,182.68,184.5,180.86,180.86,101
2014-06-17,180.86,183.98,180.86,183.98,100
2014-06-18,183.98,180.6,176.96,176.96,83
2014-06-19,176.96,176.96,175.4,176.18,267
2014-06-23,176.18,174.1,174.1,174.1,164
2014-06-24,174.1,191.25,171.24,191.25,309
2014-06-30,191.25,187.61,176.7,181.9,1932
2014-07-01,181.9,193.07,181.9,187.35,2062
2014-07-02,187.35,192.29,189.69,189.69,1655
2014-07-03,189.69,193.33,187.09,189.69,967
2014-07-06,189.69,193.59,188.39,193.59,976
2014-07-07,193.59,193.59,187.35,188.39,509
2014-07-08,188.39,187.09,181.9,184.5,718
2014-07-09,184.5,184.5,180.6,180.6,148
2014-07-10,180.6,189.17,180.86,189.17,853
2014-07-13,189.17,196.45,189.17,193.33,603
2014-07-14,193.33,189.69,182.42,185.02,1010
2014-07-15,185.02,189.69,181.9,187.09,3585
2014-07-16,187.09,194.37,187.09,192.29,476
2014-07-17,192.29,193.59,192.03,193.59,1016
2014-07-20,193.59,212.82,194.89,212.82,8950
2014-07-21,212.82,233.87,216.98,233.87,7496
2014-07-22,233.87,252.84,226.33,233.87,5325
2014-07-23,233.87,233.87,225.55,226.07,735
2014-07-24,226.07,228.67,223.47,223.47,884
2014-07-27,223.47,219.58,218.28,219.58,172
2014-07-28,219.58,215.42,211.26,211.26,30
2014-07-30,211.26,207.88,205.28,205.8,2786
2014-07-31,205.8,207.88,205.28,207.88,1098
2014-08-03,207.88,205.28,201.39,202.69,300
2014-08-04,202.69,202.69,200.35,202.69,443
2014-08-05,202.69,207.88,200.09,200.09,317
2014-08-06,200.09,207.88,200.09,205.28,1406
2014-08-07,205.28,208.66,201.65,208.66,308
2014-08-12,208.66,204.5,204.5,204.5,60
2014-08-13,204.5,207.88,200.61,207.88,788
2014-08-14,207.88,206.58,201.39,201.39,352
2014-08-18,201.39,201.13,194.89,200.09,333
2014-08-19,200.09,197.49,195.15,195.15,815
2014-08-20,195.15,192.29,185.8,185.8,462
2014-08-21,185.8,187.09,181.9,183.72,981
2014-08-24,183.72,182.42,178.78,182.16,132
2014-08-25,182.16,181.9,171.76,171.76,120
2014-08-26,171.76,176.7,174.1,176.7,70
2014-08-27,176.7,182.42,179.3,179.3,923
2014-08-28,179.3,185.54,175.92,185.54,1571
2014-09-01,185.54,181.9,181.9,181.9,100
2014-09-03,181.9,181.9,179.3,179.3,594
2014-09-04,179.3,175.92,173.06,174.1,286
2014-09-07,174.1,170.72,164.23,164.23,284
2014-09-09,164.23,166.31,163.71,166.31,384
2014-09-10,166.31,177.48,168.13,177.48,579
2014-09-11,177.48,176.7,174.1,174.1,615
