timestamp,open,high,low,close,volume
2018-10-11,70.67,77.73,70.67,77.73,1330
2018-10-14,79.02,85.44,73.88,77.73,16907
2018-10-15,76.45,79.02,74.52,76.45,8242
2018-10-21,75.16,77.09,73.88,77.09,2940
2018-10-22,76.45,75.81,73.24,74.52,12677
2018-10-23,73.24,74.52,72.59,73.24,7050
2018-10-24,71.95,73.88,70.67,70.67,7911
2018-10-25,70.03,74.52,69.38,73.24,4390
2018-10-28,71.95,75.81,70.03,72.59,7500
2018-10-29,71.31,73.88,70.03,73.24,5000
2018-10-30,71.95,75.81,71.95,75.81,11750
2018-10-31,74.52,77.09,73.24,75.16,2710
2018-11-01,73.88,75.81,73.24,74.52,2940
2018-11-04,73.24,75.16,73.24,73.88,1792
2018-11-05,72.59,73.88,71.95,72.59,2250
2018-11-14,71.31,74.52,70.03,72.59,1160
2018-11-15,72.59,73.24,70.67,71.31,2355
2018-11-18,71.31,72.59,70.03,70.67,1610
2018-11-19,70.67,71.95,69.38,69.38,2361
2018-11-20,69.38,70.67,68.74,68.74,780
2018-11-21,68.74,70.03,67.46,69.38,1090
2018-11-22,69.38,70.03,68.1,68.74,1200
2018-11-25,68.74,68.74,66.17,66.81,2390
2018-11-26,66.81,66.81,65.53,66.81,1010
2018-11-27,66.81,68.1,66.17,66.81,890
2018-11-28,66.81,68.1,66.17,68.1,4570
2018-11-29,68.1,68.1,65.53,66.17,610
2018-12-02,66.17,67.46,64.89,67.46,650
2018-12-03,67.46,68.1,66.17,66.81,760
2018-12-04,66.81,67.46,66.17,66.17,1420
2018-12-06,67.46,68.1,66.17,66.81,300
2018-12-09,66.81,66.81,65.53,66.17,250
2018-12-10,66.17,66.81,65.53,66.81,180
2018-12-11,66.81,67.46,65.53,66.17,160
2018-12-12,66.17,66.81,64.89,66.17,460
2018-12-13,66.17,67.46,64.89,67.46,820
2018-12-16,67.46,68.74,66.17,68.74,470
2018-12-17,68.74,69.38,66.17,66.17,1610
2018-12-18,66.17,66.17,64.89,66.17,230
2018-12-19,66.17,67.46,64.89,65.53,500
2018-12-20,65.53,66.17,64.89,65.53,470
2018-12-23,65.53,67.46,64.24,64.89,2640
2018-12-24,64.89,64.89,62.96,64.89,3080
2018-12-25,64.89,65.53,63.6,64.24,680
2018-12-26,64.24,65.53,63.6,63.6,420
2018-12-27,63.6,66.81,63.6,66.17,2250
2018-12-30,66.17,67.46,64.24,64.24,740
2018-12-31,64.24,66.81,64.24,66.81,590
2019-01-01,66.81,66.81,64.89,65.53,710
2019-01-02,65.53,66.17,64.24,64.89,1220
2019-01-03,64.89,65.53,64.24,65.53,520
2019-01-06,64.24,64.89,64.24,64.24,300
2019-01-07,64.24,65.53,64.24,65.53,600
2019-01-08,65.53,65.53,63.6,64.24,360
2019-01-09,64.24,64.89,63.6,64.24,520
