timestamp,open,high,low,close,volume
2022-04-24,383.11,413.54,375.94,407.27,35395
2022-04-25,412.64,415.33,394.74,394.74,25532
2022-04-26,401.45,401.45,384.9,389.37,12636
2022-04-27,389.37,398.32,383.11,398.32,18245
2022-04-28,398.32,403.69,386.69,386.95,23973
2022-05-02,379.52,385.79,371.29,376.84,17464
2022-05-04,376.84,380.24,367.44,368.78,22108
2022-05-05,366.1,373.35,359.65,365.2,24848
2022-05-08,365.2,370.57,352.67,369.68,38756
2022-05-09,372.36,376.75,362.52,366.99,27473
2022-05-10,366.1,380.42,366.1,377.73,24909
2022-05-11,377.73,391.97,377.73,389.37,28367
2022-05-12,384.9,396.53,376.84,377.73,32483
2022-05-17,370.57,376.84,363.23,363.23,21058
2022-05-18,358.94,371.47,358.04,367.53,18985
2022-05-19,362.07,371.47,360.82,362.52,17359
2022-05-20,361.0,366.1,356.25,358.94,22536
2022-05-23,357.15,364.31,352.22,354.64,17248
2022-05-24,358.04,366.99,356.25,360.28,23799
2022-05-25,367.44,369.68,358.04,361.62,11417
2022-05-26,364.31,367.08,356.25,359.65,17717
2022-05-27,362.52,362.52,354.46,356.25,13275
2022-05-30,356.25,356.25,342.83,344.79,28755
2022-05-31,344.62,348.2,334.77,334.86,24464
2022-06-01,340.14,344.62,335.75,340.14,15181
2022-06-02,333.96,348.11,333.87,337.45,10906
2022-06-03,340.14,340.14,333.34,334.41,25343
2022-06-06,340.95,347.3,331.64,336.74,16319
2022-06-07,339.24,339.24,319.37,324.03,43121
2022-06-08,327.61,341.93,322.24,331.19,24201
2022-06-09,334.77,340.14,321.34,321.34,57171
2022-06-10,317.05,323.13,315.26,319.64,18469
2022-06-13,326.0,331.19,314.18,315.08,12814
2022-06-14,317.76,320.45,305.32,306.13,24694
2022-06-15,302.55,307.92,296.19,300.76,36349
2022-06-16,300.76,313.2,300.04,302.55,18243
2022-06-17,298.07,307.02,298.07,302.55,8021
2022-06-19,302.55,303.44,290.91,290.91,17950
2022-06-20,286.43,288.22,277.48,281.06,40431
2022-06-21,281.06,295.38,280.53,290.1,26347
2022-06-22,290.1,290.1,280.17,286.34,9788
2022-06-23,281.96,281.96,272.2,275.69,19918
2022-06-24,275.69,286.43,265.04,281.96,36759
2022-06-26,287.6,305.23,284.64,303.89,33688
2022-06-27,307.92,313.29,291.8,293.59,49572
2022-06-28,287.78,293.59,286.43,290.01,14346
2022-06-29,295.38,310.6,286.43,305.23,35432
2022-06-30,302.37,324.92,302.37,324.03,49556
2022-07-01,326.71,330.47,313.29,318.48,28667
2022-07-03,313.29,331.19,311.5,330.29,40526
2022-07-04,331.19,348.2,313.29,324.03,72505
2022-07-05,317.76,333.87,309.71,311.5,50111
2022-07-06,308.81,318.66,302.55,317.76,34920
2022-07-07,324.12,330.56,313.02,315.08,29375
2022-07-08,315.08,315.97,304.34,306.13,13793
2022-07-11,301.65,301.74,291.8,293.51,126886
2022-07-12,296.28,298.88,281.06,290.01,54560
2022-07-13,294.94,308.72,294.94,307.02,35146
2022-07-14,311.5,320.45,303.44,312.39,39591
2022-07-15,306.22,318.57,303.53,313.2,105800
2022-07-17,318.66,318.66,308.1,314.18,26384
2022-07-18,314.18,320.45,309.71,318.66,13610
2022-07-19,322.24,328.5,315.97,323.04,32178
2022-07-20,323.13,327.43,317.76,321.34,31994
2022-07-21,322.24,324.03,315.97,316.87,29149
2022-07-22,313.29,318.66,307.11,309.71,13250
2022-07-24,315.08,326.71,311.5,326.71,87898
2022-07-25,333.25,350.88,329.4,350.88,80123
2022-07-26,349.99,356.25,337.1,338.35,74353
2022-07-27,332.08,349.63,326.71,344.62,78332
2022-07-28,350.88,358.04,331.19,349.09,93032
2022-07-29,343.72,371.47,342.11,365.2,91018
2022-07-31,369.68,379.52,362.61,368.78,123793
2022-08-01,373.26,373.26,359.12,360.73,77556
2022-08-02,361.62,367.89,354.46,358.04,66743
2022-08-03,359.3,368.78,355.45,357.15,43460
2022-08-04,358.04,360.73,344.62,345.51,64237
2022-08-05,345.51,349.09,334.77,339.16,45411
2022-08-07,338.35,349.09,335.66,338.35,55144
2022-08-08,344.62,345.51,328.5,332.89,43657
2022-08-09,332.89,333.87,316.87,316.96,66582
2022-08-10,313.29,321.25,310.24,315.08,51957
2022-08-11,315.97,320.45,307.02,307.02,31258
2022-08-14,311.5,313.02,302.1,302.55,22988
2022-08-15,304.34,325.73,304.34,324.92,47979
2022-08-16,327.61,331.19,314.18,314.18,57674
2022-08-17,315.08,322.24,310.6,316.87,24061
2022-08-18,322.24,331.19,316.87,328.5,47077
2022-08-21,332.98,339.6,325.01,325.01,37369
2022-08-22,322.24,329.4,319.55,323.58,44190
2022-08-23,328.5,328.5,318.66,322.24,17094
2022-08-24,323.13,328.5,322.24,323.13,19118
2022-08-25,322.24,327.61,315.97,317.76,24955
2022-08-26,317.76,317.76,308.81,310.6,21119
2022-08-28,310.6,310.6,298.25,299.05,45091
2022-08-29,299.23,306.13,297.44,306.13,21353
2022-08-30,311.5,311.5,305.23,309.71,26505
2022-08-31,314.99,314.99,299.86,300.76,17328
2022-09-01,300.76,310.42,296.28,303.44,17783
2022-09-02,304.34,308.72,299.05,300.76,9690
2022-09-04,304.34,306.75,301.2,303.44,15664
2022-09-05,307.92,307.92,300.04,302.46,11634
2022-09-06,304.34,304.34,297.26,301.2,6518
2022-09-07,298.97,298.97,294.04,295.38,21852
2022-09-08,295.38,300.76,290.91,297.62,22290
2022-09-11,303.44,303.44,291.71,291.71,9527
2022-09-12,290.91,295.38,289.12,292.7,11583
2022-09-13,293.59,302.55,293.59,298.07,17773
2022-09-14,298.07,313.29,298.07,310.6,32269
2022-09-15,310.6,313.29,293.15,294.85,36791
2022-09-16,289.03,292.61,279.27,290.91,40234
2022-09-18,286.43,288.22,280.71,281.06,26552
2022-09-20,280.17,281.96,270.23,271.22,27535
2022-09-21,276.59,282.85,273.72,278.29,15688
2022-09-22,277.93,281.96,270.32,271.22,17515
2022-09-25,268.53,277.48,268.53,269.43,18634
2022-09-27,273.9,280.17,269.52,275.69,8741
2022-09-28,277.48,281.06,273.99,274.8,6042
2022-09-29,279.27,279.27,274.17,276.59,11688
2022-10-09,281.96,290.91,281.96,289.12,18077
2022-10-10,290.01,293.51,277.48,280.17,21931
2022-10-11,283.75,283.75,275.69,277.48,10825
2022-10-12,277.48,287.78,273.19,286.43,23217
2022-10-13,290.01,292.16,286.43,288.13,10007
2022-10-16,293.59,293.59,279.27,280.17,9183
2022-10-17,279.27,280.62,277.12,280.08,10052
2022-10-19,283.3,283.3,272.02,273.9,13333
2022-10-20,271.22,276.59,269.43,273.54,10027
2022-10-23,278.38,278.38,273.9,277.57,4347
2022-10-31,277.48,277.48,268.53,269.52,27227
2022-11-01,273.9,286.34,267.64,286.34,25697
2022-11-02,287.33,290.46,280.71,285.54,22066
2022-11-03,286.43,286.43,277.48,278.38,13120
2022-11-06,279.27,287.6,277.48,287.33,19843
2022-11-07,290.91,292.16,282.67,282.67,28624
2022-11-08,285.99,285.99,278.38,279.36,15872
