timestamp,open,high,low,close,volume
2022-04-24,388.73,413.29,380.66,403.41,38752
2022-04-25,409.67,412.39,391.63,391.63,38233
2022-04-26,384.29,402.42,384.29,387.19,15691
2022-04-27,386.1,406.4,385.2,401.51,45226
2022-04-28,407.85,409.3,390.91,395.89,39334
2022-05-02,388.82,392.45,381.57,386.1,27667
2022-05-04,380.75,390.63,371.69,375.23,37956
2022-05-05,367.97,374.32,358.01,359.09,59856
2022-05-08,359.09,376.13,348.22,376.13,29207
2022-05-09,369.79,381.57,365.26,369.79,25658
2022-05-10,362.54,382.48,362.54,380.66,29656
2022-05-11,380.66,394.08,377.94,389.73,38739
2022-05-12,394.08,399.7,383.38,385.65,27688
2022-05-17,379.76,383.38,367.07,368.88,19652
2022-05-18,363.44,379.76,362.54,368.61,25158
2022-05-19,371.6,377.04,361.63,363.53,28500
2022-05-20,360.81,369.61,358.01,358.01,17469
2022-05-23,358.01,358.01,348.94,352.48,24165
2022-05-24,358.91,364.35,349.85,359.64,16787
2022-05-25,366.16,373.41,357.55,362.54,17849
2022-05-26,355.29,367.07,355.29,358.01,7382
2022-05-27,362.54,362.54,352.57,353.47,11770
2022-05-30,354.38,354.38,339.52,339.52,44396
2022-05-31,335.89,347.13,335.35,338.88,26908
2022-06-01,339.88,343.5,336.89,342.6,13267
2022-06-02,344.41,348.04,337.16,340.78,12850
2022-06-03,339.88,343.5,328.1,335.35,38573
2022-06-06,339.88,341.69,332.63,334.44,31528
2022-06-07,335.35,338.07,321.75,321.75,27063
2022-06-08,326.28,344.41,321.75,337.16,44612
2022-06-09,339.88,341.69,322.66,322.66,37739
2022-06-10,318.4,335.35,317.22,321.75,17459
2022-06-13,315.32,328.19,315.32,322.66,9142
2022-06-14,322.66,323.56,311.78,313.69,17469
2022-06-15,309.06,318.13,302.08,309.06,26860
2022-06-16,304.53,325.38,304.53,312.69,18099
2022-06-17,316.31,316.31,307.34,307.34,4110
2022-06-19,303.62,304.53,297.28,299.09,18313
2022-06-20,293.11,293.65,282.51,285.5,46090
2022-06-21,280.06,302.72,279.79,296.37,29247
2022-06-22,290.48,291.84,283.69,285.95,27519
2022-06-23,280.97,280.97,271.0,271.99,32068
2022-06-24,267.37,288.22,262.93,278.25,24343
2022-06-26,283.69,305.89,280.97,304.53,69038
2022-06-27,308.16,309.88,292.84,294.56,41734
2022-06-28,288.67,295.83,286.4,287.31,17911
2022-06-29,282.05,309.06,282.05,305.44,57396
2022-06-30,309.06,328.1,302.81,326.28,57773
2022-07-01,329.0,330.81,317.31,318.22,33934
2022-07-03,312.69,338.97,312.69,330.81,42482
2022-07-04,335.35,346.22,317.22,326.28,108253
2022-07-05,319.94,335.35,312.69,319.03,60796
2022-07-06,316.31,324.47,303.62,321.75,62733
2022-07-07,326.28,333.53,310.88,313.59,37061
2022-07-08,316.49,316.49,299.09,299.18,36211
2022-07-11,293.65,294.65,280.97,285.41,71293
2022-07-12,290.94,298.55,280.97,285.5,52363
2022-07-13,290.94,306.89,286.4,306.34,51519
2022-07-14,311.78,317.22,300.91,311.78,52442
2022-07-15,308.25,315.14,305.44,309.06,21063
2022-07-17,308.16,313.59,306.43,306.43,20902
2022-07-18,303.81,312.69,301.81,307.25,21072
2022-07-19,311.78,319.03,309.97,314.41,42464
2022-07-20,317.22,319.03,308.16,316.22,28436
2022-07-21,310.88,316.22,309.06,311.78,29369
2022-07-22,311.78,311.78,301.81,305.35,22199
2022-07-24,311.42,329.91,305.44,329.0,106034
2022-07-25,333.44,351.66,329.0,347.4,110228
2022-07-26,348.94,350.3,332.63,335.35,103568
2022-07-27,342.05,348.04,327.19,345.32,72714
2022-07-28,348.94,369.79,342.96,358.01,156135
2022-07-29,358.91,392.45,355.29,389.64,223452
2022-07-31,389.73,398.79,382.84,385.29,116539
2022-08-01,392.99,399.33,377.94,398.79,154461
2022-08-02,404.23,404.23,385.65,400.6,144698
2022-08-03,401.51,407.85,394.26,400.6,107918
2022-08-04,392.63,398.79,382.48,382.48,171857
2022-08-05,385.2,392.45,374.32,375.41,112496
2022-08-07,375.23,387.01,372.51,385.2,54221
2022-08-08,385.2,389.73,374.32,376.13,61956
