timestamp,open,high,low,close,volume
2014-10-14,94.42,94.42,94.42,94.42,41
2014-10-27,94.42,101.21,95.77,101.21,320
2014-11-02,101.21,104.83,104.83,104.83,20
2014-11-03,104.83,108.0,106.42,108.0,30
2014-11-11,108.0,114.34,109.59,114.34,40
2014-11-17,114.34,116.6,116.6,116.6,10
2014-11-18,116.6,125.66,118.42,125.66,163
2014-11-19,125.66,135.62,127.47,135.62,51
2014-11-20,135.62,144.23,137.66,144.23,120
2014-11-23,144.23,156.0,146.49,156.0,51
2014-11-24,156.0,168.91,158.49,168.91,152
2014-11-25,168.91,183.17,171.62,183.17,3404
2014-11-30,183.17,190.19,169.36,174.12,8526
2014-12-01,174.12,172.98,164.83,165.96,3619
2014-12-02,165.96,165.28,159.17,159.85,1721
2014-12-03,159.85,160.76,157.36,157.36,1176
2014-12-04,157.36,162.34,158.27,158.49,938
2014-12-07,158.49,160.76,157.36,160.76,639
2014-12-08,160.76,163.02,156.23,156.45,672
2014-12-09,156.45,157.36,153.06,156.23,718
2014-12-10,156.23,159.62,155.78,156.23,1625
2014-12-11,156.23,158.49,155.78,158.49,824
2014-12-14,158.49,166.19,160.3,164.15,1044
2014-12-15,164.15,165.28,160.76,165.28,913
2014-12-16,165.28,165.28,156.68,160.3,567
2014-12-17,160.3,165.28,159.62,160.76,1116
2014-12-18,160.76,160.76,156.45,160.76,154
2014-12-21,160.76,162.57,158.27,162.57,605
2014-12-22,162.57,163.25,158.04,158.49,478
2014-12-23,158.49,158.27,153.96,155.1,1667
2014-12-24,155.1,156.23,153.96,156.23,1124
2014-12-28,156.23,160.98,154.42,160.76,1836
2014-12-29,160.76,160.76,158.49,158.72,414
2014-12-31,158.72,169.59,160.76,169.59,3374
2015-01-01,169.59,180.0,167.1,176.38,2297
2015-01-04,176.38,183.4,173.44,182.95,2597
2015-01-05,182.95,189.74,178.87,187.25,3742
2015-01-06,187.25,189.28,184.76,187.93,3056
2015-01-07,187.93,199.02,181.59,199.02,4161
2015-01-08,199.02,216.23,196.98,216.23,3941
2015-01-11,216.23,233.21,200.61,217.59,3515
2015-01-12,217.59,217.36,203.78,210.12,4090
2015-01-13,210.12,215.1,206.27,215.1,1141
2015-01-14,215.1,218.49,210.57,211.25,1433
2015-01-18,211.25,208.3,203.78,207.4,1064
2015-01-19,207.4,214.64,204.91,204.91,996
2015-01-20,204.91,209.66,200.61,204.0,466
2015-01-22,204.0,203.78,200.38,200.38,987
2015-01-25,200.38,207.17,196.98,206.04,501
2015-01-26,206.04,209.66,204.91,206.27,1924
2015-01-27,206.27,206.72,204.0,206.04,656
2015-01-28,206.04,207.17,206.04,206.27,719
2015-01-29,206.27,207.17,205.81,205.81,375
2015-02-01,205.81,203.78,203.1,203.78,246
2015-02-02,203.78,206.04,203.78,206.04,1883
2015-02-03,206.04,211.25,206.49,209.89,989
2015-02-04,209.89,220.76,208.76,219.62,1802
2015-02-05,219.62,219.62,212.61,217.59,555
2015-02-08,217.59,213.96,210.34,211.7,562
2015-02-09,211.7,212.83,209.66,212.83,454
2015-02-10,212.83,213.96,211.02,213.96,1278
2015-02-11,213.96,216.0,211.7,212.83,1091
2015-02-12,212.83,214.64,211.93,214.64,689
2015-02-15,214.64,228.0,215.1,228.0,2738
2015-02-16,228.0,244.3,228.68,238.87,1621
2015-02-19,238.87,240.0,231.4,238.87,5379
2015-02-22,238.87,242.95,224.15,228.0,352
2015-02-23,228.0,240.0,220.53,240.0,2947
2015-02-24,240.0,260.61,224.61,260.61,3661
2015-02-25,260.61,256.08,240.0,247.93,7160
2015-02-26,247.93,245.66,245.66,245.66,30
2015-03-01,250.19,248.61,238.87,248.61,175
2015-03-02,248.61,250.19,237.74,244.53,4138
2015-03-03,244.53,248.61,242.27,242.27,2318
2015-03-04,242.27,245.21,240.23,240.68,840
2015-03-09,240.68,247.02,243.63,243.63,447
2015-03-10,243.63,243.63,233.66,237.74,171
2015-03-11,237.74,238.87,234.12,238.19,485
2015-03-12,238.19,236.15,232.08,234.34,464
2015-03-15,234.34,236.61,230.49,234.34,942
2015-03-16,234.34,235.47,224.15,224.15,350
2015-03-17,224.15,231.17,227.55,230.72,1003
2015-03-18,230.72,230.95,225.51,230.95,411
