timestamp,open,high,low,close,volume
2023-08-28,142.74,150.42,142.41,146.62,402504
2023-08-29,148.24,148.24,144.92,145.49,67426
2023-08-30,145.33,150.99,145.33,149.69,164989
2023-09-03,152.53,152.53,147.43,149.69,109626
2023-09-04,149.61,149.78,147.35,149.13,106927
2023-09-05,148.08,151.56,146.46,151.56,109337
2023-09-07,148.89,151.31,147.51,148.89,50946
2023-09-10,147.43,151.23,147.43,150.18,77644
2023-09-11,150.91,153.74,148.4,152.36,120957
2023-09-12,152.12,157.62,150.26,157.62,86438
2023-09-13,154.55,157.3,153.9,156.17,185280
2023-09-17,159.24,159.24,149.69,152.12,119719
2023-09-18,149.21,151.31,148.08,150.34,15843
2023-09-19,150.5,153.74,148.97,151.96,48520
2023-09-21,152.93,156.17,152.12,153.74,188333
2023-09-24,156.73,157.62,152.28,156.17,114561
2023-09-25,157.95,157.95,152.12,153.09,65925
2023-09-26,153.74,155.12,150.91,152.53,89724
2023-09-27,154.55,155.36,150.5,153.66,81053
2023-10-01,153.74,153.74,148.48,150.34,62912
2023-10-02,149.69,152.93,148.56,151.39,63673
2023-10-03,148.89,151.31,148.89,150.58,30862
2023-10-04,149.69,152.04,149.69,151.23,41074
2023-10-05,150.58,151.64,149.53,149.69,76657
2023-10-08,148.89,150.5,146.54,146.54,76174
2023-10-09,145.81,152.36,145.81,147.27,43796
2023-10-10,145.73,147.27,145.65,145.65,46954
2023-10-11,146.46,147.91,145.97,147.27,42517
2023-10-12,146.46,148.48,146.05,147.02,73275
2023-10-16,145.73,146.46,144.84,145.49,34974
2023-10-17,145.65,147.27,144.84,146.46,21047
2023-10-18,147.27,152.12,146.13,149.29,15818
2023-10-19,150.5,151.31,146.38,148.08,13356
2023-10-29,147.27,147.27,145.0,147.27,24680
2023-10-30,144.84,148.0,144.84,146.78,16440
2023-10-31,145.0,148.89,145.0,145.97,10749
2023-11-01,146.46,147.19,145.65,146.46,31606
2023-11-02,146.46,146.46,145.41,145.49,24610
2023-11-05,144.03,144.84,142.57,142.82,89123
2023-11-06,142.82,144.03,141.6,142.41,53508
2023-11-07,141.68,142.82,140.79,140.79,17380
2023-11-08,140.07,140.79,139.98,139.98,18290
2023-11-09,139.26,144.44,139.26,142.33,16602
2023-11-20,143.95,145.73,141.68,142.01,19678
2023-11-21,142.01,144.03,139.74,141.6,26409
2023-11-22,139.26,142.74,139.26,142.01,25255
2023-11-23,140.15,143.63,140.15,142.01,13447
2023-11-26,139.58,150.5,139.58,149.69,56254
2023-11-27,148.08,149.69,144.44,147.43,18386
2023-11-28,144.52,149.69,141.68,148.8,30258
2023-11-29,148.8,148.89,145.65,147.19,15928
2023-11-30,146.46,147.67,143.71,143.71,24594
2023-12-03,141.93,144.84,141.85,144.84,27169
2023-12-04,144.03,144.84,142.65,143.22,15845
2023-12-05,141.6,144.03,141.6,144.03,9493
2023-12-06,142.41,144.44,142.41,142.82,5697
2023-12-07,142.9,146.46,141.93,143.3,17178
2023-12-10,143.22,149.69,143.22,149.69,565
2023-12-11,150.1,150.5,144.03,148.89,117629
2023-12-12,148.24,155.03,148.16,154.95,148120
2023-12-13,156.9,160.21,154.55,157.54,415154
2023-12-14,157.79,159.4,154.55,156.17,83971
2023-12-17,153.09,156.17,150.5,155.2,96886
2023-12-18,158.27,161.83,156.25,161.67,476836
2023-12-19,164.26,166.69,159.57,165.07,250778
2023-12-20,166.04,167.66,165.07,165.88,129858
2023-12-21,168.31,168.31,161.1,161.83,170428
2023-12-24,161.02,161.91,159.0,159.08,76205
2023-12-27,157.79,160.86,156.98,157.54,68271
2023-12-28,157.79,158.51,155.2,156.33,78764
2024-01-01,155.36,157.87,155.36,156.01,120570
2024-01-02,154.14,156.17,153.42,154.14,93584
2024-01-03,154.14,157.38,154.14,157.22,93441
2024-01-04,154.11,156.71,152.55,153.25,70541
2024-01-07,152.38,153.25,147.19,147.19,84360
2024-01-08,148.92,150.13,146.23,147.19,64503
2024-01-09,148.92,150.3,147.19,150.3,61217
2024-01-10,147.36,155.41,147.36,150.65,31998
2024-01-11,150.39,153.59,149.44,150.22,22177
2024-01-14,151.52,152.12,149.44,150.74,24133
2024-01-16,151.52,156.19,150.65,153.33,63063
2024-01-17,154.11,156.8,152.03,152.38,102563
2024-01-18,151.17,152.81,148.14,150.22,77290
2024-01-21,147.36,149.26,146.49,147.62,68558
2024-01-22,147.19,148.92,146.58,147.19,28571
2024-01-23,147.19,148.83,147.19,147.53,38558
2024-01-24,148.92,148.92,146.49,147.01,27241
2024-01-25,148.48,151.43,146.06,146.06,63299
2024-01-28,148.05,151.0,146.15,146.15,25082
2024-01-29,145.45,148.05,145.45,147.1,20162
2024-01-30,147.19,147.19,145.89,146.32,76418
2024-01-31,149.18,150.13,144.76,145.45,49143
2024-02-01,144.59,147.1,144.59,145.02,45369
2024-02-04,143.72,146.32,143.72,144.5,44650
2024-02-05,145.45,145.45,143.29,144.59,46188
2024-02-06,145.45,145.45,143.72,143.81,25585
2024-02-07,146.67,146.67,143.38,143.55,43163
2024-02-08,143.29,145.37,142.86,145.02,83554
2024-02-11,146.32,147.19,144.59,144.59,46023
2024-02-12,141.73,147.36,141.73,144.16,19583
2024-02-13,144.16,144.59,142.6,142.77,26983
2024-02-14,142.77,144.59,141.99,141.99,29859
2024-02-15,141.99,142.77,140.09,141.82,34027
2024-02-18,141.13,141.99,138.53,139.39,79692
2024-02-20,141.47,141.47,137.23,138.35,30815
2024-02-21,138.53,141.04,138.44,139.13,19150
2024-02-22,136.8,141.13,136.8,137.66,48780
2024-02-25,138.53,139.31,136.36,136.8,16123
2024-02-26,137.58,138.53,136.02,137.66,17843
2024-02-27,137.66,139.31,136.45,138.53,63348
2024-02-28,136.1,138.79,136.1,137.66,7700
2024-02-29,139.31,139.39,136.8,136.88,57766
2024-03-03,135.93,138.53,135.93,137.66,47890
2024-03-04,139.65,146.32,139.65,146.32,7662
2024-03-05,143.81,145.45,138.61,141.04,51273
2024-03-06,143.81,143.81,138.53,140.17,54162
2024-03-07,138.53,142.86,138.53,141.13,110503
2024-03-10,142.86,142.86,140.35,140.35,38069
2024-03-12,140.35,143.38,140.35,143.38,45451
2024-03-13,146.15,146.58,142.86,143.9,45742
2024-03-14,146.75,146.75,141.13,144.24,92378
2024-03-17,141.39,145.45,141.39,142.86,64208
2024-03-18,141.99,144.59,140.35,143.64,31417
2024-03-19,144.59,144.59,140.95,140.95,18437
2024-03-20,141.13,142.86,139.48,140.26,28382
2024-03-21,138.61,140.26,138.61,139.83,34621
2024-03-25,138.53,139.39,137.49,137.49,25144
2024-03-26,137.66,138.53,136.36,138.53,25939
2024-03-27,138.53,140.26,136.8,136.8,27390
2024-03-28,136.8,145.97,135.93,138.53,34077
2024-03-31,139.39,139.39,136.62,138.53,37329
2024-04-01,136.1,136.8,135.84,135.93,44858
2024-04-02,138.61,138.61,135.06,135.76,20541
2024-04-03,134.29,136.8,133.77,134.63,76632
2024-04-04,134.29,135.06,132.99,132.99,41147
2024-04-07,132.47,133.33,129.87,132.47,80734
2024-04-09,133.77,134.37,131.34,132.64,35484
2024-04-10,132.47,134.55,131.77,131.77,64615
2024-04-14,133.68,133.68,130.74,132.29,64956
2024-04-15,134.2,134.2,129.87,130.65,41865
2024-04-16,132.81,132.81,129.0,129.87,35532
2024-04-18,132.29,132.29,129.09,130.65,193160
2024-04-21,131.6,131.6,128.05,129.87,115866
2024-04-22,131.6,131.6,128.14,128.74,88133
2024-04-24,127.27,129.18,126.41,129.0,171328
2024-04-25,129.0,130.65,127.27,128.14,123175
2024-04-28,128.14,130.65,125.63,129.0,189465
2024-04-29,131.52,131.52,125.54,128.83,91888
2024-04-30,131.34,131.34,126.32,129.26,40473
2024-05-02,131.77,131.77,127.27,127.45,37629
2024-05-05,127.27,129.0,126.49,127.01,33271
2024-05-06,128.14,128.14,125.45,126.84,42484
2024-05-07,126.41,127.97,125.54,125.71,28786
2024-05-08,125.54,126.41,125.02,125.45,35908
2024-05-09,125.54,126.58,124.33,126.58,39228
2024-05-12,129.09,129.09,124.5,126.84,60782
2024-05-13,125.54,139.48,124.94,133.25,108247
2024-05-14,131.6,135.84,129.87,135.84,110289
2024-05-15,136.71,136.71,131.77,133.33,63913
2024-05-16,135.93,141.73,132.47,135.93,98545
2024-05-19,138.61,142.77,135.93,140.26,190155
2024-05-20,142.25,150.13,140.26,144.33,212691
2024-05-21,142.86,147.36,142.86,145.89,86232
2024-05-22,145.89,153.25,143.9,148.92,229648
2024-05-26,148.92,151.43,145.97,147.19,146968
2024-05-27,148.05,148.83,141.99,145.89,126339
2024-05-29,148.05,148.74,141.21,141.56,113464
2024-05-30,141.99,144.33,135.84,136.8,142419
2024-06-02,139.39,143.46,137.92,141.13,73570
2024-06-03,142.42,142.86,138.18,142.86,145466
2024-06-04,142.86,142.86,140.26,141.21,90305
2024-06-05,141.13,141.99,138.53,140.78,218223
2024-06-06,142.16,142.16,135.93,138.87,135211
2024-06-09,141.65,141.65,135.41,135.5,48563
2024-06-10,138.18,138.18,134.2,135.93,38341
