timestamp,open,high,low,close,volume
2012-09-20,46.64,48.58,47.03,48.58,50
2012-09-23,48.58,50.7,48.96,50.7,424
2012-09-24,50.7,53.02,51.09,53.02,680
2012-09-25,53.02,55.73,52.44,53.22,23525
2012-09-26,53.22,53.22,51.67,52.06,7492
2012-09-27,52.06,52.64,51.86,52.64,4606
2012-09-30,52.64,52.64,51.86,52.64,6767
2012-10-01,52.64,53.02,52.44,53.02,6043
2012-10-02,53.02,53.02,52.64,53.02,2251
2012-10-03,53.02,53.8,52.83,53.6,8229
2012-10-04,53.6,53.8,53.22,53.8,6753
2012-10-07,53.8,54.96,53.6,54.18,7385
2012-10-08,54.18,56.7,53.99,56.12,16611
2012-10-09,56.12,55.92,55.54,55.73,3600
2012-10-10,55.73,56.12,54.76,54.96,9473
2012-10-11,54.96,55.92,54.96,55.73,13811
2012-10-14,55.73,58.05,55.15,58.05,11944
2012-10-15,58.05,58.82,57.08,58.44,10712
2012-10-17,58.44,61.34,58.05,61.14,9818
2012-10-18,61.14,63.08,61.14,63.08,13045
2012-10-30,63.08,65.4,61.92,64.82,9489
2012-10-31,64.82,66.17,63.66,65.01,8134
2012-11-01,65.01,65.01,63.27,63.66,6371
2012-11-04,63.66,64.04,62.69,63.66,12667
2012-11-05,63.66,65.98,63.08,63.66,9272
2012-11-06,63.66,63.66,62.88,63.08,1627
2012-11-07,63.08,64.04,62.69,63.27,10139
2012-11-08,63.27,65.59,62.3,63.85,16030
2012-11-11,63.85,64.24,61.92,62.5,6706
2012-11-12,62.5,64.43,61.72,64.43,14935
2012-11-18,64.43,65.01,62.69,63.66,15326
2012-11-20,63.66,65.59,63.27,63.66,14402
2012-11-21,63.66,64.82,62.69,63.46,10222
2012-11-22,63.46,63.46,62.69,63.27,3370
2012-11-25,63.27,65.01,62.88,64.04,12425
2012-11-26,64.04,64.43,61.92,63.66,59238
2012-11-27,63.66,64.04,62.69,63.66,6415
2012-11-28,63.66,64.04,62.69,63.46,7881
2012-11-29,63.46,64.04,61.92,62.69,4349
2012-12-02,62.69,63.27,62.3,62.69,2423
2012-12-03,62.69,63.85,62.3,62.3,521
2012-12-04,62.3,63.46,61.92,62.88,14709
2012-12-05,62.88,64.62,62.88,64.43,16471
2012-12-06,64.43,64.04,62.69,63.08,12374
2012-12-09,63.08,63.08,62.5,62.69,4503
2012-12-10,62.69,63.27,61.72,63.08,2402
2012-12-11,63.08,63.27,62.69,62.88,2159
2012-12-13,62.88,64.04,63.46,63.46,3927
2012-12-16,63.46,65.2,63.46,64.43,7142
2012-12-17,64.43,65.78,64.04,64.82,44520
2012-12-18,64.82,64.24,63.27,64.24,5219
2012-12-19,64.24,64.62,63.85,64.62,14291
2012-12-20,64.62,68.49,63.85,68.49,74290
2012-12-23,68.49,72.74,69.26,72.74,38587
2012-12-24,72.74,77.0,73.52,75.06,51895
2012-12-26,75.06,76.22,71.58,73.52,28397
2012-12-27,73.52,73.52,72.16,72.36,18373
2012-12-31,72.36,72.16,69.26,71.0,16759
2013-01-01,71.0,71.39,69.46,70.42,12473
2013-01-02,70.42,71.2,68.49,70.04,11972
2013-01-03,70.04,71.58,70.42,70.62,7399
2013-01-06,70.62,72.16,69.26,72.16,20490
2013-01-07,72.16,71.39,68.88,69.65,11976
2013-01-08,69.65,69.46,68.49,68.49,10191
2013-01-09,68.49,70.04,68.49,69.26,12510
2013-01-10,69.26,69.07,68.3,68.3,8641
2013-01-13,68.3,70.81,68.1,69.84,6180
2013-01-15,69.84,72.94,70.62,71.97,26316
2013-01-16,71.97,72.55,71.39,72.16,11977
2013-01-17,72.16,71.58,70.81,70.81,8790
2013-01-20,70.81,70.04,68.3,69.07,8339
2013-01-21,69.07,71.39,69.84,70.81,7955
2013-01-22,70.81,70.62,69.84,70.23,6577
2013-01-23,70.23,71.2,69.46,70.04,9579
2013-01-24,70.04,70.04,69.26,69.46,4052
2013-01-27,69.46,69.65,68.68,68.88,4591
2013-01-28,68.88,69.65,68.88,69.65,2460
2013-01-30,69.65,69.65,69.07,69.65,17956
2013-01-31,69.65,69.65,68.88,69.26,5570
2013-02-03,69.26,71.0,69.65,70.62,9347
2013-02-04,70.62,70.62,69.65,70.04,8707
2013-02-05,70.04,70.62,70.04,70.42,7847
2013-02-06,70.42,70.04,68.1,69.26,13550
2013-02-07,69.26,69.46,68.68,69.07,2513
2013-02-10,69.07,69.65,68.49,69.46,6429
2013-02-12,69.46,71.97,70.04,71.97,10762
2013-02-13,71.97,71.2,70.23,70.62,9787
2013-02-14,70.62,71.39,70.81,70.81,1525
2013-02-17,70.81,75.26,71.58,75.26,7190
2013-02-19,75.26,78.16,72.94,73.71,22307
2013-02-20,73.71,72.94,70.62,71.39,12320
2013-02-21,71.39,73.71,72.16,72.94,7282
2013-02-24,72.94,72.55,71.2,72.55,6022
2013-02-25,72.55,74.1,72.16,73.13,11959
2013-02-26,73.13,73.71,72.36,72.74,6306
2013-02-27,72.74,72.36,71.2,71.39,2924
