timestamp,open,high,low,close,volume
2012-01-09,14.59,14.52,14.52,14.52,300
2012-01-11,14.52,14.45,14.38,14.38,360
2012-01-12,14.38,14.31,14.24,14.24,330
2012-01-16,14.24,14.17,14.11,14.11,230
2012-01-17,14.11,14.31,14.17,14.31,270
2012-01-18,14.24,14.17,14.17,14.17,80
2012-01-22,14.17,14.38,14.24,14.31,550
2012-01-23,14.31,14.38,14.38,14.38,20
2012-01-25,14.38,14.45,14.38,14.45,200
2012-01-26,14.45,14.52,14.45,14.45,160
2012-01-29,14.45,14.65,14.52,14.65,140
2012-01-31,14.65,14.65,14.52,14.65,170
2012-02-01,14.65,14.65,14.59,14.65,230
2012-02-02,14.65,14.72,14.59,14.72,550
2012-02-05,14.72,14.86,14.72,14.86,580
2012-02-06,14.86,14.79,14.79,14.79,170
2012-02-07,14.79,14.86,14.79,14.79,280
2012-02-08,14.79,14.86,14.72,14.72,250
2012-02-09,14.72,14.79,14.79,14.79,20
2012-02-12,14.79,14.86,14.72,14.72,340
2012-02-13,14.72,14.86,14.79,14.79,670
2012-02-14,14.79,14.93,14.86,14.93,80
2012-02-15,14.93,14.93,14.72,14.72,540
2012-02-16,14.72,14.86,14.79,14.86,440
2012-02-21,14.86,14.86,14.79,14.86,320
2012-02-26,14.86,14.86,14.72,14.72,200
2012-02-27,14.72,14.86,14.72,14.79,660
2012-02-28,14.79,14.79,14.65,14.65,960
2012-02-29,14.65,14.65,14.65,14.65,240
2012-03-01,14.65,14.72,14.72,14.72,120
2012-03-04,14.72,14.79,14.72,14.79,200
2012-03-05,14.79,14.86,14.79,14.79,100
2012-03-06,14.79,14.86,14.79,14.86,60
2012-03-11,14.86,15.13,15.0,15.0,120
2012-03-12,15.0,15.13,15.13,15.13,20
2012-03-13,15.13,15.13,15.13,15.13,40
2012-03-14,15.13,15.0,15.0,15.0,140
2012-03-15,15.0,14.86,14.86,14.86,140
2012-03-18,14.86,14.79,14.72,14.72,460
2012-03-27,14.72,14.65,14.52,14.52,110
2012-03-28,14.52,14.52,14.45,14.45,290
2012-03-29,14.45,14.65,14.52,14.59,160
2012-04-01,14.59,14.52,14.52,14.52,50
2012-04-02,14.52,14.52,14.52,14.52,140
2012-04-03,14.52,14.45,14.45,14.45,60
2012-04-04,14.45,14.52,14.45,14.45,210
2012-04-08,14.45,14.52,14.45,14.52,220
2012-04-11,14.52,14.52,14.45,14.52,40
2012-04-17,14.52,14.59,14.59,14.59,80
2012-04-19,14.59,14.65,14.65,14.65,60
2012-04-30,14.65,15.27,14.72,15.27,100
2012-05-02,15.27,15.82,15.41,15.68,570
2012-05-03,15.68,15.82,15.82,15.82,30
2012-05-07,15.82,16.37,15.95,16.37,40
2012-05-08,16.37,16.5,16.5,16.5,30
2012-05-09,16.5,16.64,16.37,16.64,430
2012-05-10,16.64,17.05,16.64,17.05,960
2012-05-13,17.05,17.32,16.78,17.19,870
2012-05-15,17.19,17.32,17.32,17.32,20
2012-05-17,17.32,17.6,17.46,17.46,600
2012-05-20,17.46,17.6,17.46,17.46,600
2012-05-21,17.46,18.01,17.32,18.01,560
2012-05-22,18.01,18.28,18.15,18.28,20
2012-05-27,18.28,18.08,18.08,18.08,50
2012-06-11,18.08,17.94,17.12,17.12,660
2012-06-12,17.12,16.98,16.23,16.23,970
2012-06-13,16.23,16.23,16.09,16.23,1090
2012-06-14,16.23,16.09,15.89,15.95,460
2012-06-17,15.95,16.09,15.89,15.89,260
2012-06-18,15.89,16.23,15.82,16.23,420
2012-06-19,16.23,16.3,16.23,16.3,210
2012-06-20,16.3,16.23,16.23,16.23,180
2012-06-21,16.23,16.09,16.09,16.09,60
2012-06-25,16.09,16.09,15.95,15.95,60
2012-06-26,15.95,16.02,16.02,16.02,40
2012-06-27,16.02,16.16,15.89,16.16,100
2012-06-28,16.16,16.3,16.23,16.23,60
2012-07-01,16.23,16.23,16.09,16.23,280
2012-07-02,16.23,16.09,16.09,16.09,80
2012-07-03,16.09,16.23,16.09,16.09,260
2012-07-05,16.09,16.37,16.23,16.37,30
2012-07-09,16.37,16.37,16.23,16.37,160
2012-07-10,16.37,16.37,16.23,16.23,160
2012-07-12,16.23,16.43,16.16,16.16,320
2012-07-15,16.16,16.02,16.02,16.02,20
2012-07-16,16.02,16.02,15.95,16.02,120
2012-07-17,16.02,15.95,15.95,15.95,30
2012-07-18,15.95,16.23,16.09,16.23,220
2012-07-19,16.23,16.37,16.23,16.37,80
2012-07-22,16.37,16.37,16.23,16.3,290
2012-07-23,16.3,16.43,16.3,16.43,550
2012-07-24,16.43,16.5,16.3,16.3,690
2012-07-25,16.3,16.5,16.37,16.37,150
2012-07-26,16.37,16.37,16.23,16.37,140
2012-07-30,16.37,16.5,16.23,16.5,180
2012-07-31,16.5,16.37,16.37,16.37,80
2012-08-01,16.37,16.5,16.5,16.5,40
2012-08-05,16.5,16.43,16.43,16.43,100
2012-08-06,16.43,16.3,16.3,16.3,80
2012-08-07,16.3,16.64,16.43,16.64,150
2012-08-08,16.64,16.78,16.64,16.71,100
2012-08-12,16.71,16.91,16.64,16.91,310
2012-08-13,16.91,17.26,17.05,17.12,1030
2012-08-14,17.12,17.19,17.12,17.12,270
2012-08-15,17.12,16.98,16.98,16.98,40
2012-08-16,16.98,17.12,16.98,17.05,260
2012-08-19,17.05,17.19,17.05,17.05,50
2012-08-21,17.05,16.91,16.5,16.57,620
2012-08-22,16.57,16.64,16.3,16.5,2390
