timestamp,open,high,low,close,volume
2023-09-25,222.0,244.2,199.8,225.0,139185
2023-09-26,225.0,247.5,220.5,247.5,62839
2023-09-27,252.4,272.2,252.4,272.0,46297
2023-10-01,270.0,270.0,244.8,244.8,53436
2023-10-02,240.0,240.0,225.1,232.0,73085
2023-10-03,228.0,245.0,227.5,233.0,50026
2023-10-04,230.0,241.0,230.0,234.0,23887
2023-10-05,232.0,234.0,228.1,231.0,20058
2023-10-08,226.9,227.7,219.0,221.0,36803
2023-10-09,218.0,228.5,215.1,221.1,29630
2023-10-10,219.0,225.0,217.1,221.0,31543
2023-10-11,217.5,227.0,217.2,224.4,23622
2023-10-12,220.0,223.0,215.2,217.9,19981
2023-10-16,214.0,224.0,204.0,207.2,27787
2023-10-17,204.0,214.0,202.0,204.0,15790
2023-10-18,201.1,210.0,201.1,207.0,8589
2023-10-19,204.2,209.2,201.0,201.8,15772
2023-10-29,198.0,201.9,193.0,194.0,17340
2023-10-30,193.0,199.9,190.3,199.0,13572
2023-10-31,195.1,195.8,192.0,195.0,7120
2023-11-01,192.0,197.0,191.0,194.8,7495
2023-11-02,191.0,192.0,184.0,186.0,10813
2023-11-05,184.0,186.0,182.6,184.0,10675
2023-11-06,186.0,193.9,183.1,191.7,10575
2023-11-07,190.1,197.0,187.2,194.9,6590
2023-11-08,192.0,195.8,188.5,194.0,12885
2023-11-09,192.0,194.0,188.0,190.0,11530
2023-11-20,191.0,195.0,187.0,187.3,7208
2023-11-21,187.0,187.0,178.0,180.0,7616
2023-11-22,176.5,193.8,175.0,193.3,18628
2023-11-23,189.5,203.0,185.9,201.5,19022
2023-11-26,198.0,210.0,195.0,204.6,25307
2023-11-27,201.0,207.0,197.0,199.0,25439
2023-11-28,200.0,213.2,198.0,209.0,17176
2023-11-29,209.0,213.0,200.9,200.9,38005
2023-11-30,200.0,204.0,191.7,196.0,14706
2023-12-03,195.0,204.0,192.4,202.5,32493
2023-12-04,199.1,212.1,199.1,208.0,29146
2023-12-05,205.2,209.0,199.0,199.6,13131
2023-12-06,197.1,205.0,197.1,203.9,10953
2023-12-07,199.9,216.4,199.9,210.0,26063
2023-12-10,214.0,222.0,211.6,220.0,4700
2023-12-11,221.0,223.0,210.0,216.0,32962
2023-12-12,220.3,237.6,212.3,237.1,102867
2023-12-13,237.9,253.9,232.0,240.0,63187
2023-12-14,240.0,260.0,233.0,250.5,54694
2023-12-17,245.5,273.6,236.1,273.6,57698
2023-12-18,274.0,279.0,250.0,263.1,89134
2023-12-19,257.9,270.0,248.2,266.0,63387
2023-12-20,271.3,271.3,255.0,265.9,55329
2023-12-21,261.0,261.0,252.0,253.5,31728
2023-12-24,250.0,266.2,246.0,246.0,49397
2023-12-27,246.0,270.6,246.0,270.6,118529
2023-12-28,276.0,297.6,276.0,297.6,99132
2024-01-01,303.5,315.5,275.0,278.0,111911
2024-01-02,272.5,299.8,267.8,284.2,63134
2024-01-03,289.0,306.0,285.0,306.0,69180
2024-01-04,306.0,315.7,294.1,299.0,58207
2024-01-07,302.0,304.0,285.0,287.9,43733
2024-01-08,285.0,302.7,280.0,299.9,57747
2024-01-09,296.2,305.9,284.0,287.7,67801
2024-01-10,285.0,292.0,282.0,285.0,24523
2024-01-11,282.4,313.5,282.4,312.3,81998
2024-01-14,307.3,333.5,307.3,324.0,66577
2024-01-16,326.0,334.6,318.0,320.0,58820
2024-01-17,320.0,320.0,290.0,297.0,80462
2024-01-18,291.1,319.0,286.5,305.0,39152
2024-01-21,299.0,315.0,299.0,313.9,47645
2024-01-22,307.7,307.7,292.5,300.0,32511
2024-01-23,294.0,298.0,288.3,297.0,22033
2024-01-24,302.9,302.9,287.0,291.0,16449
2024-01-25,293.0,296.0,280.3,289.6,22221
2024-01-28,284.4,296.8,284.4,294.3,15880
2024-01-29,300.0,305.0,294.1,303.0,41843
2024-01-30,298.0,309.0,298.0,305.2,27835
2024-01-31,305.2,311.2,278.0,299.0,38390
2024-02-01,294.0,294.0,283.5,287.0,27844
2024-02-04,281.3,288.0,275.8,280.2,17025
2024-02-05,285.0,287.0,281.1,283.1,8243
2024-02-06,280.0,295.0,280.0,290.8,15896
2024-02-07,290.0,301.0,290.0,300.0,31661
2024-02-08,294.0,318.0,294.0,310.0,72881
2024-02-11,304.3,328.0,304.3,309.1,42987
2024-02-12,308.0,321.3,306.0,320.0,43035
2024-02-13,315.0,334.4,307.1,318.0,85138
2024-02-14,318.0,328.0,313.1,316.0,46672
2024-02-15,310.1,338.0,310.1,330.0,108789
2024-02-18,324.0,330.0,313.2,313.5,47139
2024-02-20,308.5,315.0,308.0,310.2,37235
2024-02-21,306.3,316.0,301.5,310.0,22500
2024-02-22,303.9,316.0,288.4,296.0,48555
2024-02-25,296.0,301.0,285.1,285.1,22159
2024-02-26,284.9,295.0,282.5,293.0,18168
2024-02-27,290.0,300.0,289.3,299.5,9939
2024-02-28,301.0,302.9,290.1,297.1,11414
2024-02-29,292.0,292.5,275.0,280.0,34847
2024-03-03,275.1,287.0,275.1,284.0,8495
2024-03-04,289.0,312.4,289.0,312.0,8930
2024-03-05,315.0,315.0,286.0,294.7,41234
2024-03-06,290.0,305.8,284.5,298.0,30939
2024-03-07,297.1,305.0,297.0,299.0,26603
2024-03-10,300.0,315.0,297.1,301.5,18432
2024-03-12,307.5,307.5,298.0,301.1,19126
2024-03-13,300.0,306.0,299.0,301.0,25793
2024-03-14,296.1,306.1,296.0,297.8,21695
2024-03-17,295.0,309.0,292.0,294.0,12332
2024-03-18,288.7,302.0,288.7,298.1,13142
2024-03-19,304.0,304.0,295.0,300.0,12868
2024-03-20,302.0,303.0,294.0,294.3,15972
2024-03-21,290.0,295.0,286.5,288.0,22598
2024-03-25,287.0,288.0,283.5,284.0,6733
2024-03-26,284.0,306.0,284.0,289.3,15065
2024-03-27,288.1,297.8,288.1,295.0,9414
2024-03-28,292.0,307.9,290.0,302.0,28333
2024-03-31,300.0,324.0,300.0,316.3,104141
2024-04-01,322.0,334.5,315.1,329.4,127918
2024-04-02,334.0,339.6,310.1,312.0,45927
2024-04-03,318.0,318.0,305.8,308.4,23192
2024-04-04,313.0,313.0,300.6,303.5,49308
2024-04-07,303.5,314.0,302.9,312.0,23771
2024-04-09,310.0,325.0,310.0,314.0,50649
2024-04-10,314.0,324.0,314.0,317.5,56886
2024-04-14,322.9,337.0,314.1,332.0,98276
2024-04-15,328.0,335.0,317.2,329.0,73847
2024-04-16,325.5,332.0,316.1,320.0,35705
2024-04-18,318.5,321.0,312.0,314.9,31348
2024-04-21,317.5,324.0,308.0,323.0,26068
2024-04-22,323.0,328.9,310.7,311.0,24858
2024-04-24,315.0,319.2,307.0,315.0,24046
2024-04-25,308.7,319.2,302.6,305.0,22907
2024-04-28,300.0,317.0,300.0,315.9,23039
2024-04-29,322.2,322.2,307.0,309.0,18903
2024-04-30,315.0,318.8,307.3,314.0,37904
2024-05-02,313.1,320.9,308.0,313.9,24181
2024-05-05,308.0,315.0,304.1,305.2,20129
2024-05-06,300.1,313.1,300.0,304.0,10745
2024-05-07,300.2,307.3,300.2,304.0,12031
2024-05-08,300.1,306.1,299.0,300.0,21493
2024-05-09,294.0,308.0,294.0,303.0,28585
2024-05-12,303.0,310.0,300.0,305.0,24849
2024-05-13,299.1,309.9,299.1,302.0,13761
2024-05-14,296.0,314.9,296.0,311.0,23571
2024-05-15,305.0,318.2,305.0,308.0,17414
2024-05-16,301.9,315.0,301.9,307.8,21433
2024-05-19,307.8,313.0,301.5,309.0,17586
2024-05-20,303.1,318.9,303.1,312.0,31326
2024-05-21,317.0,324.0,311.1,321.8,38468
2024-05-22,318.0,327.0,312.4,319.9,35521
2024-05-26,316.1,319.0,309.0,311.0,19061
2024-05-27,312.0,318.0,308.0,315.0,17890
2024-05-29,316.0,339.6,310.0,314.6,89969
