timestamp,open,high,low,close,volume
2020-12-16,260.11,285.82,260.11,285.82,53050
2020-12-17,299.43,313.8,299.43,313.8,82221
2020-12-20,328.92,328.92,282.8,286.58,78494
2020-12-21,281.29,294.9,259.36,292.63,60950
2020-12-22,287.33,287.33,279.77,287.33,32646
2020-12-23,287.33,292.63,275.99,282.04,16780
2020-12-24,275.99,310.02,275.99,295.65,53120
2020-12-27,300.19,309.26,292.63,292.63,72682
2020-12-28,287.33,301.7,286.58,296.41,13200
2020-12-29,310.02,310.02,288.85,291.87,20180
2020-12-30,287.33,297.16,287.33,297.16,11930
2020-12-31,291.87,294.9,288.09,289.6,10550
2021-01-03,287.33,293.38,285.82,286.58,12200
2021-01-04,285.82,291.12,282.8,285.07,11910
2021-01-05,280.53,309.26,280.53,289.6,12881
2021-01-06,289.6,294.9,287.33,289.6,11846
2021-01-07,284.31,291.12,281.29,288.85,8342
2021-01-10,284.31,288.85,283.55,285.82,8420
2021-01-11,286.58,295.65,283.55,288.85,22075
2021-01-12,285.07,289.6,282.8,285.82,11793
2021-01-13,284.31,291.12,284.31,290.36,9015
2021-01-17,286.58,306.24,286.58,299.43,24735
2021-01-18,313.8,313.8,298.68,303.21,18495
2021-01-19,297.16,306.24,297.16,302.46,18151
2021-01-20,298.68,308.51,296.41,300.19,9485
2021-01-21,305.48,329.68,299.43,329.68,40405
2021-01-24,317.58,362.19,317.58,362.19,31823
2021-01-25,362.19,397.73,348.58,397.73,47755
2021-01-26,397.73,406.81,383.36,396.98,26215
2021-01-27,377.32,412.1,377.32,406.05,25862
2021-01-28,425.71,425.71,393.95,402.27,14435
2021-01-31,402.27,404.54,388.66,404.54,21790
2021-02-01,397.73,444.61,393.95,444.61,29582
2021-02-02,453.69,488.47,437.05,488.47,37690
2021-02-03,512.67,534.59,473.35,490.74,34106
2021-02-04,481.66,531.57,464.27,511.15,34561
2021-02-07,502.84,548.96,496.03,524.76,25785
2021-02-08,517.96,530.06,499.05,510.4,24905
2021-02-09,534.59,534.59,480.15,483.93,22132
2021-02-10,511.91,511.91,470.32,483.93,26200
2021-02-11,474.86,483.93,467.3,468.81,15428
2021-02-14,465.03,476.37,456.71,463.52,20260
2021-02-15,461.25,491.49,461.25,486.2,40120
2021-02-16,486.2,491.49,474.1,491.49,28501
2021-02-17,481.66,489.98,475.61,480.15,34932
2021-02-18,476.37,498.3,476.37,491.49,21616
2021-02-21,499.81,506.62,479.4,491.49,40535
2021-02-22,499.05,501.32,481.66,489.22,18510
2021-02-23,480.15,489.22,480.15,487.71,17585
2021-02-24,487.71,495.27,480.15,488.47,20264
2021-02-25,491.49,491.49,480.91,486.2,13120
2021-02-28,477.88,478.64,465.03,470.32,14411
2021-03-01,462.76,480.15,453.69,472.59,14902
2021-03-02,496.03,496.03,466.54,467.3,8426
2021-03-03,459.74,485.44,459.74,471.83,16220
2021-03-04,471.83,488.47,471.83,486.2,12160
2021-03-08,480.15,486.2,480.15,481.66,7910
2021-03-09,472.59,484.69,472.59,483.93,14810
2021-03-10,480.15,501.32,477.13,496.79,13721
2021-03-14,479.4,536.86,479.4,526.28,44120
2021-03-15,551.98,551.98,507.37,514.93,25060
2021-03-16,506.62,524.01,504.35,508.13,8842
2021-03-17,498.3,517.96,489.22,504.35,7630
2021-03-18,494.52,512.67,494.52,509.64,6386
2021-03-21,499.81,522.5,476.37,514.18,21793
2021-03-22,514.18,521.74,494.52,517.96,12700
2021-03-23,492.25,541.4,492.25,540.64,43777
2021-03-24,540.64,548.2,526.28,533.08,18923
2021-03-25,551.98,555.77,514.18,527.03,10760
2021-03-29,521.74,527.03,511.91,516.45,13610
2021-03-30,514.18,534.59,498.3,521.74,5594
2021-03-31,514.18,525.52,514.18,520.98,7189
2021-04-01,511.15,530.81,511.15,530.81,17943
2021-04-04,530.06,534.59,521.74,532.33,9256
2021-04-05,533.08,542.91,522.5,535.35,11655
2021-04-06,529.3,558.03,526.28,539.89,14289
2021-04-07,530.81,567.11,530.81,549.72,22025
2021-04-08,544.42,559.55,539.13,553.5,10213
2021-04-12,552.74,604.91,551.98,573.16,25653
2021-04-13,577.69,629.87,577.69,629.87,45712
2021-04-15,660.87,668.43,608.7,619.28,40059
2021-04-18,620.04,620.04,597.35,607.94,29998
2021-04-19,595.84,607.94,582.99,591.3,13642
2021-04-20,591.3,606.43,574.67,597.35,11927
2021-04-21,586.01,608.7,579.21,588.28,11935
2021-04-22,576.94,586.01,575.43,584.5,10350
2021-04-25,582.23,582.23,553.5,558.79,18366
2021-04-26,531.57,573.91,531.57,551.98,13105
2021-04-27,542.16,582.23,542.16,582.23,9220
2021-04-28,570.89,593.57,548.96,583.74,6769
2021-04-29,574.67,603.4,573.16,597.35,8804
2021-05-02,586.01,612.48,576.18,608.7,16014
2021-05-03,608.7,612.48,591.3,599.62,16942
2021-05-04,610.21,610.21,588.28,598.87,6540
2021-05-05,590.55,598.87,588.28,589.79,7210
2021-05-06,589.79,595.84,574.67,574.67,9309
2021-05-09,578.45,624.57,567.11,587.52,30693
2021-05-10,587.52,603.4,576.94,601.89,5919
2021-05-11,613.23,613.99,601.89,610.96,12944
2021-05-12,611.72,653.31,608.7,638.94,33795
2021-05-13,642.72,655.58,627.6,635.16,24444
2021-05-16,642.72,659.36,623.82,627.6,25792
2021-05-17,626.09,643.48,620.79,631.38,20835
2021-05-18,638.94,663.14,631.38,644.99,27370
2021-05-19,657.09,657.09,622.31,635.16,25322
2021-05-20,627.6,635.16,617.01,623.06,21914
2021-05-23,610.96,632.89,610.96,627.6,12830
2021-05-24,627.6,632.89,616.26,618.53,12269
2021-05-25,610.21,625.33,610.21,612.48,10215
2021-05-27,604.91,650.28,604.16,634.4,36891
2021-05-30,631.38,641.97,604.91,610.21,26738
2021-05-31,608.7,620.04,595.84,597.35,30437
2021-06-01,587.52,599.62,582.23,589.79,24965
2021-06-02,589.79,626.84,578.45,619.28,19008
2021-06-03,631.38,631.38,600.38,601.89,18901
2021-06-06,590.55,597.35,586.01,590.55,6435
2021-06-07,597.35,604.91,590.55,595.84,20385
2021-06-08,586.77,609.45,586.77,598.87,12447
2021-06-09,587.52,604.91,587.52,594.33,6139
2021-06-10,589.79,653.31,582.99,653.31,96143
2021-06-13,685.82,718.34,685.82,718.34,17664
2021-06-14,753.88,790.17,699.43,725.14,81217
2021-06-15,760.68,775.8,731.19,736.48,79578
2021-06-16,722.12,733.46,663.89,706.99,51201
2021-06-17,693.38,709.26,679.77,682.8,16795
2021-06-20,680.53,691.12,639.7,661.63,30764
2021-06-21,648.77,686.58,635.92,646.5,25140
2021-06-22,635.16,702.46,635.16,670.7,11837
2021-06-23,657.84,676.75,642.72,650.28,10960
2021-06-24,638.94,679.77,637.43,651.04,12090
2021-06-27,638.94,672.97,638.94,660.11,12282
2021-06-28,647.26,662.38,638.94,647.26,9045
2021-06-29,637.43,671.46,635.92,637.43,6893
2021-06-30,642.72,646.5,623.82,631.38,15060
2021-07-01,642.72,656.33,623.82,631.38,7561
2021-07-04,621.55,631.38,620.79,631.38,1774
2021-07-05,626.09,633.65,616.26,624.57,1640
2021-07-06,612.48,657.09,612.48,657.09,12311
2021-07-07,657.09,657.09,621.55,640.45,5865
2021-07-08,631.38,646.5,625.33,646.5,19999
2021-07-11,646.5,669.19,643.48,660.87,13015
2021-07-12,648.77,666.92,641.97,660.11,14943
2021-07-13,647.26,664.65,642.72,657.09,6690
2021-07-14,669.19,669.19,644.23,659.36,4345
2021-07-15,646.5,673.72,644.99,672.97,18108
2021-07-18,660.87,699.43,660.87,695.65,21870
2021-07-19,709.26,710.78,684.01,702.46,29255
2021-07-20,703.21,728.17,691.87,718.34,41571
2021-07-22,719.24,747.83,709.26,744.05,36976
2021-07-25,733.46,756.14,725.9,747.83,30898
2021-07-26,755.39,756.07,725.9,741.02,14942
2021-07-27,748.58,770.51,726.65,744.8,19418
2021-07-28,759.7,806.05,737.24,748.51,16239
2021-07-29,738.75,744.8,728.17,733.61,11406
2021-08-01,721.36,741.02,721.36,737.24,12949
2021-08-02,735.73,751.98,726.65,737.24,24890
2021-08-03,751.98,751.98,729.68,748.58,13563
2021-08-04,752.36,761.44,737.24,744.8,25246
2021-08-05,755.39,755.39,722.12,729.68,12866
2021-08-08,715.31,758.41,715.31,733.46,15800
2021-08-09,748.13,778.83,723.02,775.05,43092
2021-08-10,763.71,852.17,759.92,852.17,85263
2021-08-11,843.86,937.39,843.1,877.13,78191
2021-08-12,877.13,964.84,894.52,964.84,99432
2021-08-15,945.94,1022.31,873.35,1022.31,57818
2021-08-16,1020.79,1020.79,926.28,967.86,43504
2021-08-17,950.47,1064.65,950.47,1064.65,71755
2021-08-18,1047.26,1150.09,1047.26,1150.09,53488
2021-08-19,1127.11,1127.11,1063.89,1074.48,21471
2021-08-24,1053.01,1058.6,981.17,982.99,47405
2021-08-25,963.33,1058.6,945.18,1058.6,106520
2021-08-26,1037.43,1156.9,1017.01,1156.9,80872
2021-08-29,1133.76,1133.76,1069.19,1118.34,22735
2021-08-31,1096.03,1096.03,1015.5,1054.06,40471
2021-09-01,1033.04,1058.6,992.82,1005.67,16427
2021-09-02,1005.67,1074.48,966.35,967.86,23098
2021-09-05,979.21,1025.33,907.37,975.12,37460
