timestamp,open,high,low,close,volume
2026-08-12,309.0,345.0,309.0,345.0,150
2026-08-13,365.9,396.7,365.9,396.7,220
2026-08-14,412.0,456.2,412.0,456.2,220
2026-08-17,456.2,524.6,456.2,524.6,460
2026-08-18,540.3,603.2,540.3,603.2,970
2026-08-19,651.9,693.6,651.9,693.6,2880
2026-08-20,750.0,797.6,750.0,797.6,28980
2026-08-21,837.4,855.0,752.0,774.0,130560
2026-08-24,760.0,760.0,704.1,713.9,76385
2026-08-25,695.1,731.0,681.5,699.0,42665
2026-08-26,686.0,692.0,661.2,666.0,34433
2026-08-27,661.5,681.5,645.1,675.0,28463
2026-08-31,666.3,666.3,620.1,630.0,34393
2026-09-01,616.0,637.9,601.1,611.9,32574
2026-09-02,595.0,630.0,595.0,620.0,18518
2026-09-03,611.1,660.0,611.1,660.0,24744
