timestamp,open,high,low,close,volume
2023-05-16,335.0,335.0,301.5,301.5,19161
2023-05-17,295.5,295.5,271.4,277.6,62750
2023-05-18,276.0,302.7,274.0,290.5,18197
2023-05-21,286.0,291.5,280.4,282.0,18536
2023-05-22,277.0,285.0,275.3,280.0,11239
2023-05-23,280.0,292.5,279.0,290.0,22386
2023-05-24,290.0,290.0,281.0,286.0,14243
2023-05-28,282.1,300.0,282.1,289.0,31924
2023-05-30,283.3,294.0,280.0,280.0,13559
2023-05-31,274.5,298.0,274.5,298.0,21106
2023-06-01,293.0,294.0,278.0,286.1,8660
2023-06-04,281.0,302.0,281.0,298.8,23880
2023-06-05,295.0,301.0,290.0,297.0,13685
2023-06-06,291.1,307.0,286.6,301.0,16342
2023-06-07,300.0,315.0,299.0,302.0,22039
2023-06-08,300.0,312.0,296.2,301.5,23283
2023-06-11,300.0,309.0,300.0,308.0,29780
2023-06-12,308.0,316.0,304.0,311.0,21326
2023-06-13,316.9,322.3,305.1,318.9,35067
2023-06-14,318.9,328.4,308.0,321.9,24239
2023-06-15,315.6,321.8,307.1,311.0,14323
2023-06-18,310.0,321.0,309.0,315.9,14045
2023-06-19,310.0,318.2,306.0,306.0,16070
2023-06-20,302.0,310.0,296.1,300.0,8614
2023-06-21,296.0,312.0,288.0,288.0,30703
2023-06-22,282.3,293.6,282.3,289.8,13803
2023-06-25,289.7,306.0,281.0,304.0,25280
2023-06-26,301.0,315.9,301.0,314.0,28071
2023-06-27,317.29,317.29,302.5,315.0,28615
2023-06-28,309.0,312.2,300.0,312.2,32403
2023-07-02,306.0,306.0,296.0,305.0,11702
2023-07-03,299.8,299.8,292.0,296.0,11590
2023-07-04,301.9,301.9,285.6,289.9,7290
2023-07-05,294.9,294.9,282.3,282.3,5650
2023-07-06,282.0,287.9,277.0,280.0,7850
2023-07-09,275.0,294.7,270.1,277.4,6625
2023-07-10,282.9,282.9,272.2,276.0,6594
2023-07-11,271.0,276.4,268.1,274.0,3535
2023-07-12,269.1,289.8,269.0,287.0,15456
2023-07-13,290.0,294.0,282.4,285.4,16341
2023-07-16,281.0,286.6,276.0,276.1,5695
2023-07-17,271.4,287.5,271.4,287.5,7159
2023-07-18,287.5,290.9,282.1,290.9,5850
2023-07-19,285.1,295.9,281.0,294.9,9153
2023-07-20,295.0,298.8,284.0,294.0,10589
2023-07-23,288.3,305.0,283.6,302.7,11456
2023-07-24,297.0,301.9,292.1,299.0,5711
2023-07-25,294.0,299.6,286.0,294.0,6870
2023-07-26,288.2,294.0,285.0,293.9,8199
2023-07-27,288.3,288.3,279.4,279.5,2625
2023-07-30,276.2,285.0,276.0,280.0,5196
2023-07-31,282.0,285.6,276.0,283.0,6040
2023-08-01,278.2,285.0,266.7,274.0,8040
2023-08-02,275.0,279.0,265.7,272.0,2290
2023-08-03,277.4,277.4,266.6,270.0,3950
2023-08-06,264.8,268.0,256.6,268.0,7930
2023-08-07,265.0,273.0,253.0,265.0,3974
2023-08-08,259.7,260.0,252.4,252.5,4941
2023-08-09,250.0,269.9,243.6,269.9,6185
2023-08-10,264.6,276.2,260.1,274.6,6258
2023-08-13,269.5,270.0,261.0,270.0,7700
2023-08-14,264.6,275.4,259.6,275.4,11102
2023-08-15,269.9,271.0,260.0,261.0,11135
2023-08-16,255.9,258.0,251.2,257.0,3940
2023-08-17,255.0,265.0,250.0,254.0,4403
2023-08-20,253.0,259.0,244.5,252.0,3244
2023-08-21,255.0,262.1,236.1,246.1,4689
2023-08-22,251.0,269.9,237.3,268.0,7650
2023-08-23,262.7,269.9,251.2,264.0,2680
2023-08-24,269.0,269.0,245.3,253.0,6511
2023-08-27,250.0,250.0,239.1,246.9,3700
2023-08-28,242.0,251.8,234.0,251.8,2201
2023-08-29,247.0,247.0,236.5,245.0,3260
2023-08-30,249.8,249.8,239.2,240.0,1545
2023-09-03,240.0,242.9,228.3,231.0,5630
2023-09-04,230.0,241.0,227.0,235.0,12869
2023-09-05,237.0,239.7,227.5,231.5,3180
2023-09-07,230.0,231.5,224.0,229.5,6456
2023-09-10,225.1,233.0,225.1,233.0,1930
2023-09-11,228.4,248.0,224.7,248.0,4080
2023-09-12,252.0,252.0,236.0,248.0,6605
2023-09-13,243.1,260.0,236.2,260.0,3780
2023-09-17,256.0,256.0,240.1,245.0,3900
2023-09-18,240.1,249.8,237.6,243.0,2010
2023-09-19,247.8,256.0,229.3,255.0,8530
2023-09-21,260.0,275.4,255.0,273.0,17307
2023-09-24,267.6,268.0,252.3,263.0,8350
2023-09-25,257.8,289.3,255.0,289.3,33923
2023-09-26,288.0,300.9,283.2,288.2,25642
2023-09-27,282.5,286.0,273.6,280.0,25040
2023-10-01,274.4,274.4,258.2,265.0,12940
2023-10-02,259.7,275.0,255.4,268.9,10633
2023-10-03,263.6,278.4,258.4,269.9,13518
2023-10-04,265.0,278.9,264.6,271.0,11834
2023-10-05,265.6,284.0,265.6,270.0,11575
2023-10-08,265.1,267.0,255.0,260.0,11081
2023-10-09,255.0,265.0,245.2,253.0,12362
2023-10-10,248.1,254.0,245.1,248.0,4710
2023-10-11,244.0,257.0,244.0,251.0,6650
2023-10-12,246.1,250.0,246.0,246.1,8680
2023-10-16,242.0,251.0,239.1,245.9,4840
2023-10-17,250.8,250.8,242.3,246.0,8751
2023-10-18,243.0,254.0,243.0,254.0,3648
2023-10-19,249.0,250.5,244.4,245.0,2600
2023-10-29,240.1,244.6,230.0,244.6,6730
2023-10-30,240.0,242.1,230.5,242.1,1880
2023-10-31,237.3,237.3,232.6,237.0,3355
