timestamp,open,high,low,close,volume
2022-04-24,377.33,408.89,377.33,400.49,121340
2022-04-25,404.22,413.55,386.02,393.95,87921
2022-04-26,400.49,401.33,386.11,389.28,50647
2022-04-27,385.27,396.75,385.27,394.88,60214
2022-04-28,397.22,401.05,388.35,388.54,73549
2022-05-02,386.48,390.12,376.21,379.11,53912
2022-05-04,381.81,382.19,368.75,370.61,61830
2022-05-05,370.61,373.41,359.41,360.34,77028
2022-05-08,360.34,378.08,354.74,370.61,31442
2022-05-09,374.35,384.24,367.06,367.06,69171
2022-05-10,369.68,379.95,367.25,378.08,67926
2022-05-11,385.55,392.08,378.08,392.08,78118
2022-05-12,393.95,398.62,387.42,388.35,84695
2022-05-17,382.84,382.84,370.61,372.95,56993
2022-05-18,368.75,382.75,365.76,378.08,37451
2022-05-19,385.64,385.64,369.68,369.77,49183
2022-05-20,377.05,377.15,365.94,367.06,27893
2022-05-23,372.48,372.48,360.34,361.28,39531
2022-05-24,365.85,372.48,359.41,367.81,24283
2022-05-25,375.09,376.21,366.88,371.55,31953
2022-05-26,375.28,376.21,368.0,368.75,16462
2022-05-27,372.48,373.41,363.7,365.94,34096
2022-05-30,364.08,364.26,354.74,354.84,71169
2022-05-31,353.81,361.28,348.21,349.14,50899
2022-06-01,354.74,359.41,349.61,352.88,16130
2022-06-02,356.61,359.41,350.17,351.01,18705
2022-06-03,351.01,354.65,345.59,347.27,40403
2022-06-06,351.94,356.98,344.94,346.53,25858
2022-06-07,346.34,352.78,337.1,339.81,31943
2022-06-08,340.74,358.48,339.62,354.74,39639
2022-06-09,358.48,359.41,345.41,346.34,39187
2022-06-10,346.34,347.55,340.74,342.23,16659
2022-06-13,343.54,348.21,337.94,340.74,13662
2022-06-14,338.87,342.61,328.7,334.2,32933
2022-06-15,329.54,334.2,324.03,328.6,54884
2022-06-16,324.96,340.74,324.96,329.44,24339
2022-06-17,331.4,334.2,326.74,331.22,9528
2022-06-19,331.22,331.22,317.4,317.4,36933
2022-06-20,314.6,314.6,299.66,303.4,59010
2022-06-21,303.4,320.2,303.4,312.92,22751
2022-06-22,316.47,316.47,304.61,306.2,18120
2022-06-23,303.4,303.4,290.14,295.0,30327
2022-06-24,289.68,311.8,284.91,302.46,22786
2022-06-26,308.07,332.71,308.07,331.4,77256
2022-06-27,338.03,342.61,317.4,317.4,73378
2022-06-28,311.89,322.07,306.2,318.33,43485
2022-06-29,322.07,332.34,312.73,330.47,39257
2022-06-30,335.14,351.94,329.54,349.14,77446
2022-07-01,351.94,356.05,340.74,344.47,39309
2022-07-03,340.83,358.48,337.01,358.48,51611
2022-07-04,360.34,373.13,341.67,348.21,116346
2022-07-05,341.67,359.41,336.07,336.07,82397
2022-07-06,338.87,347.27,325.8,345.41,55006
2022-07-07,352.32,362.21,339.81,343.54,50580
2022-07-08,343.54,343.54,331.22,331.4,24440
2022-07-11,331.4,331.4,309.93,312.73,103161
2022-07-12,318.99,323.84,308.07,319.27,46710
2022-07-13,322.07,341.67,319.27,341.67,50525
2022-07-14,345.41,354.65,337.94,349.14,61999
2022-07-15,352.78,353.9,339.81,352.88,40772
2022-07-17,352.88,359.41,346.34,353.81,33891
2022-07-18,354.74,359.41,350.07,356.61,18538
2022-07-19,362.21,365.85,354.65,359.41,65324
2022-07-20,362.21,365.01,354.74,363.14,64578
2022-07-21,359.41,365.94,359.41,359.6,23713
2022-07-22,358.48,358.48,347.46,348.3,35888
2022-07-24,354.74,368.75,345.41,365.94,64007
2022-07-25,372.48,394.98,368.75,391.15,122350
2022-07-26,392.08,398.53,376.21,377.24,109405
2022-07-27,371.55,387.42,368.75,383.68,92227
2022-07-28,387.42,402.26,378.08,391.99,121840
2022-07-29,394.88,413.55,376.59,408.89,140962
2022-07-31,414.49,416.36,405.15,408.79,168003
2022-08-01,410.75,410.75,397.68,399.55,83916
2022-08-02,407.49,407.49,388.44,401.42,99673
2022-08-03,401.42,407.95,394.32,394.32,62694
2022-08-04,394.88,398.15,387.88,388.16,117727
2022-08-05,381.81,391.15,377.15,378.17,81874
2022-08-07,385.74,389.28,377.15,387.14,96426
2022-08-08,392.08,396.75,375.19,379.01,98886
