timestamp,open,high,low,close,volume
2012-01-01,29.28,29.48,29.35,29.35,1820
2012-01-02,29.35,29.48,29.22,29.41,450
2012-01-03,29.41,29.61,29.32,29.51,950
2012-01-04,29.51,29.48,29.41,29.48,1590
2012-01-05,29.48,29.55,29.51,29.55,940
2012-01-08,29.55,29.58,29.45,29.58,990
2012-01-09,29.58,29.74,29.58,29.68,970
2012-01-10,29.68,29.81,29.68,29.81,700
2012-01-11,29.81,29.94,29.71,29.94,1000
2012-01-12,29.94,29.97,29.81,29.84,1700
2012-01-16,29.84,29.84,29.78,29.78,1100
2012-01-17,29.78,29.74,29.68,29.71,1310
2012-01-18,29.84,29.81,29.81,29.81,530
2012-01-18,29.71,29.84,29.71,29.84,1200
2012-01-22,29.81,29.81,29.78,29.78,1000
2012-01-23,29.78,29.71,29.61,29.71,580
2012-01-25,29.71,29.64,29.61,29.64,140
2012-01-26,29.64,29.81,29.64,29.71,300
2012-01-29,29.71,29.97,29.81,29.91,1610
2012-01-31,29.91,30.01,29.87,29.87,1390
2012-02-01,29.87,29.97,29.87,29.94,60
2012-02-02,29.94,29.97,29.87,29.97,620
2012-02-05,29.97,29.97,29.81,29.97,430
2012-02-06,29.97,29.97,29.81,29.84,810
2012-02-07,29.84,29.91,29.84,29.84,510
2012-02-08,29.84,29.97,29.87,29.87,2320
2012-02-09,29.87,29.91,29.81,29.87,560
2012-02-12,29.87,29.84,29.84,29.84,390
2012-02-13,29.84,30.1,29.81,29.87,290
2012-02-14,29.87,29.81,29.78,29.78,250
2012-02-15,29.78,29.87,29.58,29.87,850
2012-02-16,29.87,29.81,29.78,29.81,730
2012-02-21,29.81,29.94,29.78,29.94,1940
2012-02-23,29.94,30.01,29.81,29.81,800
2012-02-26,29.81,29.87,29.78,29.87,100
2012-02-27,29.87,29.84,29.81,29.84,1150
2012-02-28,29.84,29.84,29.81,29.84,60
2012-02-29,29.84,30.04,29.94,30.04,40
2012-03-01,30.04,29.97,29.87,29.87,230
2012-03-05,29.87,29.97,29.91,29.91,340
2012-03-06,29.91,30.17,29.84,30.17,300
2012-03-11,30.17,30.27,29.97,29.97,620
2012-03-12,29.97,29.94,29.87,29.94,30
2012-03-13,29.94,30.14,29.97,30.14,490
2012-03-14,30.14,30.23,30.04,30.1,1550
2012-03-15,30.1,30.2,30.1,30.14,1260
2012-03-18,30.14,30.17,30.07,30.14,370
2012-03-19,30.14,30.23,30.14,30.14,60
2012-03-20,30.14,30.1,30.04,30.07,280
2012-03-21,30.07,30.17,29.81,30.17,1130
2012-03-25,30.17,30.07,29.87,30.01,860
2012-03-26,30.01,30.07,30.04,30.07,190
2012-03-27,30.07,30.1,30.1,30.1,270
2012-03-28,30.1,30.14,30.14,30.14,100
2012-03-29,30.14,30.04,30.04,30.04,120
2012-04-01,30.04,30.07,29.97,30.07,290
2012-04-02,30.07,30.17,30.1,30.17,1430
2012-04-03,30.17,30.2,30.14,30.14,1350
2012-04-04,30.14,30.33,30.14,30.14,1290
2012-04-05,30.14,30.1,30.07,30.1,80
2012-04-08,30.1,30.3,30.14,30.3,700
2012-04-09,30.3,30.5,30.3,30.43,850
2012-04-10,30.43,30.63,30.33,30.43,1490
2012-04-11,30.43,30.92,30.53,30.92,1160
2012-04-12,30.92,31.12,30.6,30.82,2510
2012-04-15,30.82,31.12,30.92,31.02,180
2012-04-16,31.02,31.12,31.12,31.12,1310
2012-04-17,31.12,31.51,30.99,30.99,2780
2012-04-18,30.99,31.58,30.89,31.45,2130
2012-04-19,31.45,31.84,31.41,31.41,2070
2012-04-22,31.41,32.07,31.55,32.07,300
2012-04-24,32.07,32.79,32.2,32.79,320
2012-04-25,32.79,33.45,32.96,33.45,170
2012-04-26,33.45,34.1,33.61,34.1,1810
2012-04-29,34.1,34.63,33.71,33.71,3240
2012-04-30,33.71,33.55,32.82,33.41,2230
2012-05-02,33.41,33.25,33.25,33.25,20
2012-05-03,33.25,33.74,33.41,33.74,1160
2012-05-07,33.74,33.91,33.91,33.91,30
2012-05-08,33.91,33.87,33.71,33.71,2330
2012-05-09,33.71,33.64,33.32,33.48,2450
2012-05-10,33.48,33.32,32.69,32.92,3370
2012-05-13,32.92,32.96,32.43,32.46,430
2012-05-14,32.46,32.33,32.07,32.2,150
2012-05-15,32.2,32.73,32.33,32.73,450
2012-05-16,32.73,33.35,32.86,33.35,880
2012-05-17,33.35,34.0,33.51,34.0,1340
2012-05-20,34.0,33.84,33.09,33.09,1330
