timestamp,open,high,low,close,volume
2023-10-12,260.87,286.96,260.87,286.96,14178
2023-10-16,292.7,315.65,258.26,260.96,52207
2023-10-17,255.83,273.91,255.83,265.3,18476
2023-10-18,260.87,290.0,260.87,290.0,7823
2023-10-19,284.35,285.57,273.91,278.26,11866
2023-10-29,272.7,274.87,267.04,268.17,12158
2023-10-30,265.22,279.83,260.0,276.52,11557
2023-10-31,271.48,281.74,271.48,281.74,7370
2023-11-01,276.61,286.09,276.52,282.61,9290
2023-11-02,277.39,280.87,274.78,275.48,4440
2023-11-05,270.43,274.78,267.04,274.78,2000
2023-11-06,269.3,283.48,269.3,283.48,6766
2023-11-07,286.96,286.96,276.78,278.87,8533
2023-11-08,274.09,292.17,274.09,291.3,13354
2023-11-09,295.65,295.65,280.09,283.57,3680
2023-11-20,278.26,293.04,278.26,286.96,6868
2023-11-21,281.83,292.7,281.57,288.52,9730
2023-11-22,282.78,298.26,277.13,298.26,4150
2023-11-23,292.35,307.83,282.7,306.96,7041
2023-11-26,300.87,326.09,294.87,326.09,10751
2023-11-27,319.57,332.17,312.17,329.83,14845
2023-11-28,329.83,343.04,307.48,314.17,14462
2023-11-29,314.17,311.3,295.65,310.43,10227
2023-11-30,306.96,308.7,297.39,308.61,2796
2023-12-03,308.7,308.7,297.39,299.22,4270
2023-12-04,293.48,310.43,293.48,304.26,5885
2023-12-05,298.26,300.0,294.78,297.39,2860
2023-12-06,292.17,295.65,292.17,292.78,2510
2023-12-07,288.0,307.39,288.0,299.13,5330
2023-12-10,304.35,321.74,304.35,321.74,2230
2023-12-11,328.17,328.17,303.48,316.61,27060
2023-12-12,318.26,339.13,305.3,332.17,22129
2023-12-13,330.43,336.52,317.48,325.13,19821
2023-12-14,322.61,357.57,320.0,357.57,46523
2023-12-17,350.43,379.13,339.22,355.65,25470
2023-12-18,362.7,391.22,356.52,386.09,51612
2023-12-19,382.61,424.7,382.61,424.7,16147
2023-12-20,416.52,467.13,404.43,467.13,37328
2023-12-21,476.43,513.83,473.91,510.43,34980
2023-12-24,520.61,561.48,464.35,503.48,37227
2023-12-27,493.48,493.48,453.13,478.26,37104
2023-12-28,468.7,486.96,430.43,453.04,27772
2024-01-01,462.09,477.83,435.65,460.87,12985
2024-01-02,452.17,452.17,434.35,440.87,5827
2024-01-03,449.57,481.74,433.91,444.43,17189
2024-01-04,447.83,470.43,440.87,440.87,11620
2024-01-07,432.17,459.48,432.17,435.83,6514
2024-01-08,434.78,452.17,428.0,443.48,14257
2024-01-09,452.17,478.26,430.43,453.74,30693
2024-01-10,445.22,453.74,438.09,443.48,3100
2024-01-11,436.52,487.83,436.52,487.83,42995
2024-01-14,497.57,507.48,468.78,489.65,14941
2024-01-16,483.48,494.78,465.3,470.43,11748
2024-01-17,461.04,478.26,444.43,444.43,9982
2024-01-18,435.57,452.87,435.57,443.57,8329
2024-01-21,452.17,487.91,439.13,486.96,13125
2024-01-22,478.26,534.78,458.35,533.04,42579
2024-01-23,522.43,522.43,493.91,500.0,5516
2024-01-24,500.0,550.0,496.7,550.0,41502
2024-01-25,550.0,604.96,547.91,598.35,32523
2024-01-28,610.26,658.17,563.48,658.17,38613
2024-01-29,671.3,723.91,619.91,723.91,16110
2024-01-30,709.48,709.48,651.57,663.48,36797
2024-01-31,650.43,660.0,613.04,660.0,22719
2024-02-01,646.87,646.87,609.74,614.61,7307
2024-02-04,610.43,620.87,600.0,602.61,5581
2024-02-05,608.7,610.43,589.57,608.61,9139
2024-02-06,600.0,616.52,584.61,595.65,7036
2024-02-07,584.43,612.0,584.35,599.13,11721
2024-02-08,609.57,621.57,588.78,604.35,8927
2024-02-11,608.7,654.0,604.35,629.57,21254
2024-02-12,639.13,639.13,609.3,609.57,21577
2024-02-13,621.74,659.65,608.7,611.3,10984
2024-02-14,600.96,621.74,595.65,608.61,7341
2024-02-15,596.52,610.7,586.96,597.39,5360
2024-02-18,585.57,597.39,573.91,573.91,7668
2024-02-20,562.61,585.22,562.61,580.87,6325
2024-02-21,569.57,591.3,558.35,569.13,6900
2024-02-22,565.22,569.57,543.48,555.65,5975
2024-02-25,544.61,569.57,533.91,536.61,2721
2024-02-26,527.13,556.52,520.0,555.65,9132
2024-02-27,555.65,565.22,528.61,565.22,1109
2024-02-28,553.91,553.91,535.65,535.65,4000
2024-02-29,534.78,535.65,526.96,526.96,1039
2024-03-03,518.26,526.09,506.17,513.91,2940
2024-03-04,524.17,545.22,524.17,545.22,30
2024-03-05,556.09,556.09,503.74,518.26,5876
2024-03-06,528.61,539.13,488.7,521.74,10914
2024-03-07,521.74,532.17,516.78,522.61,1572
2024-03-10,530.43,554.35,523.48,539.04,1836
2024-03-12,543.48,550.52,537.13,550.52,1762
2024-03-13,543.48,547.83,532.17,547.83,2390
2024-03-14,537.57,568.7,537.57,543.48,2806
2024-03-17,534.78,547.83,533.56,547.83,3843
2024-03-18,539.22,586.96,538.26,586.96,10321
2024-03-19,591.3,593.91,565.13,568.7,7294
2024-03-20,578.26,578.26,555.39,556.52,1920
2024-03-21,549.57,549.57,529.57,534.78,4564
2024-03-25,524.43,543.48,514.78,535.65,611
2024-03-26,526.09,572.09,521.74,537.39,2600
2024-03-27,547.83,569.57,536.52,545.22,2782
2024-03-28,534.96,560.87,534.96,554.78,1786
2024-03-31,544.35,556.17,536.17,546.96,1595
2024-04-01,536.09,557.83,536.09,538.96,1405
2024-04-02,534.87,537.48,528.78,530.43,640
2024-04-03,534.78,554.78,522.7,530.43,864
2024-04-04,524.35,534.61,524.35,526.26,1614
2024-04-07,526.35,530.43,526.09,526.17,1028
2024-04-09,536.52,546.96,526.96,531.3,1574
2024-04-10,524.35,564.52,524.35,535.65,3045
2024-04-14,526.09,567.65,526.09,567.65,7930
2024-04-15,573.91,601.3,547.83,601.3,9360
2024-04-16,601.39,601.39,560.96,572.17,3871
2024-04-18,560.87,560.87,540.0,545.22,800
2024-04-21,539.13,544.35,530.43,540.43,1048
2024-04-22,532.17,552.17,532.17,540.43,1362
2024-04-24,529.74,560.0,526.96,547.83,560
2024-04-25,539.13,558.26,531.3,547.83,1130
2024-04-28,543.48,552.17,543.48,551.74,1861
2024-04-29,541.74,547.83,532.96,547.83,1110
2024-04-30,539.13,556.52,539.13,553.91,1550
2024-05-02,542.87,563.48,530.52,545.22,2138
2024-05-05,534.78,537.83,526.96,537.83,940
2024-05-06,527.13,545.22,520.0,545.22,955
2024-05-07,534.35,544.35,527.57,538.26,563
2024-05-08,530.43,537.57,527.57,537.57,900
2024-05-09,527.04,548.26,516.52,537.39,1964
2024-05-12,527.13,542.09,527.13,542.09,1008
2024-05-13,540.87,562.61,530.43,536.61,2394
2024-05-14,534.78,563.48,534.78,547.91,2895
2024-05-15,558.87,558.87,540.0,540.87,2561
2024-05-16,551.65,556.52,540.7,556.52,1788
2024-05-19,556.52,573.83,547.83,564.35,3903
2024-05-20,574.78,610.7,567.83,592.17,12015
2024-05-21,604.0,628.26,580.0,584.35,4088
2024-05-22,579.13,591.3,547.04,588.87,1567
2024-05-26,577.13,588.61,545.65,560.87,14604
2024-05-27,549.65,592.17,549.65,556.52,2245
2024-05-29,566.96,612.17,550.43,578.26,10905
2024-05-30,579.13,607.83,556.52,568.7,8386
2024-06-02,565.22,573.91,557.48,573.91,4147
2024-06-03,575.65,575.65,560.87,565.22,2832
2024-06-04,560.87,565.22,547.83,565.22,4689
2024-06-05,554.0,564.35,552.17,556.52,1800
2024-06-06,555.74,612.17,550.43,612.17,6980
2024-06-09,600.0,600.0,576.52,584.52,7287
2024-06-10,578.35,642.96,555.48,609.13,37345
2024-06-11,609.13,620.87,560.26,608.7,32865
2024-06-12,613.04,669.57,587.83,669.57,25119
2024-06-13,682.61,682.61,602.61,602.61,33365
2024-06-16,604.35,606.09,586.09,586.09,10693
2024-06-18,578.26,595.65,578.26,579.3,6253
2024-06-19,569.57,587.13,569.57,569.57,5905
2024-06-20,580.96,591.91,566.96,569.57,3647
2024-06-23,565.22,602.61,565.22,581.74,2089
2024-06-24,581.74,600.0,581.74,586.09,5180
2024-06-25,578.26,597.39,578.26,592.17,3726
2024-06-26,591.3,597.22,561.74,566.96,7801
2024-06-27,571.74,582.61,569.57,578.26,5321
2024-06-30,573.91,580.87,556.52,560.87,5896
2024-07-01,560.87,569.57,560.87,562.61,3883
2024-07-02,573.83,607.83,566.96,578.26,4679
2024-07-03,567.83,581.39,567.83,574.87,6594
