timestamp,open,high,low,close,volume
2020-12-03,148.75,148.75,148.75,148.75,10
2020-12-06,150.0,150.0,150.0,150.0,8390
2020-12-07,151.5,157.5,151.5,157.5,50
2020-12-08,159.0,165.75,159.0,165.75,160
2020-12-09,167.5,174.75,167.5,174.75,60
2020-12-10,175.0,184.5,175.0,184.5,250
2020-12-13,186.5,195.25,186.5,195.25,5450
2020-12-14,197.5,207.25,197.5,207.25,670
2020-12-15,209.75,220.25,209.75,220.25,3440
2020-12-16,223.0,234.75,223.0,234.75,7501
2020-12-17,242.5,246.5,220.0,222.75,4695
2020-12-20,220.0,220.0,209.25,209.25,350
2020-12-21,206.75,206.75,196.0,196.0,5170
2020-12-22,193.75,193.75,184.0,184.0,615
2020-12-23,182.0,182.0,173.25,173.25,3463
2020-12-24,171.5,171.5,163.5,169.25,23660
2020-12-27,171.0,178.5,171.0,178.5,310
2020-12-28,180.5,188.75,180.5,188.75,1785
2020-12-29,191.0,200.0,191.0,200.0,9638
2020-12-30,202.5,205.0,187.5,187.5,5984
2020-12-31,185.5,187.5,183.25,183.25,1778
2021-01-03,183.25,187.5,172.5,185.25,20237
2021-01-04,187.25,196.25,183.75,194.0,2945
2021-01-05,196.25,205.75,196.25,205.75,6655
2021-01-06,208.25,218.75,208.25,218.75,265
2021-01-07,225.75,233.0,225.75,233.0,26188
2021-01-10,236.0,248.75,236.0,248.75,15905
2021-01-11,252.0,266.0,252.0,266.0,10813
2021-01-12,275.5,285.0,255.0,282.25,28984
2021-01-13,287.0,305.5,287.0,305.5,481
2021-01-17,310.5,331.0,310.5,331.0,7180
2021-01-18,336.5,359.0,336.5,359.0,5430
2021-01-19,365.0,389.5,365.0,389.5,29142
2021-01-20,396.0,423.0,396.0,423.0,10415
2021-01-21,441.5,441.5,386.0,398.0,11045
2021-01-24,398.0,398.0,363.5,363.5,6893
2021-01-25,348.0,394.5,332.5,380.0,12599
2021-01-26,385.0,393.5,368.5,374.0,4596
2021-01-27,377.5,377.5,362.5,370.0,6994
2021-01-28,375.0,387.5,370.0,370.0,2890
2021-01-31,386.0,402.0,370.0,388.5,12644
2021-02-01,394.5,395.0,381.5,388.5,3224
2021-02-02,395.0,395.0,378.5,380.5,1702
2021-02-03,374.5,376.0,362.5,366.0,5709
2021-02-04,381.5,381.5,362.5,372.5,2445
2021-02-07,366.5,372.5,362.5,363.5,4631
2021-02-08,362.5,362.5,358.0,359.0,4372
2021-02-09,353.5,359.0,352.5,353.5,3274
2021-02-10,355.0,359.0,348.0,353.0,4718
2021-02-11,347.0,352.5,346.5,349.5,3004
2021-02-14,347.5,347.5,334.0,340.0,2775
2021-02-15,345.5,368.5,334.0,355.5,5285
2021-02-16,357.5,357.5,349.5,351.5,1902
2021-02-17,357.5,358.0,345.0,351.0,2175
2021-02-18,351.0,361.0,345.0,346.5,1759
2021-02-21,345.0,353.5,343.0,353.5,880
2021-02-22,349.0,352.5,347.5,352.0,1719
2021-02-23,346.5,350.0,340.0,342.5,1200
2021-02-24,348.0,355.0,346.0,349.5,1385
2021-02-25,355.0,355.0,339.0,340.0,2166
2021-02-28,340.0,345.5,335.5,339.0,751
2021-03-01,340.0,354.0,335.0,345.5,1190
2021-03-02,341.5,341.5,331.0,337.5,1074
2021-03-03,340.0,340.0,322.5,325.0,2197
2021-03-04,325.0,330.5,325.0,327.5,1625
2021-03-08,333.0,333.0,322.0,324.5,776
2021-03-09,320.0,320.0,310.0,315.5,1235
2021-03-10,311.5,317.0,311.5,317.0,758
2021-03-14,320.0,320.0,300.5,301.5,1946
2021-03-15,301.0,306.5,297.0,306.5,1277
2021-03-16,311.0,316.0,311.0,314.0,1311
2021-03-17,309.0,313.5,309.0,312.5,218
2021-03-18,312.5,330.0,312.5,329.5,955
2021-03-21,329.5,334.5,319.0,329.0,1958
2021-03-22,325.0,325.0,318.5,322.5,1402
2021-03-23,327.5,335.5,317.5,320.0,1135
2021-03-24,320.0,325.0,319.5,319.5,316
2021-03-25,324.5,324.5,314.5,319.0,913
2021-03-29,314.0,320.5,311.0,316.0,495
2021-03-30,319.5,327.5,317.5,325.0,1746
2021-03-31,319.5,322.5,319.5,322.5,170
2021-04-01,327.5,327.5,318.5,325.0,2562
2021-04-04,320.0,320.0,317.5,318.0,213
2021-04-05,314.0,330.5,314.0,322.5,1780
2021-04-06,325.0,335.5,325.0,332.5,2615
2021-04-07,337.5,343.0,329.0,343.0,3140
2021-04-08,337.5,355.5,337.5,347.5,2265
2021-04-12,353.0,357.5,340.0,342.5,2144
2021-04-13,347.5,347.5,342.0,347.5,650
2021-04-15,342.5,351.5,338.0,347.5,1330
2021-04-18,346.0,346.0,338.0,338.5,408
2021-04-19,333.0,342.5,333.0,335.0,869
2021-04-20,335.0,346.0,331.5,346.0,1640
2021-04-21,340.5,349.5,330.5,335.0,2030
2021-04-22,330.0,346.0,330.0,337.0,1707
2021-04-25,331.5,331.5,309.0,313.5,24805
2021-04-26,309.0,309.0,295.0,300.0,17042
2021-04-27,295.0,313.0,295.0,306.5,11513
2021-04-28,306.5,326.5,306.5,319.0,9228
2021-04-29,320.0,320.5,304.5,315.0,11449
2021-05-02,310.0,312.5,305.0,312.0,7418
2021-05-03,308.0,330.0,308.0,312.5,4351
2021-05-04,310.0,312.5,309.0,311.0,2480
2021-05-05,308.5,311.5,308.0,309.5,2152
2021-05-06,307.5,315.0,305.5,315.0,10904
2021-05-09,314.0,314.5,306.0,308.0,40
2021-05-10,308.0,315.0,307.0,312.0,7017
2021-05-11,312.0,335.0,309.5,335.0,24143
2021-05-12,337.5,363.5,334.5,363.5,37347
2021-05-13,363.5,394.5,355.0,374.5,20390
2021-05-16,374.5,378.5,355.0,362.0,27665
2021-05-17,362.0,393.0,355.5,368.0,28291
2021-05-18,374.0,380.0,365.5,379.5,6108
2021-05-19,380.0,380.0,362.0,365.0,5285
2021-05-20,361.0,368.5,358.0,365.0,7236
2021-05-23,360.5,396.5,360.5,392.5,42750
2021-05-24,401.0,401.0,386.5,390.5,30402
2021-05-25,392.5,420.0,390.5,412.5,30589
2021-05-27,407.5,432.5,393.5,423.0,23630
2021-05-30,423.0,425.0,410.5,413.5,17160
2021-05-31,431.5,449.5,420.0,440.5,59257
2021-06-01,440.5,465.0,440.5,455.5,32471
2021-06-02,475.5,475.5,435.0,452.5,12941
2021-06-03,472.5,472.5,421.5,435.0,36472
2021-06-06,454.0,465.5,412.0,412.0,51728
2021-06-07,412.0,412.0,391.5,401.5,20332
2021-06-08,418.5,418.5,395.0,397.5,13098
2021-06-09,391.0,415.5,391.0,405.0,14764
2021-06-10,412.0,412.0,393.5,405.0,8497
2021-06-13,422.5,422.5,389.0,395.5,15779
2021-06-14,402.0,416.0,389.0,395.0,11014
2021-06-15,401.5,408.5,380.0,383.5,13057
2021-06-16,377.0,380.0,364.5,367.5,9932
2021-06-17,367.5,380.5,367.5,375.5,8962
2021-06-20,375.5,377.0,354.0,376.0,10515
2021-06-21,392.0,408.5,377.0,408.5,42362
2021-06-22,426.0,432.0,408.0,412.0,21054
2021-06-23,417.5,417.5,395.5,396.5,4877
2021-06-24,396.5,399.5,389.0,396.5,6379
2021-06-27,390.5,396.0,384.5,385.0,6567
2021-06-28,391.5,391.5,380.5,385.0,1339
2021-06-29,391.5,391.5,375.5,376.0,2249
2021-06-30,370.5,375.0,364.0,374.0,4390
2021-07-01,380.0,384.0,363.5,377.0,4000
2021-07-04,375.0,381.5,366.5,370.0,4484
2021-07-05,370.0,385.5,370.0,380.0,7503
2021-07-06,380.0,386.0,375.0,375.0,3518
2021-07-07,381.0,382.0,375.0,382.0,2614
2021-07-08,398.5,398.5,377.5,382.0,2893
2021-07-11,388.5,402.0,386.0,399.0,8949
2021-07-12,400.0,400.0,388.0,390.0,6753
2021-07-13,390.0,417.5,384.0,400.0,6946
2021-07-14,400.0,400.0,387.5,398.5,2118
2021-07-15,392.5,401.0,392.5,398.5,4570
2021-07-18,398.5,400.0,392.5,395.6,3595
2021-07-19,402.5,402.5,393.0,393.0,3847
