timestamp,open,high,low,close,volume
2018-08-23,229.58,229.58,229.58,229.58,10
2018-08-30,239.13,247.04,239.13,247.04,30
2018-09-03,251.32,251.32,251.32,251.32,10
2018-09-04,255.6,259.88,255.6,259.88,20
2018-09-09,264.16,264.16,264.16,264.16,10
2018-09-13,268.77,268.77,268.77,268.77,10
2018-09-16,273.39,273.39,273.39,273.39,10
2018-09-18,285.24,285.24,285.24,285.24,10
2018-09-25,290.18,295.13,290.18,295.13,20
2018-09-27,300.07,305.34,300.07,305.34,20
2018-09-30,310.61,310.61,310.61,310.61,10
2018-10-01,315.88,338.27,315.88,338.27,60
2018-10-02,344.2,368.58,344.2,368.58,110
2018-10-03,375.16,401.84,375.16,401.84,270
2018-10-04,409.09,438.74,409.09,438.74,120
2018-10-07,446.64,479.25,446.64,479.25,380
2018-10-08,488.14,523.72,488.14,523.72,2640
2018-10-09,533.27,572.79,533.27,540.84,24470
2018-10-10,540.18,540.18,523.72,524.7,5250
2018-10-11,515.15,522.4,507.25,521.41,3040
2018-10-14,523.72,543.48,523.72,543.48,3020
2018-10-15,544.14,556.65,533.6,545.13,3630
2018-10-21,535.24,540.18,535.24,537.55,1160
2018-10-22,536.89,543.48,536.56,537.88,1480
2018-10-23,536.89,537.88,524.04,525.69,3890
2018-10-24,525.69,530.3,520.42,522.73,2630
2018-10-25,516.47,530.3,516.47,522.07,1870
2018-10-28,523.72,527.01,513.83,513.83,2710
2018-10-29,504.28,513.83,501.65,510.54,1290
2018-10-30,510.54,515.48,502.64,508.89,1600
2018-10-31,502.96,508.89,502.96,505.93,770
2018-11-01,496.71,509.88,490.78,500.66,1110
2018-11-04,491.44,503.95,491.44,497.04,1500
2018-11-05,494.4,529.97,494.07,520.42,1120
2018-11-14,496.38,499.01,487.81,495.72,1080
2018-11-15,495.72,499.34,494.73,494.73,1380
2018-11-18,495.72,504.94,490.78,491.44,1430
2018-11-19,491.44,492.42,482.54,484.19,1060
2018-11-20,485.18,487.48,477.6,478.26,3450
2018-11-21,479.25,480.9,471.01,478.26,3550
2018-11-22,478.26,484.19,477.6,479.25,6155
2018-11-25,480.9,487.48,471.67,480.9,1105
2018-11-26,480.9,503.95,480.9,499.34,1620
2018-11-27,499.34,503.95,490.12,497.36,2446
2018-11-28,497.36,500.66,474.97,478.92,550
2018-11-29,478.92,478.92,471.01,471.67,880
2018-12-02,471.67,493.41,468.38,471.01,5075
2018-12-04,471.01,480.24,451.25,451.25,3240
2018-12-06,438.08,451.25,438.08,451.25,1300
2018-12-09,451.25,463.11,451.25,461.13,850
2018-12-10,461.13,487.48,461.13,478.26,1660
2018-12-11,478.26,480.9,471.67,472.99,1020
2018-12-12,472.99,474.31,464.43,474.31,190
2018-12-13,474.31,483.53,474.31,478.26,1146
2018-12-16,478.26,497.36,478.26,493.41,1550
2018-12-17,493.41,510.54,488.8,509.88,1770
2018-12-18,509.88,514.49,497.36,507.25,1700
2018-12-19,507.25,507.25,493.41,497.36,460
2018-12-20,497.36,512.52,488.8,495.39,1000
2018-12-23,495.39,525.03,495.39,510.54,1420
2018-12-24,510.54,513.83,500.66,501.98,640
2018-12-25,501.98,503.95,497.36,500.66,740
2018-12-26,500.66,520.42,494.07,520.42,2190
2018-12-27,520.42,543.48,508.56,508.56,3921
2018-12-30,508.56,533.6,508.56,521.74,1409
2018-12-31,521.74,521.74,515.15,517.13,1760
2019-01-01,517.13,520.42,507.25,515.15,500
2019-01-02,515.15,525.69,507.25,517.79,1814
2019-01-03,517.79,525.69,510.54,518.45,650
2019-01-06,518.45,527.01,510.54,523.72,1365
2019-01-07,523.72,523.72,514.49,523.72,310
2019-01-08,523.72,523.72,513.83,523.72,525
2019-01-09,523.72,527.67,523.72,525.69,1065
2019-01-10,525.69,530.3,518.45,524.37,520
2019-01-13,524.37,527.01,514.49,523.72,470
2019-01-14,523.72,527.01,518.45,527.01,420
2019-01-15,527.01,537.55,527.01,533.6,440
2019-01-16,533.6,536.89,527.67,527.67,820
2019-01-17,527.67,532.28,525.03,525.03,770
2019-01-20,525.03,527.01,507.91,521.08,310
2019-01-21,521.08,527.01,515.15,516.47,740
2019-01-22,516.47,523.72,507.25,523.72,470
2019-01-23,523.72,523.72,514.49,519.1,490
2019-01-24,519.1,522.4,517.13,520.42,550
2019-01-27,520.42,520.42,510.54,511.2,1410
2019-01-28,511.2,520.42,505.27,511.86,300
2019-01-29,511.86,522.4,503.29,515.15,1450
2019-01-30,515.15,519.1,513.83,515.81,380
2019-01-31,515.81,522.4,515.15,520.42,505
2019-02-03,515.81,520.42,511.86,517.79,300
2019-02-04,513.83,517.79,513.83,515.81,360
2019-02-05,515.81,525.69,513.83,515.15,785
2019-02-06,507.25,515.15,507.25,513.83,710
2019-02-07,513.83,513.83,507.91,513.83,270
2019-02-10,523.72,523.72,503.95,503.95,540
2019-02-11,507.25,510.54,500.0,509.88,200
2019-02-12,519.76,519.76,503.95,505.93,540
2019-02-13,506.59,506.59,496.71,502.64,935
2019-02-14,501.98,502.64,488.8,492.75,845
2019-02-17,497.36,500.66,491.44,500.0,330
2019-02-18,491.44,500.0,487.48,487.48,540
2019-02-19,494.07,494.07,484.19,490.78,470
2019-02-20,490.78,491.44,484.85,484.85,690
2019-02-21,484.85,487.48,480.9,480.9,750
2019-02-24,474.97,480.9,468.38,471.01,560
2019-02-25,462.45,471.01,462.45,465.74,1001
2019-02-26,457.84,465.74,443.35,447.3,890
2019-02-27,441.37,451.25,441.37,451.25,351
2019-03-03,442.69,451.25,438.74,438.74,404
2019-03-05,438.74,438.74,432.81,435.44,170
2019-03-06,435.44,458.5,428.19,458.5,900
2019-03-07,454.55,458.5,446.64,455.86,190
2019-03-09,451.25,455.86,448.62,451.25,230
2019-03-10,451.25,455.86,448.62,451.25,230
2019-03-11,445.98,451.25,445.98,450.59,324
2019-03-12,451.25,463.11,450.59,460.47,610
2019-03-13,451.91,460.47,444.01,447.3,140
2019-03-14,451.91,461.13,444.66,461.13,205
2019-03-17,444.66,445.98,440.05,440.05,485
2019-03-18,438.08,449.93,438.08,449.93,410
2019-03-19,449.93,449.93,443.35,444.66,80
2019-03-21,449.28,451.25,436.1,451.25,352
2019-03-24,451.25,451.25,438.08,439.39,640
2019-03-25,430.83,438.74,424.9,432.81,720
2019-03-26,431.49,443.35,428.19,443.35,360
2019-03-27,443.35,446.64,434.78,444.01,340
2019-03-28,435.44,438.08,435.44,438.08,190
2019-03-31,431.49,440.05,431.49,434.78,550
2019-04-01,434.78,434.78,427.54,434.78,520
2019-04-02,434.12,438.08,429.51,432.81,290
2019-04-03,432.81,438.08,429.51,434.78,490
2019-04-04,428.19,434.78,428.19,434.78,250
2019-04-07,428.19,434.78,428.19,431.49,260
2019-04-08,431.49,446.64,428.19,444.66,2280
2019-04-09,436.1,453.23,436.1,438.74,320
2019-04-10,430.83,444.01,428.19,438.08,810
2019-04-11,434.78,434.78,428.19,429.51,2602
2019-04-15,434.78,434.78,400.53,410.41,9335
2019-04-16,410.41,429.51,403.16,417.0,9525
2019-04-17,417.0,421.61,407.11,408.43,7805
2019-04-18,401.84,413.04,401.84,405.14,5985
2019-04-21,405.14,413.7,401.19,403.16,9032
2019-04-22,403.79,423.48,403.79,415.15,3343
2019-04-23,420.45,421.21,406.06,406.06,1143
2019-04-24,405.3,406.06,394.7,401.52,1863
2019-04-25,407.58,407.58,393.94,395.45,2127
2019-04-28,401.52,418.18,395.45,408.33,2346
2019-04-29,408.33,408.33,393.94,401.52,2230
2019-04-30,395.45,405.3,384.09,395.45,2080
2019-05-02,390.15,402.27,390.15,390.15,2280
2019-05-05,383.33,390.15,382.58,382.58,2100
2019-05-06,386.36,390.15,378.79,384.09,1670
2019-05-07,381.06,386.36,381.06,384.09,2057
2019-05-08,384.09,386.36,384.09,384.85,578
2019-05-09,385.61,392.42,385.61,387.12,2153
2019-05-12,386.36,386.36,381.06,381.82,1320
2019-05-13,386.36,386.36,375.0,375.0,3981
2019-05-14,375.0,377.27,368.18,377.27,775
2019-05-15,375.0,384.09,371.21,371.21,2370
2019-05-16,371.21,378.03,365.15,377.27,3160
2019-05-19,370.45,370.45,353.03,357.58,4550
2019-05-20,357.58,365.91,353.03,357.58,3220
2019-05-21,355.3,356.06,348.48,354.55,1910
2019-05-22,356.06,356.82,349.24,351.52,2570
2019-05-23,345.45,347.73,340.91,347.73,1444
2019-05-26,341.67,342.42,337.12,337.12,1065
2019-05-27,331.06,346.21,328.03,346.21,804
2019-05-28,339.39,355.3,339.39,344.7,940
2019-05-29,341.67,360.61,341.67,350.0,970
2019-05-30,356.82,368.94,350.76,358.33,3840
2019-06-02,357.58,357.58,351.52,355.3,950
2019-06-03,349.24,352.27,343.18,343.94,1200
