timestamp,open,high,low,close,volume
2022-01-02,2833.26,2887.53,2792.12,2812.25,8671
2022-03-28,654.44,694.35,654.44,694.35,110
2022-03-29,694.35,763.76,694.35,763.76,104
2022-03-30,763.76,840.09,763.76,840.09,112
2022-03-31,840.09,924.03,840.09,924.03,96
2022-04-03,917.02,1016.37,917.02,1016.37,148
2022-04-04,1015.93,1117.99,1015.93,1117.99,146
2022-04-05,1117.99,1229.76,1117.99,1229.76,145
2022-04-06,1226.0,1352.74,1226.0,1352.74,204
2022-04-07,1352.74,1487.96,1352.74,1487.96,353
2022-04-11,1517.72,1636.76,1517.72,1636.76,471
2022-04-12,1618.99,1800.44,1618.99,1800.44,724
2022-04-13,1771.29,1980.48,1771.29,1980.48,765
2022-04-17,2020.04,2178.47,2020.04,2178.47,1300
2022-04-18,2221.97,2396.24,2221.97,2396.24,1428
2022-04-19,2444.11,2635.8,2444.11,2635.8,3871
2022-04-20,2688.49,2899.34,2372.25,2372.25,50565
2022-04-21,2324.81,2494.53,2146.17,2450.77,41189
2022-04-24,2450.77,2463.02,2358.86,2380.83,18523
2022-04-25,2363.24,2398.25,2312.47,2320.35,18085
2022-04-26,2293.22,2379.87,2284.55,2337.07,11409
2022-04-27,2317.72,2363.24,2317.72,2334.44,5666
2022-04-28,2332.6,2371.99,2319.47,2323.85,10171
2022-05-02,2301.97,2319.47,2231.95,2241.66,8862
2022-05-04,2207.44,2251.73,2198.69,2203.06,7040
2022-05-05,2188.18,2202.19,2170.68,2172.52,8502
2022-05-08,2144.42,2212.69,2144.42,2212.69,7185
2022-05-09,2212.69,2275.71,2210.07,2214.44,7140
2022-05-10,2221.44,2318.6,2214.53,2308.97,6983
2022-05-11,2319.47,2354.4,2264.33,2285.34,5825
2022-05-12,2285.34,2285.34,2240.7,2253.83,8371
2022-05-17,2274.84,2274.84,2187.31,2188.18,5327
2022-05-18,2231.95,2276.59,2127.79,2149.67,7601
2022-05-19,2144.42,2186.43,2122.54,2122.54,4008
2022-05-20,2100.74,2142.67,2100.66,2105.91,3249
2022-05-23,2085.78,2085.78,2035.01,2043.76,8576
2022-05-24,2014.88,2074.4,2014.0,2017.51,4027
2022-05-25,2017.51,2071.77,2017.51,2042.01,3154
2022-05-26,2014.18,2082.28,2014.18,2065.65,2585
2022-05-27,2065.65,2074.4,2036.76,2048.14,2306
2022-05-30,2039.39,2052.52,2004.38,2008.75,3059
2022-05-31,1973.74,2049.02,1951.86,1979.87,4393
2022-06-01,1970.33,2004.38,1970.33,1978.12,2840
2022-06-02,1995.62,2021.88,1929.98,1938.73,4530
2022-06-03,1926.48,1933.48,1913.35,1921.23,3050
2022-06-06,1943.11,1960.61,1922.1,1936.19,3164
2022-06-07,1918.6,1943.11,1890.59,1900.74,3883
2022-06-08,1908.1,1999.12,1890.59,1969.37,6880
2022-06-09,1969.37,2007.88,1934.35,1934.35,3993
2022-06-10,1934.35,1964.03,1916.85,1930.85,2718
2022-06-13,1917.72,1951.86,1916.85,1934.35,1665
2022-06-14,1908.1,1968.49,1901.09,1901.97,4952
2022-06-15,1882.71,1901.97,1843.33,1856.46,3833
2022-06-16,1855.58,1908.1,1846.83,1864.33,2641
2022-06-17,1901.09,1901.09,1852.08,1855.58,937
2022-06-19,1842.45,1864.33,1821.44,1829.32,3175
2022-06-20,1792.74,1820.57,1792.74,1801.4,3950
2022-06-21,1794.31,1837.2,1765.51,1790.81,2885
2022-06-22,1755.8,1795.19,1755.8,1762.89,2573
2022-06-23,1759.3,1763.68,1706.78,1713.79,2949
2022-06-24,1681.4,1748.01,1623.81,1719.04,9663
2022-06-26,1719.04,1811.73,1684.9,1810.07,6931
2022-06-27,1845.34,1845.34,1724.29,1759.3,2445
2022-06-28,1724.29,1759.3,1716.41,1740.92,2534
2022-06-29,1740.92,1807.44,1715.71,1794.31,4427
2022-06-30,1786.43,1920.35,1786.43,1877.46,5754
2022-07-01,1877.55,1890.59,1846.91,1875.71,3070
2022-07-03,1851.2,2063.28,1848.58,2063.28,10473
2022-07-04,2100.66,2188.18,2031.51,2077.9,13957
2022-07-05,2036.41,2147.05,2036.41,2061.27,9451
2022-07-06,2056.89,2118.16,2021.88,2118.16,5496
2022-07-07,2118.16,2160.18,2030.63,2048.14,9593
2022-07-08,2017.51,2030.63,1929.98,1982.49,3950
2022-07-11,1942.84,1968.49,1899.69,1902.84,3256
2022-07-12,1939.61,1940.48,1884.46,1884.55,3237
2022-07-13,1912.47,1978.38,1899.34,1964.9,3643
2022-07-14,2004.03,2033.26,1987.75,2004.38,3947
2022-07-15,1986.96,2013.13,1969.45,1995.62,1472
2022-07-17,1986.87,2021.88,1978.12,2013.13,2803
2022-07-18,2013.13,2062.14,2004.38,2048.14,4626
2022-07-19,2048.14,2131.9,2048.14,2116.41,9520
2022-07-20,2091.9,2118.16,2090.15,2096.28,4494
2022-07-21,2074.4,2113.79,2074.4,2091.9,3374
2022-07-22,2100.66,2100.66,2056.89,2056.89,3226
2022-07-24,2098.03,2122.54,2035.89,2119.91,6711
2022-07-25,2126.91,2266.87,2126.91,2258.21,14307
2022-07-26,2266.96,2353.61,2187.31,2263.63,19568
