timestamp,open,high,low,close,volume
2016-09-07,115.06,115.06,115.06,115.06,200
2016-09-14,115.72,118.61,115.72,118.61,70
2016-09-18,119.4,120.19,119.4,120.19,40
2016-09-20,120.98,124.27,120.98,124.27,744
2016-09-21,125.06,125.98,125.06,125.98,33
2016-09-22,126.9,126.9,126.9,126.9,10
2016-09-25,126.9,126.9,126.9,126.9,10
2016-09-26,132.68,136.89,132.68,136.89,2100
2016-09-27,137.94,142.68,132.16,132.55,15383
2016-09-28,132.55,136.5,131.9,136.5,4662
2016-09-29,136.76,142.28,136.76,140.18,7258
2016-10-02,139.0,139.0,134.13,135.31,1282
2016-10-03,135.71,137.81,135.45,136.5,1968
2016-10-04,135.45,136.63,135.45,135.84,732
2016-10-05,135.84,135.84,135.31,135.45,520
2016-10-06,134.39,137.55,134.39,136.5,511
2016-10-16,136.5,136.5,134.53,134.92,339
2016-10-17,133.87,135.18,133.6,134.0,1075
2016-10-18,134.0,134.0,132.29,132.29,1064
2016-10-19,132.55,136.1,131.5,132.68,2962
2016-10-20,132.95,135.84,132.95,135.18,2743
2016-10-23,135.18,135.18,132.42,133.6,7497
2016-10-24,133.87,133.87,130.97,132.03,3821
2016-10-25,132.16,133.21,130.45,131.9,2395
2016-10-26,132.95,132.95,130.19,130.19,6824
2016-10-27,131.11,132.03,129.92,131.24,2172
2016-11-03,131.11,131.11,129.27,129.27,160
2016-11-07,129.27,129.27,128.61,129.0,842
2016-11-08,129.27,129.27,126.11,126.11,1597
2016-11-09,126.64,126.64,123.08,123.35,1216
2016-11-10,123.35,124.14,121.77,124.14,160
2016-11-13,124.14,124.66,123.08,123.61,633
2016-11-14,123.61,124.01,123.35,123.87,1271
2016-11-15,123.35,123.48,122.69,122.82,1645
2016-11-16,122.69,122.69,121.38,121.38,218
2016-11-17,121.9,121.9,120.72,121.9,310
2016-11-20,121.38,121.38,119.4,119.4,234
2016-11-21,118.75,118.75,117.3,118.61,1703
2016-11-22,118.61,118.61,117.3,117.3,817
2016-11-23,116.77,117.96,116.64,116.9,1426
2016-11-24,116.9,117.83,116.9,117.83,102
2016-11-27,117.83,117.83,116.77,117.56,215
2016-11-28,116.9,118.09,116.9,118.09,103
2016-11-29,118.35,121.24,118.35,121.11,305
2016-11-30,121.38,122.82,121.38,121.38,420
2016-12-01,121.38,122.16,118.75,118.75,2042
2016-12-04,118.75,118.75,118.09,118.09,1090
2016-12-05,118.09,118.61,116.9,117.83,226
2016-12-06,117.17,118.88,117.17,118.22,1290
2016-12-07,118.22,118.75,116.9,117.04,525
2016-12-08,117.04,117.69,116.38,116.38,1389
2016-12-11,115.85,115.98,115.2,115.98,462
2016-12-12,116.64,116.64,114.8,114.8,240
2016-12-14,114.8,115.46,113.49,115.46,338
2016-12-15,116.12,116.12,115.46,115.46,40
2016-12-18,115.46,115.46,114.8,114.8,306
2016-12-19,114.8,114.8,113.88,113.88,699
2016-12-20,114.54,114.54,112.96,113.22,359
2016-12-21,112.57,112.57,110.46,111.64,161
2016-12-22,110.99,112.7,110.99,112.7,262
2016-12-26,112.04,112.7,112.04,112.3,600
2016-12-27,111.64,112.43,111.64,112.43,122
2016-12-28,112.17,113.09,112.17,112.43,251
2016-12-29,112.43,113.09,112.43,113.09,1218
2017-01-01,113.75,116.12,113.62,115.06,193
2017-01-02,115.46,116.12,115.46,116.12,1337
2017-01-03,115.46,116.12,115.46,115.46,130
2017-01-04,115.46,116.77,115.46,116.25,126
2017-01-05,116.25,118.48,116.25,118.48,670
2017-01-08,118.48,119.27,117.69,117.96,670
2017-01-09,118.09,117.96,115.06,115.72,1009
2017-01-10,116.38,117.43,116.38,117.43,90
2017-01-11,117.43,117.43,116.9,116.9,140
2017-01-12,116.38,117.56,116.38,117.56,1030
2017-01-15,117.69,117.69,117.04,117.3,290
2017-01-16,117.43,116.77,116.64,116.77,22
2017-01-17,116.77,117.69,116.77,117.69,1803
2017-01-18,117.04,117.3,117.04,117.3,237
2017-01-19,116.64,116.77,115.98,116.25,92
2017-01-22,115.59,115.85,115.06,115.72,670
2017-01-23,116.12,116.12,114.67,114.93,379
2017-01-24,114.8,114.93,114.41,114.8,130
2017-01-25,114.8,114.8,112.83,112.83,115
2017-01-26,112.43,112.43,111.78,112.3,527
2017-01-30,111.64,111.64,110.99,110.99,80
2017-01-31,111.51,112.17,111.51,112.17,317
2017-02-01,111.51,115.06,111.51,115.06,1300
2017-02-02,114.93,115.59,114.14,114.27,282
2017-02-05,114.27,114.27,113.35,113.35,324
2017-02-06,113.35,113.49,112.83,113.09,162
2017-02-07,113.22,113.49,112.83,113.49,1540
2017-02-08,113.49,114.27,111.64,114.27,1131
2017-02-09,114.01,114.01,112.83,112.83,370
2017-02-12,112.17,112.17,110.86,110.86,441
2017-02-13,110.33,110.33,109.8,109.94,89
2017-02-14,110.46,111.25,110.46,111.25,717
2017-02-15,110.86,111.38,110.86,111.38,183
2017-02-16,111.91,114.14,111.91,114.14,520
2017-02-19,113.49,113.75,113.09,113.09,160
2017-02-20,113.09,115.2,113.09,114.54,362
2017-02-21,115.06,115.06,113.75,113.75,270
2017-02-22,113.09,113.35,112.57,113.35,428
2017-02-23,113.35,113.49,112.83,112.83,80
2017-02-26,113.22,113.49,111.12,111.91,1210
2017-02-28,111.91,111.91,111.25,111.51,120
2017-03-01,111.51,111.91,110.72,111.91,709
2017-03-02,111.25,111.64,110.99,111.51,3810
2017-03-05,112.17,112.7,112.17,112.57,228
2017-03-06,112.57,112.57,111.25,111.78,281
2017-03-07,111.78,112.17,111.51,111.51,207
2017-03-09,110.86,112.04,110.07,111.64,408
2017-03-13,111.25,111.91,110.99,111.78,200
2017-03-14,112.17,112.17,111.51,112.04,100
2017-03-15,111.64,111.64,111.51,111.51,30
2017-03-16,111.51,113.49,111.51,113.49,1503
2017-03-19,113.49,113.09,112.17,112.83,168
2017-03-20,112.96,114.27,112.96,114.27,141
2017-03-21,114.93,115.46,114.27,115.46,320
2017-03-22,114.93,116.12,114.93,115.59,675
2017-03-23,114.93,116.25,114.01,114.93,1576
2017-03-26,114.27,117.43,112.96,116.25,2073
2017-03-28,116.25,118.09,116.77,118.09,520
2017-03-29,118.09,119.67,117.43,117.43,2252
2017-03-30,117.43,118.22,116.38,116.77,616
2017-04-02,116.77,117.43,116.77,117.43,5785
2017-04-03,118.09,118.09,116.12,116.12,599
2017-04-04,116.12,117.43,115.46,116.9,701
2017-04-06,116.9,118.35,116.9,118.22,7059
2017-04-09,118.22,120.59,118.22,120.19,1189
2017-04-10,120.06,121.9,120.06,121.9,1182
2017-04-11,122.43,122.82,120.46,122.82,2441
2017-04-12,122.03,122.03,120.72,120.85,626
