timestamp,open,high,low,close,volume
2022-04-24,331.31,366.25,329.66,366.08,21885
2022-04-25,372.51,377.46,346.14,351.91,24702
2022-04-26,344.9,358.5,343.26,349.44,6988
2022-04-27,344.49,357.68,343.01,351.09,4854
2022-04-28,351.09,361.8,345.32,346.55,14156
2022-05-02,342.02,342.02,328.01,332.13,8736
2022-05-04,332.13,342.84,325.54,326.36,11815
2022-05-05,321.42,333.78,314.99,319.77,6885
2022-05-08,319.77,341.2,315.65,339.55,7465
2022-05-09,332.95,346.14,332.95,334.68,16299
2022-05-10,340.21,352.73,337.9,349.44,12356
2022-05-11,350.01,372.51,348.61,370.86,21234
2022-05-12,378.28,378.28,358.5,359.74,23351
2022-05-17,352.73,366.91,340.37,345.32,8528
2022-05-18,339.55,365.01,332.13,345.32,11062
2022-05-19,342.84,356.85,336.25,341.2,16259
2022-05-20,334.6,345.32,330.56,333.7,6235
2022-05-23,338.72,338.72,322.32,328.83,12097
2022-05-24,335.26,341.85,329.66,337.9,10709
2022-05-25,344.66,348.61,334.6,341.2,7650
2022-05-26,334.6,346.14,334.6,342.02,6216
2022-05-27,337.07,339.55,329.66,337.82,6769
2022-05-30,331.8,332.29,325.62,328.67,6286
2022-05-31,322.16,335.18,319.77,323.89,8159
2022-06-01,330.32,330.32,313.17,328.01,11588
2022-06-02,334.44,334.44,321.42,321.42,8923
2022-06-03,314.99,327.6,314.82,314.82,14504
2022-06-06,321.09,327.6,315.89,321.42,5798
2022-06-07,315.07,324.71,309.05,312.27,10911
2022-06-08,318.12,327.19,307.49,322.24,14542
2022-06-09,328.67,329.66,315.65,317.3,11169
2022-06-10,311.53,318.86,309.05,313.17,7007
2022-06-13,308.23,317.3,308.23,317.21,4257
2022-06-14,323.39,323.39,297.52,302.87,9799
2022-06-15,302.87,308.72,288.45,296.69,12243
2022-06-16,302.46,308.23,295.04,299.99,7557
2022-06-17,299.99,299.99,290.84,298.42,2842
2022-06-19,292.98,292.98,279.47,283.92,10763
2022-06-20,289.27,289.27,265.37,274.44,7972
2022-06-21,279.88,290.84,271.97,280.21,10627
2022-06-22,285.81,290.92,268.67,276.09,4312
2022-06-23,270.57,270.57,252.19,258.78,8726
2022-06-24,253.67,278.48,247.24,259.61,9929
2022-06-26,264.72,284.33,255.48,283.51,12276
2022-06-27,289.11,295.87,273.62,278.56,16627
2022-06-28,273.62,277.74,267.85,267.85,5703
2022-06-29,267.85,287.63,265.37,277.9,9841
2022-06-30,283.42,299.99,283.42,292.57,20470
2022-07-01,292.65,304.03,286.8,286.8,12675
2022-07-03,286.8,311.53,284.33,308.64,24129
2022-07-04,314.0,328.83,299.66,306.58,36860
2022-07-05,306.58,317.3,294.22,295.87,27822
2022-07-06,301.72,312.35,288.45,304.93,22777
2022-07-07,310.7,315.65,293.4,304.03,20140
2022-07-08,298.34,300.81,290.92,290.92,6814
2022-07-11,285.24,288.45,270.73,276.91,10430
2022-07-12,281.86,284.33,273.62,275.26,12245
2022-07-13,280.7,295.87,276.91,292.57,12376
2022-07-14,298.34,302.46,287.63,296.61,9714
2022-07-15,291.83,296.69,290.92,296.69,5193
2022-07-17,290.76,298.34,288.53,288.62,3063
2022-07-18,285.15,301.64,285.15,301.64,9750
2022-07-19,307.41,307.41,296.69,302.46,9473
2022-07-20,296.69,304.52,296.69,297.52,5928
2022-07-21,292.57,298.34,290.1,293.4,9782
2022-07-22,288.45,293.4,282.68,282.68,7144
2022-07-24,284.33,302.38,284.33,301.55,11439
2022-07-25,307.49,319.93,303.29,314.82,27066
2022-07-26,311.53,326.28,307.41,309.05,28396
2022-07-27,303.29,325.54,293.4,323.06,26758
2022-07-28,328.01,337.9,300.81,323.89,29099
2022-07-29,329.66,333.78,312.35,321.42,10586
2022-07-31,327.84,337.65,321.42,327.19,30186
2022-08-01,322.24,339.55,321.42,329.66,42263
2022-08-02,336.25,348.61,329.66,341.94,39142
2022-08-03,348.61,355.54,337.9,351.91,30669
2022-08-04,346.14,356.03,341.2,342.1,34840
2022-08-05,339.55,346.06,334.93,339.55,32798
2022-08-07,335.43,346.14,335.43,342.02,13086
2022-08-08,346.14,347.71,338.72,342.84,29490
2022-08-09,336.42,341.2,331.39,334.6,28530
2022-08-10,327.93,339.55,326.86,335.43,18798
2022-08-11,335.51,349.93,329.82,334.6,13748
2022-08-14,336.25,340.37,323.97,328.59,15784
2022-08-15,333.78,341.2,325.54,341.11,12668
2022-08-16,342.84,346.14,328.01,328.01,19659
2022-08-17,323.06,337.9,323.06,332.95,11898
2022-08-18,339.55,342.84,332.95,339.55,16141
2022-08-21,346.06,350.26,339.22,342.84,55162
2022-08-22,344.49,344.66,336.25,342.02,10319
2022-08-23,339.55,343.67,336.5,340.37,7216
2022-08-24,340.37,345.32,336.25,337.9,5365
2022-08-25,337.9,340.37,328.34,328.34,19177
2022-08-26,326.36,329.66,319.03,319.03,14051
2022-08-28,325.37,325.37,306.58,312.35,13455
2022-08-29,317.3,317.3,304.93,314.0,7829
2022-08-30,319.44,319.44,310.78,311.53,2160
2022-08-31,316.39,316.39,298.34,302.38,12289
2022-09-01,300.81,306.58,295.13,303.29,6578
2022-09-02,309.05,309.05,295.95,300.81,1150
2022-09-04,296.69,309.05,296.69,307.41,3817
2022-09-05,313.42,313.42,302.46,305.76,3878
2022-09-06,309.05,309.05,293.81,295.04,6917
2022-09-07,295.04,297.52,292.57,292.65,5725
2022-09-08,292.57,305.1,286.97,303.29,3004
2022-09-11,303.29,305.92,292.57,300.81,1164
2022-09-12,303.29,303.29,288.53,294.22,5073
2022-09-13,299.99,300.81,294.22,294.22,3685
2022-09-14,300.07,306.0,294.22,304.93,6494
2022-09-15,298.92,304.93,277.9,287.63,20192
2022-09-16,281.94,284.25,276.34,281.03,5375
2022-09-18,276.91,276.91,267.85,267.85,13275
2022-09-20,262.9,263.73,251.2,256.31,15465
2022-09-21,261.25,261.25,251.36,254.66,9220
2022-09-22,258.78,260.43,250.54,260.43,3557
2022-09-25,258.78,258.78,248.23,248.23,2480
2022-09-27,253.18,255.48,243.12,246.42,6096
2022-09-28,247.41,251.36,246.42,247.0,1982
