timestamp,open,high,low,close,volume
2012-01-18,58.73,58.47,57.24,57.24,1088
2012-01-25,57.24,57.14,57.14,57.14,75
2012-01-29,57.14,57.14,56.87,56.87,357
2012-01-31,56.87,56.66,56.66,56.66,27
2012-02-01,56.66,56.82,56.82,56.82,13
2012-02-06,56.82,56.71,56.39,56.5,10686
2012-02-13,56.5,56.29,56.29,56.29,54
2012-02-15,56.29,56.07,56.07,56.07,1201
2012-02-28,56.07,56.07,56.07,56.07,48
2012-02-29,56.07,55.91,55.86,55.91,270
2012-03-01,55.91,55.7,55.7,55.7,39
2012-03-04,55.7,55.49,55.28,55.28,163
2012-03-06,55.28,55.06,55.06,55.06,377
2012-03-11,55.06,55.06,55.06,55.06,13
2012-03-18,55.06,54.85,54.85,54.85,13
2012-03-19,54.85,54.64,54.64,54.64,46
2012-03-21,54.64,54.43,54.27,54.27,375
2012-03-28,54.27,54.11,53.95,53.95,1948
2012-04-09,53.95,53.95,53.95,53.95,50
2012-04-30,53.95,54.96,54.11,54.96,6097
2012-05-07,54.96,55.6,55.17,55.6,8082
2012-05-29,56.46,56.52,56.52,56.52,3170
2012-06-12,56.52,55.38,55.15,55.26,557
2012-06-13,55.26,55.49,55.26,55.49,163
2012-07-30,55.49,55.72,55.72,55.72,116
2012-08-14,55.72,55.95,55.95,55.95,136
2012-08-15,55.95,55.78,55.78,55.78,246
2012-09-09,55.78,56.35,56.35,56.35,20
2012-09-11,56.35,56.92,56.92,56.92,20
2012-09-12,56.92,57.55,57.55,57.55,20
2012-09-13,57.55,58.23,58.23,58.23,20
2012-09-16,58.23,58.92,58.92,58.92,20
2012-09-17,58.92,59.94,59.66,59.94,184
2012-09-18,59.94,60.17,60.17,60.17,20
2012-09-19,60.17,60.97,60.63,60.63,3717
2012-09-20,60.63,62.29,61.43,62.29,56
2012-09-23,62.29,63.54,63.2,63.2,282
2012-09-24,63.2,62.91,62.17,62.17,135
2012-11-25,62.17,62.11,61.83,61.83,273
2012-12-03,61.83,61.6,60.4,60.4,127
2012-12-05,60.4,60.92,60.69,60.92,478
2012-12-11,60.92,60.69,60.63,60.63,512
2012-12-16,60.63,60.4,60.4,60.4,13
2012-12-20,60.4,60.46,60.46,60.46,62
2012-12-23,60.46,60.46,60.46,60.46,624
2012-12-24,60.46,61.03,60.74,61.03,761
2012-12-26,61.03,61.37,61.37,61.37,624
2012-12-31,64.88,64.88,64.88,64.88,859
2013-02-05,64.88,61.38,61.38,61.38,5149
2013-03-05,61.38,61.04,60.7,60.7,205
2013-03-20,60.7,60.97,60.9,60.97,257
2013-04-03,60.97,60.77,60.77,60.77,50
2013-04-04,60.77,60.7,60.7,60.7,50
2013-04-29,60.7,60.9,60.9,60.9,32
2013-05-02,60.9,60.63,60.63,60.63,100
2013-05-09,60.63,60.63,60.63,60.63,51
2013-05-20,60.63,60.63,60.63,60.63,317
2013-06-03,60.63,60.9,60.9,60.9,454
2013-06-10,60.9,61.18,61.18,61.18,2600
2013-06-27,61.18,61.18,60.63,61.18,11628
2013-07-09,61.18,60.97,60.97,60.97,11031
2013-07-22,60.97,60.63,59.81,59.81,617
2013-07-30,59.81,60.36,60.08,60.36,22
2013-08-06,60.36,60.9,60.63,60.9,595
2013-08-07,60.9,61.52,61.18,61.52,1354
2013-08-08,61.52,62.55,61.18,62.55,2754
2013-08-11,62.55,62.89,62.55,62.55,5333
2013-08-12,62.55,62.21,60.9,60.97,3487
2013-08-15,60.97,60.7,60.56,60.56,99
2013-08-25,60.56,60.84,60.84,60.84,716
2013-08-29,60.84,62.14,61.11,62.14,5000
2013-09-01,62.14,63.16,62.48,63.16,3879
2013-09-02,63.16,63.51,63.51,63.51,17
2013-09-04,63.51,63.16,62.48,62.48,716
2013-09-05,62.48,62.48,62.48,62.48,2021
2013-09-08,62.48,63.51,62.82,63.51,74
2013-09-10,63.51,64.54,63.85,64.54,1240
2013-09-11,64.54,66.32,64.95,65.7,5123
2013-09-15,65.7,65.29,65.29,65.29,287
2013-09-24,65.29,65.7,65.7,65.7,25
2013-10-03,65.7,67.82,65.77,67.82,3129
2013-10-06,67.82,70.22,68.3,70.22,150
2013-10-07,70.22,71.93,69.88,71.93,6097
2013-10-08,71.93,72.83,72.28,72.83,313
2013-10-10,72.83,74.4,73.3,74.4,177
2013-10-21,74.4,74.4,73.92,73.92,650
2013-10-22,73.92,73.99,73.85,73.99,1033
