timestamp,open,high,low,close,volume
2012-01-12,36.43,37.86,36.76,37.86,130
2012-01-16,37.86,38.24,38.24,38.24,20
2012-02-02,38.24,37.86,37.86,37.86,50
2012-02-06,37.86,37.47,35.83,35.83,444
2012-02-07,35.83,35.5,35.18,35.5,412
2012-02-12,35.5,35.5,35.23,35.23,198
2012-02-14,35.23,35.23,35.23,35.23,66
2012-02-15,35.23,35.5,35.5,35.5,571
2012-02-16,35.5,35.5,35.34,35.5,298
2012-02-21,35.5,35.5,35.5,35.5,269
2012-02-26,35.5,36.32,35.83,36.32,1261
2012-02-27,36.32,36.05,36.05,36.05,100
2012-02-28,36.05,36.05,35.72,35.72,139
2012-02-29,35.72,36.05,36.05,36.05,80
2012-03-01,36.05,36.32,36.32,36.32,50
2012-03-05,36.32,36.0,35.72,35.72,676
2012-03-06,35.72,35.72,35.5,35.5,1274
2012-03-11,35.5,35.5,35.5,35.5,620
2012-03-12,35.5,35.5,35.5,35.5,200
2012-03-13,35.5,35.5,35.5,35.5,1393
2012-03-18,35.5,35.61,34.85,34.85,665
2012-03-19,34.85,35.18,34.96,34.96,590
2012-03-25,34.96,34.63,34.63,34.63,176
2012-03-27,34.63,35.29,34.96,35.29,196
2012-03-28,35.29,35.5,35.5,35.5,1083
2012-04-03,35.5,35.5,35.5,35.5,185
2012-04-04,35.5,35.72,35.5,35.5,982
2012-04-08,35.5,35.18,35.18,35.18,54
2012-04-11,35.18,35.5,35.5,35.5,50
2012-04-12,35.5,35.78,35.78,35.78,50
2012-04-18,35.78,36.76,36.11,36.76,1545
2012-04-19,36.76,37.53,36.65,36.65,294
2012-04-22,36.65,37.03,37.03,37.03,117
2012-04-24,37.03,38.29,37.42,38.29,1707
2012-04-26,38.29,38.68,38.68,38.68,20
2012-04-29,38.68,39.06,39.06,39.06,22
2012-04-30,39.06,39.88,39.44,39.88,233
2012-05-03,39.88,41.41,40.97,41.41,22
2012-05-07,41.41,41.41,41.41,41.41,50000
2012-05-13,41.41,42.78,41.85,42.78,300
2012-05-15,42.78,43.76,43.27,43.76,200
2012-05-16,43.76,44.75,44.25,44.75,119
2012-05-17,44.75,46.33,45.24,46.33,433
2012-05-20,46.33,47.97,46.82,46.82,625
2012-05-21,46.82,47.32,47.32,47.32,58
2012-06-07,47.32,47.7,47.7,47.7,152
2012-06-11,47.7,48.08,48.08,48.08,36
2012-07-11,48.08,47.48,47.48,47.48,100
2012-07-12,47.48,46.93,46.39,46.39,76
2012-07-16,46.39,46.93,46.93,46.93,79
2012-07-18,46.93,46.39,45.84,45.84,518
2012-07-19,45.84,46.71,46.39,46.71,200
2012-07-22,46.71,46.17,43.82,43.82,3982
2012-07-23,43.82,44.03,42.07,44.03,16450
2012-07-24,44.03,43.54,43.54,43.54,50
2012-07-26,43.54,43.16,43.16,43.16,50
2012-07-29,43.16,43.16,42.67,43.16,792
2012-07-30,43.16,43.65,43.21,43.65,515
2012-07-31,51.51,44.12,44.12,44.12,132
2012-08-01,44.12,44.97,44.47,44.97,634
2012-08-05,44.97,45.47,45.25,45.25,179
2012-09-02,45.25,45.96,45.54,45.96,398
2012-09-03,45.96,45.89,45.89,45.89,132
2012-09-04,45.89,45.89,45.89,45.89,239
2012-09-05,45.89,46.96,45.68,46.96,4332
2012-09-06,46.96,48.1,46.39,48.1,1057
2012-09-09,48.1,51.08,48.67,50.87,4544
2012-09-10,50.87,51.51,50.3,51.01,1513
2012-09-11,51.01,51.23,50.44,51.23,6749
2012-09-12,51.23,51.44,50.23,50.87,8358
2012-09-13,50.87,52.65,51.51,52.65,311
2012-09-16,52.65,55.14,53.29,55.14,239
2012-09-17,55.14,55.92,55.14,55.85,748
2012-09-18,55.85,55.49,53.78,54.0,7401
2012-09-19,54.0,54.0,53.29,53.29,1313
2012-09-20,53.29,52.65,52.01,52.01,553
2012-09-23,52.01,53.29,52.65,53.29,87
2012-09-24,53.29,53.22,51.94,53.22,1719
2012-09-25,53.22,52.58,52.58,52.58,10
2012-09-26,52.58,52.22,51.44,52.22,1168
2012-09-27,52.22,53.07,52.29,53.07,2597
2012-09-30,53.07,53.71,53.71,53.71,66
2012-10-01,53.71,54.07,53.0,53.71,9373
2012-10-02,53.71,53.71,53.0,53.71,2058
2012-10-03,53.71,53.71,52.36,52.36,2530
2012-10-04,52.36,53.71,53.0,53.71,2089
2012-10-07,53.71,53.57,51.65,53.57,2102
2012-10-08,53.57,54.14,52.86,54.14,5070
2012-10-09,54.14,53.64,53.29,53.57,3389
2012-10-10,53.57,54.14,54.14,54.14,18
2012-10-11,54.14,54.21,54.21,54.21,18
2012-10-18,54.21,54.57,54.57,54.57,20
2012-11-05,54.57,53.86,53.86,53.86,1259
2012-11-06,53.86,54.57,54.57,54.57,18
2012-11-11,54.57,53.86,53.86,53.86,50
2012-11-12,53.86,53.86,53.86,53.86,1186
2012-11-18,53.86,54.07,54.07,54.07,22
2012-11-25,54.07,53.36,53.36,53.36,200
2012-11-29,53.36,53.0,53.0,53.0,99
2012-12-04,53.0,53.0,53.0,53.0,30
2012-12-06,53.0,53.0,51.58,51.58,1377
2012-12-13,51.58,51.23,51.23,51.23,26
2012-12-16,51.23,51.58,51.58,51.58,153
2012-12-17,51.58,51.94,51.15,51.94,5086
2012-12-18,51.94,51.58,51.58,51.58,66
2012-12-19,51.58,51.58,51.58,51.58,287
2012-12-20,51.58,52.22,51.58,51.58,351
2012-12-23,51.58,51.23,51.08,51.08,166
2012-12-24,51.08,52.01,51.72,52.01,1453
2012-12-26,52.01,52.58,52.01,52.58,149
2012-12-27,52.58,52.29,51.94,51.94,443
2012-12-31,51.94,52.58,51.94,52.58,532
2013-01-01,52.58,52.65,52.65,52.65,341
2013-01-02,52.65,53.29,52.08,52.08,1308
2013-01-03,52.08,54.78,52.58,54.78,1605
2013-01-06,54.78,54.07,53.36,53.36,98
2013-01-07,53.36,52.93,52.22,52.93,1212
2013-01-08,52.93,53.36,53.0,53.0,306
2013-01-10,53.0,53.71,53.36,53.71,582
2013-01-13,53.71,55.14,54.42,55.14,851
2013-01-15,55.14,55.49,55.49,55.49,3421
2013-01-16,55.49,55.49,55.49,55.49,1304
2013-01-17,55.49,54.78,54.28,54.28,1452
2013-01-21,54.28,54.99,54.99,54.99,64
2013-01-22,54.99,55.7,54.57,55.7,1776
2013-01-23,55.7,57.62,55.85,57.62,3791
2013-01-24,57.62,56.84,56.84,56.84,500
