timestamp,open,high,low,close,volume
2022-04-24,777.27,840.91,777.27,840.0,2102
2022-04-25,840.0,840.0,806.64,806.64,2023
2022-04-26,795.45,812.73,790.55,790.91,1088
2022-04-27,806.73,806.73,775.09,787.27,666
2022-04-28,772.73,796.36,772.73,781.82,1226
2022-05-02,773.64,773.64,768.18,770.18,970
2022-05-04,763.64,772.73,750.91,751.82,2900
2022-05-05,750.0,754.55,737.45,737.45,1815
2022-05-08,737.45,750.91,737.45,750.91,1056
2022-05-09,750.91,781.18,750.91,754.55,1424
2022-05-10,750.0,780.91,748.18,770.0,1658
2022-05-11,777.27,794.64,777.27,794.64,1972
2022-05-12,794.55,810.0,781.82,790.82,1592
2022-05-17,777.27,777.27,756.36,756.36,1033
2022-05-18,758.18,759.09,747.36,747.36,1377
2022-05-19,747.36,751.73,738.18,741.82,636
2022-05-20,741.82,741.82,735.45,737.27,401
2022-05-23,732.73,732.73,713.64,716.36,1558
2022-05-24,727.27,756.36,727.27,730.91,968
2022-05-25,743.64,743.64,729.27,740.91,446
2022-05-26,740.91,749.09,731.82,732.0,957
2022-05-27,731.82,735.45,726.36,735.45,605
2022-05-30,741.82,741.82,701.0,713.64,925
2022-05-31,711.82,713.64,704.55,704.55,870
2022-06-01,692.73,697.27,682.73,695.45,1192
2022-06-02,700.0,700.0,690.91,690.91,1319
2022-06-03,677.27,686.36,677.18,685.45,686
2022-06-06,681.82,713.0,681.82,698.18,731
2022-06-07,690.91,701.91,682.73,690.91,1735
2022-06-08,699.91,744.55,699.91,724.09,1557
2022-06-09,727.27,749.09,708.27,709.09,1147
2022-06-10,700.0,706.36,690.91,690.91,477
2022-06-13,682.82,696.45,677.27,678.18,1281
2022-06-14,673.64,673.64,665.45,667.27,635
2022-06-15,654.0,659.09,623.64,646.36,3707
2022-06-16,645.45,663.64,645.45,650.0,786
2022-06-17,650.0,650.0,636.36,645.45,1460
2022-06-19,632.73,638.18,625.45,625.45,1155
2022-06-20,614.64,625.0,602.73,611.82,3862
