timestamp,open,high,low,close,volume
2017-02-08,70.52,70.52,70.52,70.52,10
2017-02-14,71.91,71.91,71.91,71.91,10
2017-02-19,73.3,79.02,73.3,79.02,1000
2017-02-23,80.55,83.62,80.55,83.62,40
2017-03-14,85.29,85.29,85.29,85.29,10
2017-03-20,86.96,86.96,86.96,86.96,10
2017-03-21,88.63,90.31,88.63,91.98,30
2017-04-09,91.98,91.98,91.98,91.98,19
2017-04-11,94.76,94.76,94.76,94.76,29
2017-04-13,96.58,96.58,96.58,96.58,10
2017-05-02,98.39,98.39,98.39,98.39,10
2017-05-18,98.39,103.27,103.27,103.27,20
2017-05-22,105.22,113.58,105.22,113.58,70
2017-05-24,113.58,120.27,115.81,120.27,30
2017-05-30,122.64,127.38,122.64,127.38,30
2017-06-06,129.88,129.88,129.88,129.88,40
2017-06-08,129.88,129.88,129.88,129.88,10
2017-06-12,136.29,138.94,136.29,138.94,29
2017-06-13,141.59,144.38,141.59,144.38,20
2017-06-14,147.16,147.16,147.16,147.16,10
2017-06-15,147.16,155.94,147.16,155.94,58
2017-06-20,159.01,165.28,159.01,165.28,30
2017-06-21,168.49,171.83,168.49,171.83,30
2017-06-27,180.33,180.33,180.33,180.33,10
2017-07-03,183.82,187.44,183.82,187.44,39
2017-07-04,191.06,191.06,191.06,194.83,39
2017-07-05,194.83,198.59,194.83,198.59,20
2017-07-06,202.49,202.49,202.49,202.49,10
2017-07-10,206.53,210.57,206.53,210.57,20
2017-07-12,214.75,218.93,214.75,218.93,30
2017-07-13,229.8,238.86,229.8,238.86,50
2017-07-16,243.6,248.34,243.6,248.34,20
2017-07-17,253.22,268.55,253.22,268.55,140
2017-07-19,273.84,273.84,273.84,273.84,10
2017-07-20,279.28,279.28,279.28,279.28,20
2017-07-25,284.85,290.43,284.85,290.43,20
2017-07-26,296.14,301.99,296.14,301.99,30
2017-07-27,307.99,320.39,307.99,320.39,30
2017-07-30,326.66,352.3,326.66,352.3,123
2017-07-31,359.27,387.42,359.27,387.42,80
2017-08-01,406.79,426.16,406.79,426.16,152
2017-08-02,434.66,468.67,434.66,468.67,1369
2017-08-03,468.67,515.49,478.01,515.49,8523
2017-08-06,525.67,537.23,508.66,537.23,11155
2017-08-07,537.93,537.93,524.13,528.87,5405
2017-08-09,529.57,530.27,522.6,524.13,3152
2017-08-10,524.13,524.13,518.84,519.12,2559
2017-08-13,529.43,529.29,496.26,498.91,1769
2017-08-15,491.94,505.88,487.76,505.88,1928
2017-08-16,505.88,514.94,496.4,510.06,1838
2017-08-17,501.7,508.8,501.7,507.69,1551
2017-08-20,501.7,506.57,501.7,501.84,2129
2017-08-21,501.7,501.7,494.73,497.66,835
2017-08-22,497.52,501.7,489.15,497.52,1476
2017-08-23,489.43,497.52,489.43,496.82,542
2017-08-24,496.82,501.0,489.29,498.91,1072
2017-08-27,498.91,508.66,496.82,499.19,1155
2017-08-28,489.85,506.57,489.85,506.57,1980
2017-08-30,508.66,513.26,503.23,508.66,2153
2017-08-31,508.66,508.66,502.53,504.34,658
2017-09-04,502.39,505.88,501.0,503.37,1114
2017-09-06,495.43,511.45,495.43,505.88,645
2017-09-07,505.88,517.03,505.88,507.83,758
2017-09-10,504.48,504.48,499.05,499.88,2231
2017-09-11,490.55,510.06,490.55,508.39,1368
2017-09-12,499.88,510.06,499.88,508.66,1675
2017-09-13,514.24,514.24,499.19,499.33,1415
2017-09-14,496.12,496.12,449.3,449.3,1914
2017-09-17,440.38,457.1,431.6,454.31,3981
2017-09-18,459.89,472.57,454.45,466.86,1253
2017-09-20,469.64,469.64,450.83,460.03,253
