timestamp,open,high,low,close,volume
2020-08-27,310.43,325.42,310.43,325.42,28550
2020-08-31,374.81,392.44,374.81,392.44,75618
2020-09-02,411.85,431.25,411.85,431.25,26975
2020-09-03,452.41,473.58,452.41,473.58,44505
2020-09-06,496.51,520.32,426.84,426.84,49953
2020-09-07,405.67,405.67,384.51,384.51,7815
2020-09-08,365.99,365.99,346.58,346.58,10210
2020-09-09,329.83,329.83,312.19,312.19,14498
2020-09-10,297.2,343.06,281.32,343.06,82495
2020-09-13,359.81,376.57,359.81,376.57,71164
2020-09-14,395.09,402.14,352.76,366.87,111279
2020-09-15,384.51,384.51,352.76,359.81,35699
2020-09-16,359.81,363.34,352.76,358.05,28882
2020-09-17,353.64,357.17,350.99,353.64,32639
2020-09-20,348.35,349.23,339.53,341.29,37140
2020-09-21,326.3,335.12,326.3,327.18,45446
2020-09-22,322.77,323.66,315.72,321.01,42439
2020-09-23,315.72,340.41,313.07,330.71,26060
2020-09-24,330.71,335.12,325.42,330.71,19135
2020-09-27,327.18,329.83,321.01,324.54,16779
2020-09-28,309.55,325.42,309.55,321.89,17357
2020-09-29,318.36,322.77,315.72,316.6,31940
2020-09-30,313.07,317.48,313.07,314.84,24501
2020-10-01,310.43,332.47,310.43,316.6,30235
2020-10-04,316.6,324.54,313.95,319.25,23885
2020-10-05,314.84,320.13,314.84,315.72,15312
2020-10-06,321.89,321.89,313.07,314.84,14188
2020-10-07,310.43,327.18,310.43,327.18,25735
2020-10-08,321.01,327.18,316.6,317.48,15029
2020-10-11,321.89,326.3,309.55,314.84,9160
2020-10-12,312.19,314.84,311.31,312.19,12798
2020-10-13,308.66,315.72,308.66,312.19,10920
2020-10-14,310.43,311.31,304.25,308.66,17455
2020-10-15,308.66,313.07,306.02,308.66,10859
2020-10-18,303.37,308.66,301.61,305.14,7510
2020-10-19,301.61,318.36,301.61,306.02,7050
2020-10-20,302.49,317.48,302.49,311.31,5910
2020-10-21,317.48,321.01,308.66,311.31,14264
2020-10-22,305.14,317.48,305.14,310.43,7400
2020-10-28,304.25,311.31,304.25,309.55,8865
2020-10-29,299.84,311.31,299.84,308.66,16375
2020-11-01,308.66,312.19,300.73,306.9,11915
2020-11-02,301.61,308.66,301.61,306.02,11672
2020-11-03,300.73,308.66,300.73,304.25,9276
2020-11-04,308.66,308.66,302.49,306.02,10345
2020-11-05,313.07,313.07,301.61,301.61,12990
2020-11-08,299.84,304.25,299.84,301.61,20365
2020-11-09,304.25,322.77,301.61,311.31,31120
2020-11-10,313.07,317.48,308.66,311.31,13169
2020-11-11,306.02,340.41,306.02,329.83,47089
2020-11-12,335.12,335.12,316.6,319.25,36770
2020-11-18,319.25,328.07,317.48,321.01,16120
2020-11-19,326.3,352.76,318.36,352.76,91460
2020-11-22,361.58,380.98,349.23,361.58,131695
2020-11-23,360.7,363.34,352.76,352.76,53791
2020-11-24,352.76,377.45,349.23,365.1,60737
2020-11-25,367.75,369.51,356.29,358.93,26073
2020-11-26,361.58,364.22,353.64,353.64,36175
2020-11-29,353.64,358.93,344.82,349.23,35687
2020-11-30,348.35,358.05,343.94,349.23,29525
2020-12-01,343.94,365.1,343.06,343.94,53218
2020-12-02,341.29,365.1,341.29,358.05,42450
2020-12-03,358.05,363.34,347.47,347.47,25261
2020-12-06,342.18,350.99,331.59,331.59,27859
2020-12-07,331.59,343.06,318.36,339.53,27595
2020-12-08,333.36,342.18,331.59,332.47,20395
2020-12-09,335.12,338.65,324.54,325.42,23613
2020-12-10,321.01,333.36,320.13,330.71,25032
2020-12-13,330.71,333.36,324.54,329.83,12307
2020-12-14,327.18,353.64,327.18,342.18,35339
2020-12-15,351.88,351.88,336.0,337.77,14719
2020-12-16,337.77,349.23,333.36,339.53,27715
2020-12-17,335.12,337.77,330.71,335.12,21419
2020-12-20,335.12,335.12,319.25,319.25,22946
2020-12-21,308.66,334.24,302.49,317.48,26187
2020-12-22,317.48,328.07,317.48,321.89,17075
2020-12-23,317.48,325.42,317.48,318.36,14146
2020-12-24,315.72,321.89,315.72,321.89,13890
2020-12-27,315.72,328.07,313.95,320.13,13888
2020-12-28,317.48,321.01,312.19,314.84,13711
2020-12-29,308.66,314.84,308.66,312.19,21711
2020-12-30,308.66,312.19,306.02,310.43,12130
2020-12-31,308.66,320.13,306.9,315.72,22469
2021-01-03,317.48,317.48,311.31,314.84,12650
2021-01-04,312.19,317.48,311.31,311.31,17949
2021-01-05,309.55,334.24,309.55,320.13,15817
2021-01-06,320.13,326.3,314.84,317.48,11669
2021-01-07,321.89,321.89,313.95,316.6,16731
2021-01-10,301.61,323.66,301.61,317.48,17040
2021-01-11,313.95,321.89,313.95,317.48,10006
2021-01-12,312.19,321.01,312.19,314.84,12711
2021-01-13,314.84,326.3,314.84,320.13,20810
2021-01-17,320.13,326.3,320.13,324.54,14000
2021-01-18,328.07,329.83,322.77,323.66,15699
2021-01-19,335.12,335.12,319.25,321.89,11981
2021-01-20,317.48,322.77,315.72,320.13,12175
2021-01-21,319.25,321.89,317.48,320.13,22388
2021-01-24,305.14,339.53,305.14,335.12,57206
2021-01-25,351.02,367.35,344.67,360.09,104438
2021-01-26,367.35,367.35,349.21,353.74,36977
2021-01-27,360.09,360.09,349.21,353.74,27180
2021-01-28,349.21,351.02,341.04,341.95,30167
2021-01-31,344.67,344.67,331.97,332.88,13041
2021-02-01,331.07,339.23,331.07,336.51,18475
2021-02-02,336.51,357.37,331.07,347.39,21730
2021-02-03,346.49,350.11,336.51,338.32,24762
2021-02-04,333.79,352.83,333.79,335.6,25484
2021-02-07,335.6,353.74,335.6,348.3,46422
2021-02-08,365.53,365.53,352.83,356.46,54159
2021-02-09,373.7,373.7,349.21,351.02,14213
