timestamp,open,high,low,close,volume
2022-04-24,1044.0,1081.0,1022.0,1065.0,30215
2022-04-25,1060.0,1069.0,1029.0,1040.0,26904
2022-04-26,1021.0,1052.0,1020.0,1037.9,12822
2022-04-27,1020.2,1050.5,1020.2,1049.0,19711
2022-04-28,1054.0,1054.0,1020.0,1030.0,11410
2022-05-02,1032.9,1032.9,987.0,989.0,33068
2022-05-04,1000.0,1000.0,933.6,980.0,35215
2022-05-05,980.0,989.0,945.0,982.0,22683
2022-05-08,982.0,1010.0,947.0,1010.0,16033
2022-05-09,1010.0,1028.0,980.0,1020.0,77958
2022-05-10,1020.0,1050.0,1005.0,1038.9,37180
2022-05-11,1040.0,1050.0,1018.0,1050.0,35061
2022-05-12,1050.0,1070.0,1029.1,1053.6,51491
2022-05-17,1058.0,1058.0,980.0,982.0,27925
2022-05-18,962.4,1013.9,962.4,996.0,14598
2022-05-19,996.0,1015.9,980.0,990.0,12366
2022-05-20,1005.0,1005.0,973.0,973.0,14516
2022-05-23,990.0,990.0,945.7,979.0,24855
2022-05-24,979.0,991.0,946.0,988.0,7115
2022-05-25,1002.0,1002.0,970.0,995.0,8376
2022-05-26,1000.0,1002.0,968.0,981.5,16611
2022-05-27,990.0,990.0,950.0,959.0,19698
2022-05-30,967.0,970.0,932.0,935.0,52281
2022-05-31,935.0,945.9,905.0,927.8,24885
2022-06-01,930.0,937.0,915.0,931.0,8733
2022-06-02,945.0,945.0,900.0,915.0,29228
2022-06-03,897.0,914.0,890.0,904.0,14867
2022-06-06,906.0,915.0,888.0,910.0,12185
2022-06-07,922.0,922.0,880.0,889.0,12180
2022-06-08,872.2,940.0,872.2,925.0,14430
2022-06-09,930.0,939.0,895.0,906.9,22172
2022-06-10,906.9,906.9,881.0,888.2,6406
2022-06-13,890.0,905.1,875.0,890.0,8215
2022-06-14,883.0,905.0,855.0,855.0,15545
2022-06-15,853.0,870.0,842.9,865.0,146823
2022-06-16,850.0,899.6,850.0,895.0,159073
2022-06-17,899.0,912.0,885.0,890.0,112759
2022-06-19,891.0,891.0,849.8,867.5,117343
2022-06-20,867.5,867.5,835.0,853.0,128182
2022-06-21,845.0,880.0,838.0,880.0,136279
2022-06-22,875.0,885.0,844.0,860.0,12801
2022-06-23,865.0,865.0,828.5,850.0,22562
2022-06-24,859.9,870.0,835.0,867.0,14587
2022-06-26,883.9,916.9,870.0,916.9,51086
2022-06-27,920.0,921.8,874.0,880.0,42005
2022-06-28,863.0,879.9,850.0,864.0,28864
2022-06-29,851.0,886.9,851.0,875.0,12249
2022-06-30,890.0,911.0,883.0,910.0,34324
2022-07-01,928.2,928.2,893.5,895.0,26002
