timestamp,open,high,low,close,volume
2012-02-01,13.75,12.7,12.7,12.7,89
2012-03-04,12.7,12.91,12.91,12.91,20
2012-04-03,12.91,12.7,12.7,12.7,370
2012-04-12,12.7,12.49,12.49,12.49,20
2012-04-16,12.49,12.49,12.49,12.49,30
2012-04-19,12.49,12.7,12.7,12.7,363
2012-04-29,12.7,12.7,12.7,12.7,345
2012-05-09,12.7,12.91,12.91,12.91,58
2012-05-24,12.91,12.7,12.49,12.49,621
2012-06-06,12.49,12.28,12.28,12.28,47
2012-06-14,12.28,12.49,11.86,11.86,579
2012-06-17,11.86,11.86,11.86,11.86,29
2012-06-19,11.86,11.72,11.72,11.72,13
2012-07-02,11.72,11.51,11.51,11.51,21
2012-07-17,11.51,11.3,11.09,11.3,114
2012-07-22,11.3,11.23,11.23,11.23,212
2012-07-26,11.23,11.23,11.23,11.23,83
2012-07-30,11.23,11.02,11.02,11.02,14
2012-08-12,11.02,10.81,10.81,10.81,392
2012-08-26,10.81,10.81,10.6,10.6,642
2012-08-27,10.6,10.67,10.67,10.67,207
2012-08-28,10.67,11.65,10.88,11.65,537
2012-08-29,11.65,11.86,11.86,11.86,50
2012-08-30,11.86,12.07,12.07,12.07,40
2012-09-02,12.07,12.7,12.28,12.7,451
2012-09-03,12.7,13.33,12.91,13.33,480
2012-09-04,13.33,13.54,13.54,13.54,29
2012-10-10,13.54,13.33,13.33,13.33,199
2012-10-11,13.33,13.12,12.7,12.7,743
2012-10-15,12.7,12.49,12.49,12.49,207
2012-10-18,12.49,12.35,12.35,12.35,31
2012-11-06,12.35,12.49,12.28,12.28,189
2012-11-11,12.28,12.28,12.28,12.28,107
2012-11-26,12.28,12.49,12.49,12.49,963
2012-11-28,12.49,12.35,12.35,12.35,31
2012-12-13,14.52,14.52,14.52,14.52,535
2012-12-16,14.52,14.03,14.03,14.03,500
2012-12-18,14.03,14.03,14.03,14.03,168
2012-12-19,14.03,14.1,14.1,14.1,1851
2012-12-20,14.1,14.03,14.03,14.03,76
2013-01-06,14.03,14.6,14.31,14.6,259
2013-01-10,14.6,14.31,14.31,14.31,502
2013-01-13,14.31,14.88,14.6,14.88,20
2013-01-15,14.88,15.44,15.16,15.44,1158
2013-01-16,15.44,15.72,15.72,15.72,510
2013-01-17,15.72,16.0,16.0,16.0,50
2013-01-21,16.0,16.49,16.28,16.49,411
2013-01-22,16.49,16.49,15.79,15.79,443
2013-01-23,15.79,15.79,15.79,15.79,153
2013-01-24,15.79,15.79,15.79,15.79,2130
2013-01-27,15.79,15.86,15.86,15.86,111
2013-01-28,15.86,16.14,16.14,16.14,30
2013-02-04,16.14,15.86,15.86,15.86,47
2013-02-05,15.86,15.58,15.16,15.16,715
2013-02-06,15.16,15.37,14.52,15.02,404
2013-02-07,15.02,15.44,15.16,15.44,181
2013-02-10,15.44,16.28,15.72,16.14,2465
2013-02-12,16.14,16.35,16.28,16.35,136
2013-02-13,16.35,16.56,16.28,16.28,272
2013-02-14,16.28,16.14,16.14,16.14,159
2013-02-17,16.14,16.42,16.42,16.42,124
2013-02-19,16.42,17.19,16.7,17.19,484
2013-02-20,17.19,16.91,16.63,16.63,224
2013-02-21,16.63,16.35,16.35,16.35,17
2013-02-24,16.35,16.07,15.79,15.79,32
2013-02-25,15.79,15.79,15.79,15.79,102
2013-03-07,15.79,15.86,15.86,15.86,227
2013-03-11,15.86,15.79,15.79,15.79,238
