timestamp,open,high,low,close,volume
2023-12-19,503.37,503.37,456.23,495.79,81779
2023-12-20,495.79,545.29,488.22,516.75,58536
2023-12-21,517.68,519.36,492.42,506.57,23695
2023-12-24,513.47,521.89,482.32,496.63,66610
2023-12-27,496.63,519.36,495.2,505.89,48433
2023-12-28,496.63,525.0,496.63,525.0,47088
2024-01-01,515.15,525.25,501.77,503.37,38801
2024-01-02,503.37,503.37,484.01,484.76,11352
2024-01-03,494.11,494.11,469.11,485.69,14011
2024-01-04,490.24,502.53,475.59,487.37,18865
2024-01-07,477.69,487.37,468.6,468.86,13668
2024-01-08,468.86,495.62,468.01,486.78,13638
2024-01-09,488.22,501.68,475.59,478.96,16183
2024-01-10,469.7,505.05,469.7,475.59,8167
2024-01-11,467.17,486.03,466.08,478.11,17710
2024-01-14,475.59,484.01,471.38,474.75,10130
2024-01-16,484.01,484.18,475.59,480.64,20930
2024-01-17,487.79,488.22,472.39,478.96,20555
2024-01-18,469.7,488.47,469.7,478.11,22940
2024-01-21,471.38,480.64,469.36,469.36,22047
2024-01-22,460.44,478.7,460.44,460.86,11332
2024-01-23,456.23,470.03,450.34,454.55,11015
2024-01-24,446.21,472.22,445.29,445.29,13505
2024-01-25,453.7,454.12,441.92,446.13,12910
2024-01-28,446.13,454.12,442.76,449.49,5933
2024-01-29,442.93,458.75,442.93,457.91,10469
2024-01-30,455.39,472.9,455.39,466.33,15896
2024-01-31,462.96,466.33,446.97,452.86,11111
2024-02-01,444.53,450.34,441.92,441.92,14113
2024-02-04,441.92,441.92,434.43,434.43,10730
2024-02-05,429.38,450.34,429.29,441.08,8817
2024-02-06,446.13,449.83,433.5,441.92,9077
2024-02-07,448.65,450.67,441.92,446.04,11985
2024-02-08,438.8,450.34,438.8,442.76,9429
2024-02-11,441.92,449.49,436.03,442.76,9878
2024-02-12,442.76,446.13,440.24,444.53,8757
2024-02-13,437.71,445.29,436.03,441.92,11201
2024-02-14,433.08,444.44,433.08,440.24,5802
2024-02-15,435.35,440.24,430.13,436.03,6932
2024-02-18,428.37,446.13,428.37,432.66,9705
2024-02-20,429.29,433.5,429.29,432.66,6900
2024-02-21,433.5,441.08,427.61,432.66,8831
2024-02-22,426.35,437.71,425.08,429.29,6806
2024-02-25,427.61,437.54,420.03,422.14,12596
2024-02-26,430.56,430.56,414.98,420.88,5715
2024-02-27,412.63,429.29,412.63,414.14,5407
2024-02-28,421.72,423.4,415.15,416.67,4967
2024-02-29,418.52,418.52,411.62,414.98,6715
2024-03-03,414.98,417.51,404.46,413.72,5753
2024-03-04,420.88,446.63,420.88,446.63,240
2024-03-05,454.71,454.71,419.19,426.77,11605
2024-03-06,435.27,435.27,412.46,420.03,13104
2024-03-07,420.03,429.29,415.82,425.93,5241
2024-03-10,430.98,433.5,423.4,431.82,10951
2024-03-12,437.71,467.17,437.71,462.96,37203
2024-03-13,467.17,476.43,458.75,462.96,21282
2024-03-14,462.96,465.49,445.37,446.97,21099
2024-03-17,446.97,450.34,438.13,445.29,14765
2024-03-18,444.44,446.13,437.71,442.85,6473
2024-03-19,442.76,462.96,438.22,457.91,36876
2024-03-20,462.96,462.96,448.65,448.65,7493
2024-03-21,441.16,453.62,441.16,447.81,5452
2024-03-25,443.6,445.29,438.64,442.76,7041
2024-03-26,441.92,451.18,436.03,440.24,8240
2024-03-27,431.73,440.24,431.73,435.94,9426
2024-03-28,429.38,444.44,429.29,435.94,6909
2024-03-31,429.29,436.03,427.61,428.45,8992
2024-04-01,424.24,435.19,424.24,432.66,6350
2024-04-02,425.42,434.26,420.96,430.98,8781
2024-04-03,430.98,436.87,429.29,433.5,5702
2024-04-04,429.29,433.5,427.69,430.13,7877
2024-04-07,427.61,452.86,424.24,441.92,13476
2024-04-09,441.92,448.65,434.34,434.34,22833
2024-04-10,434.34,438.55,430.98,431.31,11433
2024-04-14,427.69,431.82,425.08,427.61,7178
2024-04-15,421.04,429.29,421.04,427.61,5349
2024-04-16,425.51,427.61,420.88,425.51,5211
2024-04-18,421.72,423.4,420.03,420.29,8680
2024-04-21,412.46,428.45,412.46,428.45,5184
2024-04-22,436.78,436.78,416.67,421.72,7244
2024-04-24,413.3,422.56,413.3,418.35,3807
2024-04-25,413.3,418.35,413.3,416.67,4899
2024-04-28,423.4,431.82,416.67,422.39,7952
2024-04-29,430.13,430.13,416.75,420.03,4086
2024-04-30,411.7,429.29,411.7,429.29,9593
2024-05-02,437.71,437.71,425.08,428.45,11478
2024-05-05,430.98,433.5,420.88,420.88,9354
2024-05-06,429.29,429.29,419.19,420.45,6190
2024-05-07,419.11,420.88,416.67,416.67,5606
2024-05-08,412.04,418.35,398.15,416.25,23423
2024-05-09,424.16,429.29,414.14,420.88,7474
2024-05-12,420.88,426.77,420.88,426.77,12436
2024-05-13,420.88,434.34,420.88,424.58,7616
2024-05-14,429.29,432.66,424.07,427.61,6567
2024-05-15,427.61,437.71,412.46,423.4,35141
2024-05-16,414.98,424.24,414.98,415.4,9905
2024-05-19,423.65,446.13,417.59,436.03,27627
2024-05-20,436.03,444.36,427.61,432.58,17558
2024-05-21,425.93,440.66,425.93,438.05,11444
2024-05-22,441.16,441.16,427.36,427.95,15491
2024-05-26,427.61,441.92,421.3,426.77,13928
2024-05-27,424.24,430.98,421.04,428.45,9048
2024-05-29,421.8,436.03,420.2,420.88,10534
2024-05-30,420.03,429.29,413.3,420.45,11143
2024-06-02,428.45,428.45,419.95,425.08,7734
2024-06-03,432.66,432.66,420.96,421.72,8434
2024-06-04,421.72,427.95,418.35,424.66,10687
2024-06-05,425.08,431.82,417.51,423.4,7125
2024-06-06,417.85,425.93,416.75,420.03,10049
2024-06-09,416.67,424.24,415.82,417.51,9001
2024-06-10,413.47,420.88,413.47,416.67,8729
