timestamp,open,high,low,close,volume
2015-06-04,122.18,120.58,120.58,120.58,10
2015-06-07,120.58,122.64,120.58,120.81,3130
2015-06-08,120.81,119.9,117.38,117.61,794
2015-06-09,117.61,120.35,118.75,120.35,548
2015-06-11,120.35,118.98,118.98,118.98,10
2015-06-23,117.38,117.38,115.78,115.78,412
2015-06-24,117.38,117.38,114.18,114.18,600
2015-06-29,114.18,121.95,114.18,121.95,2733
2015-06-30,123.55,127.89,123.32,127.89,5305
2015-07-01,129.04,131.55,127.89,128.58,3482
2015-07-02,128.35,128.35,121.95,121.95,634
2015-07-06,121.72,122.41,121.72,122.41,732
2015-07-07,121.04,121.04,121.04,121.04,155
2015-07-08,119.44,119.44,119.44,119.44,61
2015-07-09,121.04,121.04,121.04,121.04,200
2015-07-12,119.9,121.04,119.44,119.44,530
2015-07-13,117.84,119.21,116.47,119.21,2385
2015-07-14,117.61,117.61,117.61,117.61,310
2015-07-15,116.47,118.75,115.33,118.75,4147
2015-07-16,118.75,118.75,115.33,115.33,3017
2015-07-22,115.33,115.33,112.81,114.18,990
2015-07-23,114.18,114.41,114.18,114.18,385
2015-07-26,114.18,117.15,115.56,117.15,23
2015-07-27,117.15,118.75,117.61,117.61,257
2015-07-28,117.61,116.47,114.18,114.18,1313
2015-07-29,114.18,114.87,114.87,114.87,200
2015-07-30,114.87,116.24,114.18,116.24,583
2015-08-03,116.24,114.64,111.9,111.9,1003
2015-08-04,111.9,113.04,113.04,113.04,300
2015-08-05,113.04,112.81,111.67,112.81,1094
2015-08-06,112.81,114.18,113.04,113.04,547
2015-08-09,113.04,113.04,112.36,112.36,1795
2015-08-12,113.04,114.64,113.04,114.64,853
2015-08-13,116.01,116.01,116.01,116.01,31
2015-08-16,117.61,120.35,117.61,120.35,727
2015-08-17,121.95,128.81,121.95,128.81,6482
2015-08-18,130.18,134.06,129.04,134.06,12961
2015-08-19,134.75,143.89,134.75,143.89,7292
2015-08-20,145.94,148.0,145.03,145.03,3177
2015-08-23,142.97,145.94,142.75,145.94,3301
2015-08-24,148.0,150.06,145.03,145.03,4238
2015-08-25,142.97,143.89,140.69,142.75,1073
2015-08-26,143.89,145.49,142.75,144.57,4575
2015-08-27,146.17,149.6,146.17,148.69,12853
2015-08-31,147.54,149.6,146.17,149.6,5463
2015-09-01,149.6,147.32,144.12,144.12,689
2015-09-02,142.06,142.06,140.46,140.46,840
2015-09-03,138.4,138.4,138.4,138.4,100
2015-09-06,140.46,140.46,138.4,138.63,868
2015-09-07,136.8,136.8,136.58,136.58,1139
2015-09-08,137.49,137.49,137.26,137.26,893
2015-09-09,139.09,139.55,137.26,137.26,2315
2015-09-10,137.26,137.26,135.21,137.03,5503
2015-09-13,135.89,136.35,135.89,136.35,605
2015-09-14,135.89,135.89,135.66,135.66,3300
2015-09-16,135.89,137.49,134.06,137.49,2075
2015-09-17,139.32,139.32,137.03,137.03,1720
2015-09-22,136.12,136.12,134.29,134.29,537
2015-09-23,132.46,132.46,131.32,131.32,656
2015-09-24,131.78,132.46,131.78,132.46,210
2015-09-28,131.32,131.32,131.32,131.32,454
2015-09-30,131.32,131.32,131.32,131.32,2493
2015-10-01,130.18,130.18,130.18,130.18,17
2015-10-05,128.81,129.04,128.81,129.04,411
2015-10-06,129.04,129.04,129.04,129.04,161
2015-10-08,127.21,127.21,125.38,126.98,1172
2015-10-11,125.15,125.15,123.55,123.55,1593
2015-10-14,125.15,125.15,125.15,125.15,385
2015-10-15,123.78,124.92,123.78,124.92,1044
2015-10-28,123.32,123.32,123.32,123.32,580
2015-10-29,122.18,122.18,121.04,121.04,547
2015-11-01,119.44,119.44,118.75,118.75,719
2015-11-02,120.35,120.35,118.98,118.98,1758
2015-11-04,118.53,118.53,118.53,118.53,55
2015-11-05,120.12,120.12,120.12,120.12,14
2015-11-09,120.12,121.72,120.12,121.72,176
2015-11-16,123.32,123.32,123.32,123.32,110
2015-11-18,121.72,126.52,121.72,125.84,1542
2015-11-19,125.84,126.75,125.84,126.07,1546
2015-11-23,124.47,124.47,122.87,123.32,408
2015-11-24,123.32,123.32,122.64,122.64,251
2015-11-25,122.87,124.24,122.64,124.24,327
2015-11-26,122.64,122.64,122.64,122.64,220
2015-12-01,122.64,126.75,123.1,126.75,1830
2015-12-02,124.92,126.52,123.55,126.29,2351
2015-12-04,118.07,121.04,118.07,121.04,323
2015-12-07,120.12,121.04,119.9,121.04,398
2015-12-08,119.67,121.27,119.67,121.27,593
2015-12-09,122.87,124.47,122.87,124.47,1297
2015-12-10,123.32,123.32,123.32,123.32,133
2015-12-13,124.47,124.92,124.47,124.92,477
2015-12-14,123.32,124.47,123.32,124.47,753
2015-12-15,126.07,133.38,126.07,133.38,9766
2015-12-16,135.21,142.52,132.46,133.61,6112
2015-12-17,132.46,138.86,132.46,136.8,2592
2015-12-20,137.95,140.23,139.78,140.23,228
2015-12-21,140.23,138.18,136.12,136.12,906
2015-12-22,137.95,137.95,134.29,134.29,476
2015-12-23,134.29,132.46,132.46,132.46,254
2015-12-24,134.29,142.06,134.29,142.06,13615
2015-12-25,140.0,149.14,140.0,145.49,6755
2015-12-28,145.49,147.54,142.75,147.54,4369
2015-12-29,147.54,153.03,149.14,151.89,9773
2015-12-31,154.17,163.54,153.71,163.54,17000
2016-01-03,166.05,176.33,166.05,176.33,22068
2016-01-04,176.33,179.08,170.16,173.59,17659
2016-01-05,170.85,170.85,166.74,166.97,5747
2016-01-06,164.45,165.59,160.8,165.59,8299
2016-01-07,167.88,172.45,165.59,166.51,4227
2016-01-10,166.51,165.59,161.02,163.54,14912
2016-01-11,161.02,161.02,159.88,160.11,3152
2016-01-12,162.4,162.4,158.51,160.34,2327
2016-01-13,160.34,162.62,162.62,162.62,200
2016-01-14,165.14,169.02,165.14,169.02,220
2016-03-02,171.54,182.27,171.54,182.27,70
2016-03-03,185.02,196.9,185.02,196.9,446
2016-03-06,200.1,212.89,200.1,212.89,1353
2016-03-10,216.32,230.49,216.32,230.49,470
2016-03-13,234.37,249.91,230.49,249.91,46543
2016-03-14,250.82,250.82,235.28,241.91,12331
2016-03-15,237.8,240.54,227.29,238.71,12907
2016-03-16,239.85,239.85,230.94,232.54,3614
2016-03-17,228.66,233.0,226.15,227.97,13574
2016-03-20,230.94,230.94,226.15,226.15,891
2016-03-21,227.29,233.0,226.15,226.15,5307
2016-03-23,223.86,223.86,214.95,215.86,1673
2016-03-24,215.86,214.72,205.81,213.58,6757
2016-03-27,213.58,213.35,203.52,206.72,14104
2016-03-28,206.72,213.58,202.38,210.15,8180
2016-03-29,213.58,219.29,212.44,215.86,6657
2016-03-30,215.86,217.23,212.44,212.44,1376
2016-03-31,212.44,209.01,206.72,206.72,440
2016-04-03,206.72,208.32,200.1,208.32,1419
2016-04-04,208.32,207.18,206.95,207.18,308
2016-04-05,210.61,213.58,210.61,211.29,1401
2016-04-10,211.29,209.01,205.58,205.58,159
2016-04-11,205.58,204.44,199.18,204.44,1530
2016-04-12,204.44,205.58,201.47,205.58,2969
2016-04-14,205.58,212.44,205.58,209.01,2564
2016-04-17,206.72,212.44,205.58,212.44,2866
2016-04-18,212.44,220.2,214.72,220.2,5411
2016-04-19,220.2,217.92,215.41,215.41,1777
2016-04-20,215.41,220.43,215.86,215.86,1044
2016-04-24,215.86,218.15,212.44,218.15,4704
2016-04-25,218.15,222.49,214.49,222.49,12863
2016-04-26,222.49,221.8,212.44,218.15,3599
2016-04-27,218.15,218.15,214.95,214.95,1305
2016-04-28,214.95,218.15,213.58,218.15,8781
2016-05-02,218.15,216.78,213.81,216.78,1097
2016-05-03,216.78,213.35,211.29,211.29,1360
2016-05-04,211.29,214.72,211.29,211.29,2188
2016-05-05,211.29,213.58,209.01,213.35,4008
2016-05-10,216.78,223.86,216.78,222.49,19005
2016-05-11,222.72,231.86,224.77,228.43,20127
2016-05-12,231.86,236.66,231.86,234.14,4305
2016-05-15,235.74,251.51,235.74,251.51,43374
2016-05-16,251.51,266.13,251.51,256.99,60785
2016-05-17,259.28,259.28,250.14,250.14,28317
2016-05-18,250.14,262.7,252.42,260.65,24902
2016-05-19,260.65,272.99,261.33,270.47,33535
2016-05-22,270.47,293.78,275.04,293.78,30687
2016-05-23,293.78,316.17,284.41,314.11,39261
2016-05-24,314.11,320.97,304.97,308.4,21164
2016-05-25,308.4,311.83,298.12,301.55,21199
2016-05-26,301.55,311.37,291.27,307.26,26145
2016-05-29,307.26,334.45,312.51,328.97,22889
2016-05-30,328.97,332.39,318.91,320.97,14122
2016-05-31,320.97,325.54,309.54,309.54,13329
2016-06-01,309.54,310.92,300.4,309.54,17032
2016-06-02,309.54,311.83,304.29,307.26,6048
2016-06-05,307.26,309.54,292.86,292.86,14298
2016-06-06,292.86,306.12,297.89,301.55,18078
2016-06-07,306.12,318.68,305.89,313.2,12768
2016-06-08,313.2,335.82,317.54,334.68,34226
2016-06-09,340.62,364.61,340.39,364.38,52481
2016-06-12,364.38,378.09,346.1,362.33,31705
2016-06-13,362.33,368.72,355.24,360.04,11709
2016-06-14,359.81,371.01,359.58,371.01,15256
2016-06-15,372.38,396.6,372.38,396.37,28301
2016-06-16,396.37,432.47,403.23,432.47,38607
2016-06-19,432.47,431.56,403.23,421.51,32210
2016-06-20,421.51,419.45,403.45,407.11,21800
2016-06-21,407.11,414.65,410.08,410.54,10848
2016-06-22,417.85,425.39,414.65,422.19,13301
