timestamp,open,high,low,close,volume
2025-05-27,289.3,318.2,289.3,318.2,120
2025-05-28,321.3,350.0,321.3,350.0,140
2025-06-02,357.0,385.0,357.0,385.0,270
2025-06-03,381.7,423.5,381.7,423.5,270
2025-06-04,431.9,465.8,431.9,465.8,260
2025-06-05,475.1,512.3,475.1,512.3,400
2025-06-08,522.1,563.5,522.1,563.5,580
2025-06-09,574.7,619.8,574.7,619.8,610
2025-06-10,632.1,681.7,632.1,681.7,570
2025-06-11,695.3,749.8,695.3,749.8,640
2025-06-12,739.7,824.7,739.7,824.7,1940
2025-06-15,841.1,907.1,841.1,907.1,10620
