timestamp,open,high,low,close,volume
2022-04-24,325.82,350.23,314.65,346.48,42689
2022-04-25,347.42,367.23,333.43,341.78,40067
2022-04-26,341.78,347.42,330.61,338.03,9931
2022-04-27,333.33,343.66,330.52,331.55,18493
2022-04-28,333.33,341.88,323.94,324.04,20375
2022-05-02,319.25,323.85,306.57,309.2,17058
2022-05-04,312.68,318.87,302.82,302.82,17314
2022-05-05,300.47,307.04,290.14,290.14,21812
2022-05-08,292.96,301.41,284.51,301.41,14042
2022-05-09,307.04,313.62,296.43,306.1,17125
2022-05-10,308.92,315.49,307.04,313.62,10860
2022-05-11,319.25,334.27,312.86,334.27,16762
2022-05-12,338.03,346.48,322.07,328.64,34863
2022-05-17,322.07,322.07,305.16,308.92,12474
2022-05-18,303.29,319.25,297.65,309.86,11460
2022-05-19,305.16,313.62,299.15,303.29,12770
2022-05-20,301.41,306.1,294.65,300.28,12081
2022-05-23,306.2,306.2,290.14,290.14,8592
2022-05-24,295.77,307.61,290.14,295.77,5831
2022-05-25,301.41,306.1,294.84,299.53,7316
2022-05-26,294.84,302.35,291.08,291.36,13001
2022-05-27,292.96,299.53,287.23,292.02,15065
2022-05-30,292.96,293.9,285.26,286.38,13789
2022-05-31,291.08,292.02,277.09,279.81,10867
2022-06-01,285.35,287.32,275.12,283.1,16484
2022-06-02,286.38,287.32,279.06,280.75,6567
2022-06-03,280.75,286.29,272.3,276.06,12960
2022-06-06,276.06,287.04,272.49,281.69,11225
2022-06-07,279.81,280.75,267.61,269.95,20333
2022-06-08,269.48,286.38,269.48,281.69,14889
2022-06-09,287.32,290.14,270.42,276.06,16688
2022-06-10,271.36,277.0,267.61,270.42,8688
2022-06-13,273.24,275.12,270.42,270.42,3922
2022-06-14,273.71,273.71,259.15,259.15,9044
2022-06-15,256.53,263.85,243.0,248.83,13752
2022-06-16,248.83,263.38,240.85,253.52,12600
2022-06-17,258.22,258.59,251.64,253.52,4287
2022-06-19,249.3,249.3,236.62,236.62,14554
2022-06-20,235.68,241.31,224.51,228.64,19602
2022-06-21,228.17,246.95,228.17,240.38,21555
2022-06-22,235.68,245.07,223.66,230.05,14716
2022-06-23,225.45,225.45,216.24,221.6,16761
2022-06-24,217.18,234.74,208.64,225.35,18368
2022-06-26,229.86,247.89,226.29,247.89,25610
2022-06-27,252.58,267.61,234.74,234.74,26546
2022-06-28,234.74,242.25,230.05,237.56,17899
2022-06-29,232.86,259.15,232.86,253.52,27632
2022-06-30,258.22,278.87,258.12,277.93,54435
2022-07-01,280.75,291.92,266.67,280.75,38279
2022-07-03,275.31,301.31,275.31,296.71,47907
2022-07-04,296.71,315.77,283.47,290.14,68410
2022-07-05,284.51,304.23,277.0,277.93,46665
2022-07-06,282.63,302.35,268.54,295.77,48083
2022-07-07,301.41,313.62,287.32,291.08,30518
2022-07-08,290.14,290.14,279.81,280.75,25772
2022-07-11,276.06,276.9,259.15,262.44,41436
2022-07-12,267.14,268.54,256.34,262.91,24974
2022-07-13,268.17,289.2,267.61,289.2,43976
2022-07-14,294.84,301.41,281.69,295.31,43639
2022-07-15,291.08,294.65,284.04,291.08,15515
2022-07-17,285.45,295.77,285.45,289.2,17317
2022-07-18,289.2,296.9,285.54,294.84,15231
2022-07-19,299.53,309.58,296.71,297.65,35481
2022-07-20,300.47,312.58,294.84,297.75,37041
2022-07-21,298.59,307.04,296.71,298.59,21665
2022-07-22,300.47,300.47,289.39,292.02,21208
2022-07-24,286.38,321.13,286.38,320.19,70771
2022-07-25,326.57,352.21,320.19,349.3,103611
2022-07-26,353.99,356.81,329.58,335.21,90312
2022-07-27,328.64,349.58,324.88,349.58,77720
2022-07-28,355.87,368.08,338.03,356.81,99853
2022-07-29,363.29,366.2,349.67,356.71,37389
2022-07-31,357.75,366.2,345.54,346.48,63823
2022-08-01,347.42,356.81,339.91,347.42,63673
2022-08-02,353.99,366.2,347.42,358.69,89240
2022-08-03,361.5,375.59,354.37,365.26,83212
2022-08-04,361.5,370.89,352.11,356.81,86884
2022-08-05,350.33,362.44,348.83,350.23,78508
2022-08-07,343.66,357.65,343.66,355.87,47623
2022-08-08,362.44,365.82,345.54,345.54,54754
2022-08-09,341.78,358.69,338.03,338.03,69629
2022-08-10,341.78,347.23,335.49,337.18,32944
2022-08-11,336.15,348.36,330.52,335.21,20545
2022-08-14,335.21,335.4,319.25,324.88,19393
2022-08-15,319.34,347.42,318.4,345.54,49571
2022-08-16,351.17,358.69,336.15,342.72,59501
2022-08-17,344.23,349.3,338.03,344.6,23518
2022-08-18,348.36,353.99,344.6,350.23,35295
2022-08-21,356.81,356.81,340.66,344.6,15368
2022-08-22,346.48,347.42,333.52,340.85,20761
2022-08-23,342.63,342.72,333.33,338.03,9975
2022-08-24,342.72,346.48,334.27,339.81,11278
2022-08-25,344.6,344.6,325.92,332.3,20979
2022-08-26,331.46,332.11,319.25,319.72,20411
2022-08-28,315.49,322.07,309.86,309.86,27332
2022-08-29,309.86,330.42,308.92,330.42,19118
2022-08-30,331.36,331.92,318.4,326.57,9835
2022-08-31,326.76,326.76,309.86,309.86,10041
2022-09-01,304.32,319.15,303.29,309.86,26582
2022-09-02,315.49,317.37,309.86,312.68,5625
2022-09-04,316.43,319.25,311.92,312.68,9598
2022-09-05,316.43,318.78,309.3,312.68,41677
2022-09-06,314.55,314.55,302.35,302.44,14762
2022-09-07,299.62,303.29,298.59,302.35,6655
2022-09-08,297.65,320.19,295.87,308.92,20189
2022-09-11,312.58,312.58,298.59,300.47,9862
2022-09-12,298.59,301.41,295.77,296.71,13140
2022-09-13,302.35,307.98,298.59,307.04,16710
2022-09-14,312.58,326.76,307.98,324.88,27249
2022-09-15,319.34,323.94,301.41,303.29,26585
2022-09-16,297.65,307.98,293.05,306.95,17072
2022-09-18,311.74,311.74,292.02,292.02,16655
2022-09-20,287.32,292.11,277.18,280.75,16720
2022-09-21,286.29,291.08,281.6,287.32,13191
2022-09-22,281.69,288.26,277.0,277.0,8165
2022-09-25,273.24,281.5,269.01,269.11,8650
2022-09-27,272.3,282.63,272.3,278.87,6453
2022-09-28,274.18,282.54,274.18,279.81,1512
2022-09-29,281.69,281.69,277.0,279.81,5470
2022-10-09,285.35,293.99,281.69,293.99,5651
2022-10-10,295.77,295.77,281.69,283.57,13070
2022-10-11,281.69,281.69,277.93,280.66,3967
2022-10-12,275.12,292.96,275.12,290.99,9885
2022-10-13,294.84,295.77,285.45,291.08,9391
2022-10-16,294.84,300.56,280.75,300.56,12377
2022-10-17,294.55,294.55,284.6,286.38,7061
2022-10-19,281.69,283.57,275.59,277.0,8882
2022-10-20,277.0,281.69,271.46,278.87,4132
2022-10-23,281.69,281.69,277.0,278.87,2788
