timestamp,open,high,low,close,volume
2021-05-03,255.84,275.96,255.84,275.96,50
2021-05-04,280.99,303.27,280.99,303.27,1759
2021-05-05,309.02,326.27,309.02,326.27,40
2021-05-06,332.73,358.61,332.73,358.61,300
2021-05-09,375.85,393.82,375.85,393.82,800
2021-05-10,413.22,432.63,413.22,432.63,1040
2021-05-11,454.19,475.75,454.19,475.75,2386
2021-05-12,499.46,523.18,499.46,523.18,1100
2021-05-13,549.05,574.92,549.05,574.92,2030
2021-05-16,603.67,632.41,603.67,632.41,4169
2021-05-17,664.03,695.65,664.03,695.65,9826
2021-05-18,730.15,764.64,730.15,764.64,7325
2021-05-19,802.73,840.82,802.73,840.82,3350
2021-05-20,882.5,924.9,756.74,808.48,44213
2021-05-23,847.29,847.29,740.21,778.3,10376
2021-05-24,778.3,791.23,750.99,763.21,12738
2021-05-25,763.21,784.05,756.02,771.11,5907
2021-05-27,754.58,779.73,754.58,779.73,4868
2021-05-30,789.8,790.51,754.58,756.02,5325
2021-05-31,754.58,768.95,726.55,730.15,8268
2021-06-01,718.65,729.43,718.65,717.93,6065
2021-06-02,740.93,740.93,695.65,740.21,2625
2021-06-03,725.84,753.14,714.34,727.27,1684
2021-06-06,718.65,733.74,713.62,715.77,3992
2021-06-07,700.68,742.36,700.68,711.46,3880
2021-06-08,719.37,733.74,705.71,710.03,3180
2021-06-09,707.87,718.65,707.87,718.65,1821
2021-06-10,718.65,718.65,718.65,695.65,11978
2021-06-13,718.65,721.52,699.25,697.09,5710
2021-06-14,704.28,717.93,687.03,699.96,3620
2021-06-15,694.21,694.21,677.69,682.72,4493
2021-06-16,661.88,692.06,636.0,656.85,3420
2021-06-17,647.5,685.59,638.88,682.72,4414
2021-06-20,669.78,718.65,664.75,704.28,8256
2021-06-21,704.28,704.28,673.37,685.59,3410
2021-06-22,686.31,712.18,672.66,683.44,3954
2021-06-23,683.44,689.9,670.5,672.66,1115
2021-06-24,661.16,693.5,661.16,689.9,2380
2021-06-27,724.4,724.4,669.06,692.78,3500
2021-06-28,692.78,697.09,670.5,682.72,710
2021-06-29,675.53,675.53,657.56,664.75,1330
2021-06-30,661.88,677.69,651.81,666.19,1608
2021-07-01,653.25,675.53,640.32,672.66,4440
2021-07-04,659.72,661.16,647.5,656.13,1629
2021-07-05,645.35,653.97,643.19,650.38,1966
2021-07-06,650.38,679.12,641.03,653.97,1340
2021-07-07,641.75,651.81,641.75,651.81,600
2021-07-08,651.81,664.75,643.91,648.22,2672
2021-07-11,647.5,668.34,646.78,653.25,2120
2021-07-12,657.56,661.16,648.22,648.94,2670
2021-07-13,648.94,653.97,646.78,653.97,771
2021-07-14,646.78,666.91,646.78,657.56,1305
2021-07-15,650.38,668.34,646.78,651.1,4000
2021-07-18,664.1,675.53,646.78,674.81,2851
2021-07-19,668.34,668.34,655.41,661.16,1119
2021-07-20,648.94,673.37,648.94,668.34,1060
2021-07-22,679.12,718.65,676.25,694.93,16210
2021-07-25,708.59,708.59,680.56,694.93,5781
2021-07-26,686.31,697.09,682.72,682.79,2890
2021-07-27,675.53,725.84,675.53,701.47,5827
2021-07-28,715.06,736.62,700.68,720.09,6938
2021-07-29,706.43,718.36,693.5,717.93,4385
2021-08-01,717.93,722.24,690.62,710.74,5907
2021-08-02,722.24,722.24,700.68,704.28,2335
2021-08-03,718.36,774.7,716.49,774.7,17893
2021-08-04,790.15,852.17,790.15,828.31,14963
2021-08-05,827.88,835.64,779.81,790.51,12292
2021-08-08,775.42,804.89,761.77,790.51,6768
2021-08-09,775.78,808.48,775.78,797.7,5454
2021-08-10,801.29,822.06,779.73,790.51,8160
2021-08-11,776.14,869.57,776.14,869.57,19474
2021-08-12,886.96,956.52,886.81,956.52,14822
2021-08-15,973.77,1006.11,892.56,1004.67,23547
2021-08-16,1005.39,1105.14,946.1,1099.53,15796
2021-08-17,1121.52,1209.49,1121.52,1209.49,11943
2021-08-18,1209.49,1272.01,1104.35,1272.01,20233
2021-08-19,1297.16,1328.93,1144.81,1302.91,24376
2021-08-24,1276.9,1276.9,1172.62,1172.62,4658
2021-08-25,1149.19,1149.19,1055.41,1113.91,26750
2021-08-26,1117.5,1194.39,1007.55,1194.39,20481
2021-08-29,1170.54,1170.54,1074.96,1074.96,22376
