timestamp,open,high,low,close,volume
2025-07-20,359.0,394.9,359.0,394.9,350
2025-07-21,388.7,434.3,388.7,434.3,450
2025-07-22,442.9,477.7,442.9,477.7,500
2025-07-23,487.2,525.4,487.2,525.4,710
2025-07-24,535.9,577.9,535.9,577.9,690
2025-07-27,589.4,635.6,589.4,635.6,1170
2025-07-28,648.0,699.1,648.0,699.1,2644
2025-07-29,713.0,769.0,713.0,769.0,3416
2025-07-30,784.3,845.9,784.3,845.9,4200
2025-07-31,862.8,930.4,845.9,891.5,279583
2025-08-03,900.0,900.0,802.4,802.4,216419
2025-08-04,787.0,830.0,729.0,778.73,185618
2025-08-05,770.0,800.0,753.0,760.53,47554
2025-08-06,775.0,812.0,751.0,794.65,54477
2025-08-07,790.0,800.0,770.0,773.14,54284
2025-08-11,773.7,773.7,741.9,747.32,56104
2025-08-12,745.0,748.0,721.0,723.42,48465
2025-08-13,715.4,729.0,710.2,713.54,28119
2025-08-14,713.0,719.0,703.0,704.89,33064
2025-08-17,700.0,705.0,670.2,673.74,52306
2025-08-18,670.0,690.0,661.0,680.44,25769
