timestamp,open,high,low,close,volume
2026-08-13,309.0,345.0,309.0,345.0,70
2026-08-14,358.8,396.7,358.8,396.7,60
2026-08-17,416.3,456.2,416.3,456.2,160
2026-08-18,470.1,524.6,470.1,524.6,150
2026-08-19,553.8,603.2,553.8,603.2,190
2026-08-20,621.2,693.6,621.2,693.6,180
2026-08-21,714.4,797.6,714.4,797.6,400
2026-08-24,862.1,917.2,862.1,917.2,960
2026-08-25,944.5,1054.7,944.5,1054.7,1420
2026-08-26,1086.6,1212.9,1086.6,1212.9,1820
2026-08-27,1311.7,1394.8,1311.7,1394.8,4690
2026-08-31,1508.4,1604.0,1276.0,1276.0,115467
2026-09-01,1250.0,1340.0,1238.0,1253.0,51350
2026-09-02,1238.0,1270.0,1221.2,1230.0,26980
2026-09-03,1220.0,1228.0,1175.0,1210.0,34865
