timestamp,open,high,low,close,volume
2024-03-19,519.63,571.59,519.63,571.59,2442
2024-03-20,579.16,628.69,579.16,628.69,2256
2024-03-21,641.21,691.5,641.21,691.5,7395
2024-03-25,705.23,760.56,705.23,760.56,26885
2024-03-26,775.7,836.54,775.7,836.54,28753
2024-03-27,853.27,920.19,853.27,920.19,22885
2024-03-28,938.5,1012.15,938.5,1011.87,178925
2024-03-31,991.68,991.68,910.75,910.75,290136
2024-04-01,892.62,906.54,824.3,879.44,514411
2024-04-02,897.01,897.01,851.87,864.49,103439
2024-04-03,864.49,869.16,836.64,836.92,139901
2024-04-04,829.91,829.91,787.85,787.94,211907
2024-04-07,775.7,838.32,775.61,823.36,115268
2024-04-09,836.45,836.45,800.0,803.74,73522
2024-04-10,819.81,819.81,786.92,791.59,67378
2024-04-14,777.57,789.72,765.7,767.29,68974
2024-04-15,767.29,780.37,748.6,751.4,47047
2024-04-16,751.4,760.75,744.86,746.73,57174
2024-04-18,742.06,744.86,717.57,717.57,67132
2024-04-21,714.95,772.15,705.89,764.49,99476
2024-04-22,775.7,778.5,743.93,744.39,71892
2024-04-24,744.39,760.75,739.25,747.57,34086
2024-04-25,762.43,762.43,733.64,734.58,29537
2024-04-28,747.66,747.66,734.67,738.32,27398
2024-04-29,738.41,743.08,729.07,729.91,26742
2024-04-30,738.32,747.66,726.17,734.49,51416
2024-05-02,736.45,745.79,725.14,725.23,41060
2024-05-05,725.23,738.22,710.28,715.89,39044
2024-05-06,712.15,724.3,710.47,715.79,32433
2024-05-07,729.91,729.91,705.61,707.48,37466
2024-05-08,708.41,710.28,692.52,700.93,36896
2024-05-09,700.93,710.28,696.45,696.45,26605
2024-05-12,698.13,733.55,694.39,721.59,69237
2024-05-13,721.59,727.1,710.37,714.95,17153
2024-05-14,728.04,728.04,714.95,719.63,22078
2024-05-15,725.23,754.21,723.36,738.32,84415
2024-05-16,735.51,761.68,735.51,757.01,61620
2024-05-19,772.15,786.45,754.3,775.7,62629
2024-05-20,783.18,797.66,765.42,766.36,121905
2024-05-21,769.35,781.21,758.41,758.41,48249
2024-05-22,763.55,771.03,757.01,757.29,40109
2024-05-26,757.01,772.43,749.53,752.34,48335
2024-05-27,760.75,790.19,753.27,764.49,70092
2024-05-29,779.72,820.28,766.36,801.12,165091
2024-05-30,811.21,811.21,783.18,793.46,59600
2024-06-02,809.25,809.25,778.5,780.37,54789
2024-06-03,789.72,789.72,770.09,771.96,39665
2024-06-04,756.54,789.72,756.54,770.09,30969
2024-06-05,785.42,785.42,756.07,756.07,40046
2024-06-06,755.23,771.03,752.43,754.21,48669
2024-06-09,757.94,765.42,754.21,755.61,33305
2024-06-10,756.92,767.29,755.14,758.97,34623
