timestamp,open,high,low,close,volume
2012-01-01,92.96,94.82,93.7,94.82,1032
2012-01-02,94.82,97.42,95.93,97.42,592
2012-01-03,97.42,100.39,98.9,99.09,1124
2012-01-04,99.09,97.6,97.6,97.6,86
2012-01-05,97.6,97.42,96.12,96.12,484
2012-01-08,96.12,96.49,95.75,95.93,600
2012-01-09,95.93,97.42,97.05,97.05,503
2012-01-10,97.05,98.53,96.49,98.53,1052
2012-01-11,98.53,100.02,100.02,100.02,20
2012-01-12,100.02,99.83,98.35,99.09,384
2012-01-18,99.09,100.02,100.02,100.02,50
2012-01-22,100.2,100.39,98.9,100.2,1780
2012-01-23,100.2,99.27,99.27,99.27,109
2012-01-25,99.27,97.79,95.19,95.19,268
2012-01-26,95.19,93.7,91.85,91.85,65867
2012-01-29,91.85,96.3,93.33,95.0,293
2012-01-31,95.0,96.86,96.3,96.86,593
2012-02-01,96.86,96.49,96.49,96.49,1569
2012-02-05,96.49,97.79,96.49,96.68,325
2012-02-06,96.68,96.49,95.56,95.56,576
2012-02-07,95.56,97.05,95.56,95.93,491
2012-02-08,95.93,92.03,92.03,92.03,28000
2012-02-12,92.03,95.56,93.52,95.0,925
2012-02-13,95.0,95.93,94.82,95.75,254
2012-02-14,95.75,96.49,95.56,95.75,462
2012-02-15,95.75,94.82,94.82,94.82,328
2012-02-16,94.82,93.33,93.33,93.33,2286
2012-02-21,93.33,94.82,93.33,94.45,2792
2012-02-23,94.45,94.82,93.33,94.82,2130
2012-02-26,94.82,97.05,95.56,95.93,710
2012-02-27,95.93,96.49,94.08,95.93,2776
2012-02-28,95.93,97.42,96.68,97.42,644
2012-02-29,97.42,98.9,96.49,98.9,2511
2012-03-01,98.9,98.35,96.68,98.35,3453
2012-03-04,98.35,98.16,96.3,97.79,3314
2012-03-05,97.79,99.46,96.49,99.46,2697
2012-03-06,99.46,99.27,97.97,99.27,2150
2012-03-11,99.27,98.35,95.75,96.49,3241
2012-03-12,96.49,97.97,95.75,95.93,1486
2012-03-13,95.93,96.12,96.12,96.12,120
2012-03-14,96.12,97.42,96.49,97.23,573
2012-03-15,97.23,96.49,96.3,96.49,564
2012-03-18,96.49,97.23,96.12,96.68,1180
2012-03-19,96.68,97.23,96.49,97.23,238
2012-03-20,97.23,98.35,96.86,96.86,586
2012-03-21,96.86,97.23,95.38,97.23,527
2012-03-25,97.23,95.93,95.93,95.93,730
2012-03-26,95.93,96.68,96.68,96.68,27
2012-03-27,96.68,96.49,95.38,96.49,568
2012-03-29,96.49,96.68,95.93,95.93,200
2012-04-01,95.93,96.86,95.93,96.49,597
2012-04-02,96.49,96.49,96.3,96.3,340
2012-04-03,96.3,97.05,95.93,97.05,658
2012-04-04,97.05,97.42,96.49,96.86,262
2012-04-05,96.86,96.86,96.86,96.86,33
2012-04-08,96.86,99.65,97.05,98.35,1169
2012-04-09,98.35,99.27,99.09,99.09,265
2012-04-10,99.09,103.73,96.49,103.73,2534
2012-04-11,103.73,107.26,102.06,102.06,1562
2012-04-12,102.06,107.07,102.25,105.77,1874
2012-04-15,105.77,112.64,107.44,112.64,1354
2012-04-16,112.64,119.89,114.13,119.89,4480
2012-04-17,119.89,126.01,114.13,114.13,3510
2012-04-18,114.13,120.63,108.56,118.77,2143
2012-04-19,118.77,124.71,118.77,122.49,5585
2012-04-22,122.49,127.87,123.04,127.13,3173
2012-04-24,127.13,138.08,129.17,138.08,3245
2012-04-25,138.08,149.97,140.31,149.97,1132
2012-04-26,149.97,159.44,140.13,149.78,10322
2012-04-29,149.78,151.27,144.02,146.81,5553
2012-04-30,146.81,144.77,138.64,141.61,1541
2012-05-02,141.61,139.2,135.11,135.11,467
2012-05-03,135.11,146.81,137.34,146.81,4084
2012-05-07,146.81,149.22,149.22,149.22,100
2012-05-08,149.22,158.69,141.98,146.81,3949
2012-05-09,146.81,145.7,141.98,142.35,2445
2012-05-10,142.35,142.35,135.3,141.8,6955
2012-05-13,141.8,139.38,131.77,133.44,1522
2012-05-14,133.44,131.21,121.93,123.41,1243
2012-05-15,123.41,134.0,125.46,134.0,925
2012-05-16,134.0,145.51,136.23,145.51,2575
2012-05-17,145.51,152.01,140.5,140.5,6778
2012-05-20,140.5,142.91,136.04,139.75,3350
2012-05-21,139.75,144.77,136.78,143.65,6153
2012-05-22,143.65,141.8,138.27,139.57,5153
2012-05-23,139.57,137.15,128.98,128.98,964
2012-05-24,128.98,140.13,128.98,135.3,4405
2012-05-27,135.3,144.77,133.63,143.84,2938
2012-05-29,143.84,141.43,132.14,132.14,50
2012-05-30,132.14,126.57,120.81,120.81,291
2012-05-31,120.81,124.53,110.6,124.53,6445
2012-06-03,124.53,135.11,126.57,133.63,2391
2012-06-04,133.63,132.7,123.79,126.01,2792
2012-06-05,126.01,123.97,116.73,123.6,2074
2012-06-06,123.6,121.56,119.14,119.14,781
2012-06-07,119.14,123.6,120.44,121.56,823
2012-06-10,121.56,121.56,117.84,118.59,2614
2012-06-11,118.59,121.19,120.44,120.81,512
2012-06-12,120.81,125.27,116.91,122.49,1766
2012-06-13,122.49,122.3,120.44,120.81,906
2012-06-14,120.81,119.89,118.96,119.89,118
2012-06-17,119.89,119.7,117.84,118.21,1497
2012-06-18,118.21,120.63,116.91,120.63,1232
2012-06-19,120.63,120.07,118.59,120.07,2322
2012-06-20,120.07,122.11,120.44,120.44,697
2012-06-21,120.44,121.56,120.63,121.56,744
2012-06-25,121.56,127.13,121.93,127.13,901
2012-06-26,127.13,125.83,123.79,125.83,468
2012-06-27,125.83,130.66,127.5,128.98,2122
2012-06-28,128.98,135.3,130.84,132.14,2758
2012-07-01,132.14,130.84,129.91,130.84,2068
2012-07-02,130.84,132.51,129.91,132.51,976
2012-07-03,132.51,131.77,129.54,129.91,1264
2012-07-04,129.91,133.07,128.98,131.4,1983
2012-07-05,131.4,133.44,131.4,133.44,764
2012-07-08,133.44,134.55,131.77,134.55,1102
2012-07-09,134.55,134.0,132.33,133.07,1236
2012-07-10,133.07,135.3,131.77,134.55,2732
2012-07-11,134.55,137.15,134.55,137.15,1444
2012-07-12,137.15,135.48,133.26,135.48,2910
2012-07-16,135.48,136.41,133.26,133.26,640
2012-07-17,133.26,135.48,134.18,135.48,232
2012-07-18,135.48,135.67,133.26,135.67,222
2012-07-19,135.67,137.9,133.81,133.81,433
2012-07-22,133.81,139.75,133.81,138.08,6510
2012-07-23,138.08,142.91,140.13,140.5,3215
2012-07-24,140.5,140.13,136.41,137.15,3427
2012-07-25,137.15,137.34,136.23,136.23,917
2012-07-26,136.23,137.15,135.48,136.41,2199
2012-07-29,136.41,136.04,134.18,134.55,974
2012-07-30,134.55,134.93,132.7,134.37,1215
2012-07-31,134.37,136.04,131.77,136.04,1911
2012-08-01,136.04,136.41,136.41,136.41,19
2012-08-05,136.41,135.48,132.7,135.48,1702
2012-08-06,135.48,136.04,135.48,135.48,350
2012-08-07,135.48,137.34,135.48,135.48,326
2012-08-08,135.48,134.74,132.51,132.51,514
2012-08-12,132.51,132.51,128.98,131.03,1252
2012-08-13,131.03,133.07,130.47,133.07,390
2012-08-14,133.07,130.84,127.68,128.06,1030
2012-08-15,128.06,128.06,123.23,123.23,1008
2012-08-16,123.23,128.24,121.19,128.06,1398
2012-08-22,128.06,128.8,124.71,124.71,398
2012-08-23,124.71,126.01,124.53,125.27,2921
2012-08-26,125.27,123.6,122.3,122.3,10526
2012-08-27,122.3,126.01,124.16,126.01,445
2012-08-28,126.01,127.13,125.27,127.13,780
2012-08-29,127.13,126.2,125.08,126.2,546
2012-08-30,126.2,124.53,123.23,123.41,782
2012-09-02,123.41,125.27,121.74,125.27,1468
2012-09-03,125.27,123.41,122.11,123.41,309
2012-09-04,123.41,125.46,124.34,124.34,607
2012-09-05,124.34,123.41,121.56,123.23,1297
2012-09-06,123.23,127.13,123.41,125.27,2469
2012-09-09,125.27,124.34,123.41,123.41,4314
2012-09-10,123.41,125.27,121.19,125.27,1250
2012-09-11,125.27,126.01,125.27,125.46,1265
2012-09-12,125.46,125.64,125.27,125.27,174
2012-09-13,125.27,126.38,125.83,126.38,351
2012-09-16,126.38,126.2,124.34,125.83,1845
2012-09-17,125.83,126.2,125.08,125.08,1620
2012-09-18,125.08,129.17,127.13,128.98,1561
2012-09-19,128.98,128.98,128.06,128.06,435
2012-09-20,128.06,127.13,126.76,126.94,844
2012-09-23,126.94,125.27,123.41,125.08,730
2012-09-24,125.08,127.13,123.41,123.41,2421
2012-09-25,123.41,125.83,122.67,125.83,1097
2012-09-26,125.83,124.9,123.04,124.9,2101
2012-09-27,124.9,124.34,121.37,123.6,1861
2012-09-30,136.85,134.55,134.55,134.55,100
2012-10-01,134.55,122.02,121.6,121.81,742
2012-10-02,121.81,119.93,118.89,118.89,488
2012-10-03,118.89,120.77,119.31,120.77,502
2012-10-04,120.77,120.77,120.77,120.77,216
2012-10-07,120.77,120.77,117.01,120.77,1649
2012-10-08,120.77,124.74,122.65,124.74,528
2012-10-09,124.74,127.24,125.15,127.24,989
2012-10-11,127.24,127.66,127.66,127.66,880
2012-10-14,127.66,127.66,125.57,125.57,563
2012-10-17,125.57,127.66,127.66,127.66,929
2012-10-18,127.66,125.57,122.02,124.32,4821
2012-10-30,124.32,134.97,126.41,134.97,1103
2012-10-31,134.97,141.87,137.27,140.4,1646
2012-11-01,140.4,142.7,136.43,138.73,5167
2012-11-04,138.73,142.08,138.94,142.08,2819
2012-11-05,142.08,151.89,144.37,151.89,325
2012-11-06,151.89,151.89,146.88,151.48,5045
2012-11-07,151.48,156.49,152.31,154.4,5503
2012-11-08,154.4,163.8,154.61,159.0,9890
2012-11-11,159.0,156.49,150.85,150.85,1631
2012-11-12,150.85,156.07,149.18,153.36,2937
2012-11-18,153.36,158.58,153.36,157.53,2672
2012-11-20,157.53,162.76,157.53,158.79,1632
2012-11-21,158.79,162.96,149.6,156.49,5137
2012-11-22,156.49,159.0,153.36,156.07,7652
2012-11-25,156.07,161.71,154.82,156.28,5535
2012-11-26,156.28,157.74,153.56,156.49,30501
2012-11-27,156.49,156.28,153.56,155.44,5723
2012-11-28,155.44,158.58,155.86,158.58,8504
2012-11-29,158.58,159.2,155.44,157.95,3901
2012-12-02,157.95,155.44,153.98,153.98,553
2012-12-03,153.98,154.19,151.27,154.19,4716
2012-12-04,154.19,159.62,155.44,158.37,5001
2012-12-05,158.37,164.43,160.46,164.43,11532
2012-12-06,164.43,166.72,159.2,165.05,10375
2012-12-09,165.05,163.8,159.0,159.62,7943
2012-12-10,159.62,161.92,156.91,161.71,3596
2012-12-11,161.71,162.76,160.67,160.88,4447
2012-12-13,160.88,165.47,162.34,164.84,2303
2012-12-16,164.84,172.78,162.13,172.78,10100
2012-12-17,172.78,182.6,172.57,178.42,21384
2012-12-18,178.42,178.21,171.53,174.45,15992
2012-12-19,174.45,183.44,177.59,179.68,5833
2012-12-20,179.68,182.81,179.05,181.77,8155
2012-12-23,181.77,185.73,181.77,185.73,7129
2012-12-24,185.73,195.34,185.73,194.3,6007
2012-12-26,194.3,199.73,194.3,199.31,7723
2012-12-27,199.31,205.79,200.36,202.45,5812
2012-12-31,202.45,203.49,196.18,197.22,4806
2013-01-01,197.22,200.77,194.09,195.97,3590
2013-01-02,195.97,196.39,192.21,195.13,7502
2013-01-03,195.13,198.69,195.13,197.01,5169
2013-01-06,197.01,200.57,193.67,194.3,5622
2013-01-07,194.3,197.64,191.17,193.88,10601
2013-01-08,193.88,193.25,192.0,192.0,696
2013-01-09,192.0,190.96,188.87,189.08,5524
2013-01-10,189.08,194.09,187.82,192.0,10682
2013-01-13,192.0,195.34,192.0,195.34,6423
2013-01-15,195.34,200.57,195.13,197.64,9233
2013-01-16,197.64,197.22,195.13,195.55,5302
2013-01-17,195.55,195.13,190.96,192.63,2528
2013-01-20,192.63,190.96,182.6,183.85,4249
2013-01-21,183.85,190.96,183.85,188.45,6157
2013-01-22,188.45,191.79,186.78,190.33,4047
2013-01-23,190.33,190.75,186.99,190.12,3408
2013-01-24,190.12,189.08,186.36,189.08,3261
2013-01-27,189.08,187.61,184.69,187.61,2589
2013-01-28,187.61,188.24,186.78,186.78,4501
2013-01-30,186.78,189.08,184.69,189.08,6525
2013-01-31,189.08,193.05,184.69,193.05,10168
2013-02-03,193.05,193.25,188.87,190.96,2109
2013-02-04,190.96,194.3,188.03,189.29,527
2013-02-05,189.29,195.34,189.49,190.75,4697
2013-02-06,190.75,189.08,187.61,188.87,818
2013-02-07,188.87,188.87,186.78,188.87,1276
2013-02-10,188.87,188.87,186.99,188.45,1595
2013-02-12,188.45,200.77,191.79,200.77,2468
2013-02-13,200.77,197.22,194.51,195.34,1215
2013-02-14,195.34,198.06,193.05,195.13,7017
2013-02-17,195.13,209.55,198.69,206.62,7973
2013-02-19,206.62,217.9,199.1,199.31,10406
2013-02-20,199.31,198.27,192.42,195.13,1875
2013-02-21,195.13,200.77,194.72,198.27,3423
2013-02-24,198.27,196.18,192.21,195.55,2493
2013-02-25,195.55,202.65,195.76,198.89,3774
2013-02-26,198.89,202.45,198.89,199.31,1284
2013-02-27,199.31,195.97,192.42,192.42,783
2013-02-28,192.42,201.4,193.05,200.15,986
2013-03-03,200.15,200.57,197.64,197.64,3544
2013-03-04,197.64,200.36,196.6,200.36,4577
2013-03-05,200.36,199.31,196.81,198.27,1418
2013-03-06,198.27,199.31,197.85,198.06,3035
2013-03-07,198.06,199.31,197.22,198.06,3040
2013-03-11,198.06,200.36,197.01,199.1,5361
2013-03-13,199.1,201.82,197.22,200.98,7256
2013-03-14,200.98,205.58,197.22,200.57,5173
2013-03-17,200.57,197.22,195.13,195.76,2674
2013-03-18,195.76,196.6,193.25,195.34,1122
2013-03-19,195.34,197.22,194.3,196.81,1775
2013-03-20,196.81,197.22,193.05,193.25,3855
2013-03-21,193.25,194.3,193.05,193.05,2059
2013-03-24,193.05,192.63,187.82,192.63,16454
2013-03-25,192.63,194.09,190.96,194.09,2026
2013-03-27,194.09,197.43,192.0,193.05,1334
2013-03-28,193.05,192.0,188.87,192.0,4685
2013-03-31,192.0,189.29,185.53,185.73,4621
2013-04-01,185.73,187.82,181.56,186.78,4452
2013-04-02,186.78,190.96,185.32,190.96,2028
