timestamp,open,high,low,close,volume
2019-11-28,95.0,95.0,94.44,94.44,200
2019-12-09,95.0,95.0,95.0,95.0,10
2019-12-12,95.56,97.78,95.56,97.78,248
2019-12-15,98.33,98.89,98.33,98.89,30
2019-12-17,103.33,104.44,103.33,103.33,252
2019-12-23,104.44,105.56,104.44,104.44,350
2019-12-24,105.56,107.78,104.44,104.44,611
2019-12-25,104.44,104.44,100.0,100.0,1030
2019-12-26,99.44,99.44,99.44,99.44,170
2019-12-29,99.44,99.44,98.89,98.89,720
2019-12-31,98.33,98.89,98.33,98.89,120
2020-01-01,99.44,100.0,99.44,100.0,20
2020-01-02,100.56,100.56,98.89,98.89,175
2020-01-05,98.89,98.89,98.33,98.33,120
2020-01-06,98.89,98.89,98.89,98.89,100
2020-01-07,98.33,98.89,98.33,98.89,2200
2020-01-09,99.44,101.11,99.44,101.11,210
2020-01-13,102.22,102.22,101.11,101.11,220
2020-01-15,101.11,101.11,101.11,101.11,100
2020-01-16,102.22,103.33,102.22,102.78,1258
2020-01-19,103.89,107.22,103.89,105.0,3265
2020-01-20,106.11,107.22,102.78,102.78,4280
2020-01-21,102.78,102.78,101.67,101.67,1440
2020-01-22,102.78,102.78,100.56,100.56,1540
2020-01-23,101.67,102.78,101.67,102.78,220
2020-01-27,101.67,101.67,101.67,101.67,493
2020-01-28,102.78,105.0,102.78,104.44,2117
2020-01-29,103.33,103.33,102.22,102.22,330
2020-01-30,103.33,103.33,101.67,102.22,400
2020-02-03,102.22,102.22,100.56,100.56,2760
2020-02-04,100.56,101.67,100.0,101.67,1953
2020-02-05,102.78,102.78,100.0,100.0,810
2020-02-06,100.0,105.56,100.0,105.56,8548
2020-02-09,106.11,107.22,105.0,105.56,4574
2020-02-10,105.56,105.56,104.44,104.44,357
2020-02-11,104.44,104.44,103.33,103.33,2100
2020-02-12,102.22,102.22,102.22,102.22,600
2020-02-13,101.11,102.78,101.11,102.22,828
2020-02-16,103.33,103.33,103.33,103.33,100
2020-02-17,104.44,104.44,102.22,102.22,550
2020-02-18,102.22,102.22,101.11,101.11,724
2020-02-19,100.56,105.56,100.56,104.44,2525
2020-02-20,104.44,105.0,102.22,102.22,4954
2020-02-23,103.33,104.44,102.22,102.22,417
2020-02-24,102.22,102.78,102.22,102.78,441
2020-02-25,102.22,106.11,101.67,106.11,2636
2020-02-26,106.67,108.33,106.67,107.22,1190
2020-02-27,106.11,106.11,103.33,103.33,953
2020-03-01,103.33,102.78,102.22,102.22,642
2020-03-02,101.11,101.11,100.0,100.0,100
2020-03-03,100.0,101.11,100.56,100.56,2050
2020-03-04,100.0,100.0,99.44,100.0,600
2020-03-05,100.0,101.11,99.44,101.11,1390
2020-03-11,102.22,102.22,102.22,102.22,224
2020-03-12,103.33,103.33,101.11,101.11,1560
2020-03-15,100.0,100.0,98.89,98.89,1150
2020-03-16,98.89,98.89,98.33,98.89,426
2020-03-17,98.33,98.33,98.33,98.33,200
2020-07-05,98.89,98.89,97.78,98.33,617
2020-07-07,98.89,103.33,98.89,103.33,165
2020-07-08,104.44,104.44,103.33,103.33,110
2020-07-09,103.33,103.33,102.78,102.78,93
2020-07-12,102.22,102.22,101.67,101.67,148
2020-07-13,102.78,103.89,102.78,102.78,55
2020-07-14,102.78,102.78,98.89,98.89,2288
2020-07-15,98.89,98.89,98.33,98.33,400
2020-07-16,98.33,98.33,97.78,98.33,442
2020-07-21,98.89,103.33,98.89,103.33,1565
2020-07-22,104.44,105.56,103.33,103.33,325
2020-07-23,102.22,102.22,102.22,102.22,93
2020-07-26,101.67,102.22,100.56,100.56,2369
2020-07-27,100.0,100.0,99.44,99.44,1443
2020-07-28,99.44,99.44,98.89,99.44,4151
2020-07-29,100.0,101.11,100.0,101.11,78
2020-07-30,102.22,104.44,102.22,103.89,1490
