timestamp,open,high,low,close,volume
2013-08-18,53.35,40.3,40.3,40.3,60
2013-08-19,40.3,39.73,38.01,38.01,60
2013-08-20,38.01,37.44,36.41,36.41,40
2013-08-25,36.41,35.84,35.26,35.26,7189
2013-08-26,35.26,34.81,34.81,34.81,38
2013-08-27,34.81,34.92,34.92,34.92,130
2013-09-01,34.92,34.46,34.23,34.23,666
2013-09-03,34.23,33.78,31.6,31.6,300
2013-09-09,31.6,31.14,29.2,29.2,6256
2013-09-10,29.2,29.43,28.62,29.2,10301
2013-09-11,29.2,30.0,28.62,30.0,5286
2013-09-12,30.0,29.88,29.31,29.88,1044
2013-09-15,29.88,30.34,29.31,29.77,2367
2013-09-16,29.77,30.23,29.31,29.31,1212
2013-09-17,29.31,29.88,28.97,29.54,734
2013-09-19,29.54,29.54,28.97,28.97,577
2013-09-22,28.97,29.88,29.2,29.54,2369
2013-09-23,29.54,29.31,28.74,29.31,617
2013-09-24,29.31,29.65,29.08,29.65,726
2013-09-25,29.65,29.43,29.08,29.31,828
2013-09-26,29.31,29.54,29.31,29.31,377
2013-09-29,29.31,29.88,29.31,29.88,484
2013-09-30,29.88,29.77,28.97,29.54,4997
2013-10-01,29.54,29.54,29.08,29.54,534
2013-10-02,29.54,29.77,29.31,29.31,42
2013-10-03,29.31,29.08,29.08,29.08,56
2013-10-06,29.08,29.2,28.85,29.2,135
2013-10-07,29.2,30.0,27.94,29.77,1463
2013-10-08,29.77,30.34,29.77,29.77,1366
2013-10-09,29.77,29.77,28.97,29.54,562
2013-10-10,29.54,30.23,29.54,29.77,1439
2013-10-29,29.77,25.99,25.99,25.99,28
2013-11-11,25.99,26.33,26.33,26.33,58
2013-11-14,26.33,25.99,25.99,25.99,56
2013-11-24,29.81,30.64,30.23,30.64,1084
2013-11-26,30.64,31.05,31.05,31.05,10
2013-12-01,31.05,32.7,31.46,32.7,86
2013-12-02,32.7,32.7,32.7,32.7,500
2013-12-03,32.7,33.94,33.11,33.94,30
